Counts of Active Duty and Reserve Service Members and APF Civilians,,,,,,,,,,,,,,,,,,,,,,
"By Location Country, Personnel Category, Service and Component",,,,,,,,,,,,,,,,,,,,,,
"As of September 30, 2016",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, RCCPDS, APF Civilian Master, CTS Deployment File (as of November 2016), Civilian Deployment (as of November 2016)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,LOCATION STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,BRUNEI,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,BULGARIA,3,2,0,3,0,8,0,0,0,0,0,0,0,0,3,0,0,1,0,4,12
,BURKINA FASO,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,BURMA,3,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,BURUNDI,1,0,0,2,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4
,CAMBODIA,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3
,CAMEROON,5,0,11,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
,CANADA,6,39,13,77,4,139,0,0,0,0,0,0,0,0,0,5,0,1,22,28,167
,CHAD,4,0,26,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
,CHILE,5,6,0,12,0,23,0,0,0,0,1,0,0,1,1,3,0,1,0,5,29
,CHINA,6,4,0,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,COLOMBIA,26,4,15,17,4,66,0,0,1,0,0,0,0,1,17,4,0,1,0,22,89
,COMOROS,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,CONGO (BRAZZAVILLE),2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,CONGO (KINSHASA),2,0,9,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,CORAL SEA ISLANDS,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,COSTA RICA,1,2,0,0,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,2,6
,COTE DIVOIRE,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,CROATIA,0,1,1,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4
,CUBA,141,524,126,0,6,797,0,0,128,0,0,0,0,128,10,184,0,1,79,274,1199
,CYPRUS,2,0,0,9,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12
,CZECH REPUBLIC,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7
,DENMARK,2,3,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,DJIBOUTI,323,609,251,519,0,1702,808,126,658,3,42,1,2,1640,5,51,0,5,4,65,3407
,DOMINICA,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,DOMINICAN REPUBLIC,6,1,2,2,2,13,0,0,0,0,0,0,0,0,2,0,0,0,0,2,15
,ECUADOR,12,2,6,2,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,1,23
,EGYPT,310,23,1,22,0,356,163,3,0,0,0,0,0,166,5,3,0,8,0,16,538
,EL SALVADOR,7,22,587,1,0,617,0,0,5,0,0,0,0,5,3,1,0,0,0,4,626
,ESTONIA,3,1,0,2,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7
,ETHIOPIA,4,2,8,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
,FIJI,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,FINLAND,3,4,0,4,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,FRANCE,23,12,3,18,0,56,0,0,0,0,0,0,0,0,4,2,0,2,0,8,64
,GABON,2,0,7,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,"GAMBIA, THE",0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,GEORGIA,7,0,0,1,0,8,0,0,0,0,0,0,0,0,8,0,0,1,0,9,17
,GERMANY,20611,879,1064,12048,10,34612,35,1148,67,7,25,328,0,1610,5994,39,23,1116,4105,11277,47499
,GHANA,3,0,4,3,0,10,0,0,0,0,0,0,0,0,0,1,0,1,0,2,12
,GREECE,8,332,0,20,0,360,0,0,3,0,0,0,0,3,2,71,0,0,0,73,436
,GREENLAND,0,0,0,168,0,168,0,0,0,0,0,0,0,0,0,0,0,2,0,2,170
,GUAM,172,1803,0,2002,0,3977,1085,0,5,0,361,281,0,1732,118,1297,1,100,583,2099,7808
,GUATEMALA,21,0,6,1,0,28,0,0,0,0,0,0,0,0,4,1,0,0,0,5,33
,GUINEA,3,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,GUYANA,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,HAITI,3,0,0,0,2,5,0,0,0,0,0,0,0,0,0,4,0,0,0,4,9
,HONDURAS,234,2,1,160,0,397,0,0,0,0,0,0,0,0,21,1,0,0,0,22,419
,HONG KONG,3,8,2,9,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
,HUNGARY,5,142,0,60,0,207,0,0,0,0,1,0,0,1,3,0,0,1,0,4,212
,ICELAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
,INDIA,6,5,1,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
,INDONESIA,3,11,8,2,0,24,0,0,0,0,1,0,0,1,1,1,0,0,1,3,28
,IRAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2
,IRAQ,"3,080",300,810,436,0,"4,626",259,401,25,7,14,20,0,726,501,31,10,35,34,611,"5,963"
,IRELAND,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,ISRAEL,9,6,1,16,0,32,0,0,0,0,0,0,0,0,12,2,0,1,6,21,53
,ITALY,4442,3673,341,3632,2,12090,0,81,36,0,0,31,0,148,614,815,0,134,816,2379,14617
,JAMAICA,1,1,8,0,2,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13
,JAPAN,2717,11014,13521,11566,16,38834,0,119,87,6,1,75,0,288,680,1597,592,772,3045,6686,45808
,JORDAN,578,22,158,798,0,"1,556",413,83,13,22,79,17,0,627,6,2,0,7,1,16,"2,199"
,KAZAKHSTAN,7,1,1,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,KENYA,16,3,13,8,0,40,4,1,4,0,0,0,0,9,1,2,0,0,0,3,52
,KIRIBATI,0,0,44,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
,"KOREA, SOUTH",15866,284,142,7897,1,24190,0,210,7,0,0,66,0,283,1970,31,4,233,886,3124,27597
,KOSOVO,320,9,12,25,0,366,298,0,0,0,0,0,0,298,2,1,0,0,2,5,669
,KUWAIT,3673,133,1215,797,0,5818,2350,2568,36,32,645,361,0,5992,392,9,8,26,97,532,12342
,KYRGYZSTAN,1,5,61,0,0,67,2,1,0,5,0,1,0,9,1,0,0,3,0,4,80
,LAOS,3,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5
,LATVIA,2,0,0,2,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5
,LEBANON,58,5,28,2,0,93,0,0,0,0,0,0,0,0,1,1,0,0,0,2,95
,LIBERIA,3,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6
,LIBYA,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,LITHUANIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
,LUXEMBOURG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,15
,MACEDONIA,1,0,0,2,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4
,MADAGASCAR,0,1,11,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,MALAWI,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,MALAYSIA,3,4,3,3,0,13,0,0,0,0,0,0,0,0,0,1,0,0,1,2,15
,MALI,3,0,6,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,MALTA,0,3,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,MARSHALL ISLANDS,16,0,0,0,0,16,0,0,0,0,0,0,0,0,52,0,0,0,0,52,68
,MAURITANIA,1,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,MAURITIUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
,MEXICO,15,6,27,4,2,54,0,0,0,0,0,0,0,0,1,0,0,9,0,10,64
,MOLDOVA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,MONGOLIA,4,0,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,MONTENEGRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
,MOROCCO,3,3,0,8,0,14,0,0,0,0,0,0,0,0,3,1,0,0,0,4,18
,MOZAMBIQUE,0,0,8,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,NAMIBIA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,NEPAL,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,NETHERLANDS,125,30,1,195,31,382,0,0,0,0,0,0,0,0,47,0,0,3,130,180,562
,NEW ZEALAND,3,1,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,2,3,9
,NICARAGUA,9,0,0,1,0,10,0,0,0,0,0,0,0,0,23,0,1,5,3,32,42
,NIGER,3,0,2,3,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9
,NIGERIA,2,2,7,5,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,1,17
,NORTHERN MARIANA ISLANDS,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,2,5
,NORWAY,31,5,6,35,0,77,0,0,0,0,0,0,0,0,1,1,0,3,0,5,82
,OMAN,4,1,14,7,0,26,1,0,1,0,0,0,0,2,0,0,0,2,1,3,31
,PAKISTAN,12,6,65,38,0,121,1,1,3,0,2,5,0,12,1,1,0,1,2,5,138
,PANAMA (1980 - PRESENT),27,4,0,0,3,34,0,0,0,0,0,0,0,0,5,1,0,1,0,7,41
,PARAGUAY,5,0,7,1,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,1,14
,PERU,14,19,19,4,0,56,0,0,0,0,0,0,0,0,3,5,0,0,0,8,64
,PHILIPPINES,12,10,2,11,1,36,0,0,0,0,0,0,0,0,1,10,0,3,1,15,51
,POLAND,22,1,3,27,0,53,0,0,0,0,0,0,0,0,6,0,0,0,2,8,61
,PORTUGAL,1,10,0,186,0,197,0,0,0,0,0,0,0,0,4,4,0,4,1,13,210
,PUERTO RICO,92,23,0,20,7,142,6420,0,0,0,1178,0,0,7598,1037,22,0,254,609,1922,9662
,QATAR,289,3,89,2835,0,3216,493,171,51,6,966,557,0,2244,34,2,1,126,21,184,5644
,ROMANIA,4,16,655,7,0,682,0,0,0,0,0,0,0,0,22,9,0,1,0,32,714
,RUSSIA,9,6,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
,RWANDA,3,0,8,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,SAUDI ARABIA,238,21,36,76,0,371,9,49,0,0,9,1,0,68,170,4,0,24,27,225,664
,SENEGAL,3,3,6,1,0,13,0,0,0,0,0,0,0,0,0,1,0,0,1,2,15
,SERBIA (2008 - PRESENT),0,0,7,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,SIERRA LEONE,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,SINGAPORE,8,115,16,30,7,176,0,0,0,0,0,0,0,0,2,135,0,0,21,158,334
,SLOVAKIA,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,SLOVENIA,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
,SOMALIA,8,81,14,3,0,106,0,0,0,0,0,0,0,0,1,0,0,0,0,1,107
,SOUTH AFRICA,5,3,0,3,0,11,0,0,0,0,0,0,0,0,0,1,0,0,1,2,13
,SPAIN,26,2709,116,421,0,3272,0,0,21,0,0,2,0,23,4,248,3,12,151,418,3713
,SRI LANKA,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,SUDAN,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,SURINAME,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,SVALBARD,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,SWEDEN,1,1,0,5,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,SWITZERLAND,1,0,8,3,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13
,SYRIA,43,0,0,13,0,56,0,0,0,0,17,21,0,38,0,1,0,0,0,1,95
,TAIWAN,0,2,1,6,0,9,0,0,0,0,0,0,0,0,0,1,0,0,4,5,14
,TAJIKISTAN,3,0,0,1,0,4,0,1,0,0,0,0,0,1,0,0,0,1,0,1,6
,TANZANIA,4,2,10,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,THAILAND,45,9,214,28,0,296,0,0,1,0,0,0,0,1,5,3,0,3,3,14,311
,TIMOR-LESTE,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8
,TOGO,0,0,39,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
,TONGA,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
,TRINIDAD AND TOBAGO,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,TUNISIA,6,2,0,3,0,11,0,0,0,0,1,0,0,1,0,0,0,0,0,0,12
,TURKEY,149,4,26,1960,0,2139,0,0,0,0,0,5,0,5,8,1,0,31,58,98,2242
,TURKMENISTAN,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,UGANDA,6,0,72,3,0,81,0,0,0,0,1,0,0,1,1,0,0,1,0,2,84
,UKRAINE,7,1,0,4,0,12,0,0,0,0,0,0,0,0,1,0,0,0,1,2,14
,UNITED ARAB EMIRATES,221,11,98,1180,0,1510,166,27,11,1,590,103,0,898,8,7,0,20,3,38,2446
,UNITED KINGDOM,171,203,8,7983,39,8404,9,41,18,0,1,95,0,164,35,28,0,495,677,1235,9803
,URUGUAY,2,4,6,2,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
,UZBEKISTAN,3,0,0,2,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6
