Number of Military and DoD Appropriated Fund (APF) Civilian Personnel Permanently Assigned,,,,,,,,,,,,,,,,,,,,,,
By Duty Location and Service/Component,,,,,,,,,,,,,,,,,,,,,,
"As of March 31, 2019",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, Reserve Common Components Personnel Data System (RCCPDS) File, Appropriated Fund (APF) Civilian Master File",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,DUTY STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,BENIN,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,BOLIVIA,2,0,7,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,BOSNIA AND HERZEGOVINA,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
,BOTSWANA,4,0,7,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,BRAZIL,9,10,27,8,1,55,0,0,0,0,0,0,0,0,5,2,0,1,0,8,63
,BRITISH ATLANTIC OCEAN TERRITORY,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,BRITISH INDIAN OCEAN TERRITORY,0,266,0,37,0,303,0,0,0,0,0,0,0,0,0,4,0,0,0,4,307
,BRUNEI,0,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,BULGARIA,3,4,0,4,0,11,0,0,0,0,1,0,0,1,14,0,0,2,0,16,28
,BURKINA FASO,0,0,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,BURMA,4,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,BURUNDI,0,0,10,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,CAMBODIA,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,CAMEROON,8,0,7,1,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17
,CANADA,8,45,13,74,6,146,0,0,0,0,0,0,0,0,2,5,0,1,25,33,179
,CENTRAL AFRICAN REPUBLIC,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,CHAD,4,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,CHILE,4,9,13,12,0,38,0,0,0,0,1,0,0,1,3,1,0,2,1,7,46
,CHINA,7,4,6,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
,COLOMBIA,24,3,18,17,3,65,0,0,0,0,0,0,0,0,15,2,0,1,1,19,84
,CONGO (BRAZZAVILLE),4,0,9,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,CONGO (KINSHASA),1,0,15,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
,COSTA RICA,1,1,7,0,1,10,0,0,1,0,0,0,0,1,2,0,0,0,0,2,13
,COTE DIVOIRE,3,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,CROATIA,1,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4
,CUBA,148,568,123,0,8,847,0,0,0,0,0,0,0,0,15,195,0,0,70,280,"1,127"
,CYPRUS,6,0,0,10,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17
,CZECHIA,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7
,DENMARK,2,3,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,DJIBOUTI,1,0,38,1,0,40,0,0,0,0,0,0,0,0,0,2,0,0,1,3,43
,DOMINICAN REPUBLIC,9,1,7,2,2,21,0,0,0,0,0,0,0,0,5,0,0,0,0,5,26
,ECUADOR,10,2,15,2,1,30,0,0,0,0,0,0,0,0,2,0,0,0,0,2,32
,EGYPT,241,11,1,22,0,275,0,0,0,0,0,0,0,0,5,2,0,4,0,11,286
,EL SALVADOR,7,35,13,2,1,58,0,0,4,0,0,0,0,4,3,1,0,0,0,4,66
,ESTONIA,1,1,1,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,2,6
,ETHIOPIA,6,2,8,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
,FIJI,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,FINLAND,4,4,3,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
,FRANCE,27,10,3,18,0,58,0,0,0,0,0,0,0,0,3,2,0,6,0,11,69
,GABON,2,0,7,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,GEORGIA,10,0,2,1,0,13,0,0,0,0,0,0,0,0,3,0,0,0,1,4,17
,GERMANY,"20,779",382,"1,176","12,767",11,"35,115",0,0,10,119,11,299,0,439,"5,921",35,26,"1,175","4,188","11,345","46,899"
,GHANA,5,3,3,2,0,13,0,0,0,0,0,0,0,0,0,1,0,1,0,2,15
,GREECE,9,356,2,21,0,388,0,0,0,0,0,0,0,0,3,86,0,0,0,89,477
,GREENLAND,0,0,0,150,0,150,0,0,0,0,0,1,0,1,0,0,0,1,0,1,152
,GUAM,187,"4,002",95,"2,037",0,"6,321","1,124",478,228,0,388,252,0,"2,470",152,"1,370",6,112,631,"2,271","11,062"
,GUATEMALA,19,1,9,3,0,32,0,0,0,0,0,0,0,0,3,1,0,0,0,4,36
,GUINEA,4,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,GUYANA,1,1,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,HAITI,2,0,7,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,HONDURAS,213,3,18,148,1,383,0,0,0,0,0,0,0,0,25,1,0,0,0,26,409
,HONG KONG,2,10,3,9,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
,HUNGARY,5,135,0,58,0,198,0,0,0,0,1,0,0,1,3,0,0,1,0,4,203
,ICELAND,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
,INDIA,7,8,0,7,0,22,0,0,0,0,0,0,0,0,0,0,0,1,0,1,23
,INDONESIA,2,10,2,2,0,16,0,0,0,0,1,0,0,1,1,1,0,0,0,2,19
,IRAQ*,,,,,,,,,,,,,,,,,,,,,
,IRELAND,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,ISRAEL,33,5,2,14,0,54,0,0,0,0,0,0,0,0,17,1,0,1,4,23,77
,ITALY,"3,936","4,007",439,"4,519",2,"12,903",0,0,38,0,1,31,0,70,621,822,0,161,901,"2,505","15,478"
,JAMAICA,1,1,7,0,2,11,0,0,0,0,0,0,0,0,2,0,0,0,0,2,13
,JAPAN,"2,657","20,846","20,475","12,140",16,"56,134",0,0,78,91,1,87,0,257,772,"1,736",596,778,"3,162","7,044","63,435"
,JORDAN,13,2,56,2,0,73,0,0,0,0,0,0,0,0,2,1,0,2,0,5,78
,KAZAKHSTAN,6,1,0,13,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
,KENYA,16,3,16,8,0,43,0,0,1,0,0,0,0,1,0,1,0,0,0,1,45
,"KOREA, SOUTH","17,385",262,190,"8,046",1,"25,884",0,0,3,4,0,54,0,61,"1,886",40,6,235,936,"3,103","29,048"
,KUWAIT,697,3,"1,354",38,0,"2,092",0,0,1,0,1,0,0,2,163,0,0,9,19,191,"2,285"
,KYRGYZSTAN,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,LAOS,3,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6
,LATVIA,2,0,4,2,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,4,12
,LEBANON,1,0,13,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,LIBERIA,2,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,LIBYA,1,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,LITHUANIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2
,LUXEMBOURG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,26,26
,MACEDONIA,4,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,MADAGASCAR,0,2,6,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,MALAWI,3,0,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,MALAYSIA,2,3,2,3,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,3,13
,MALI,5,0,5,3,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,1,14
,MALTA,0,3,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,MARSHALL ISLANDS,19,0,0,0,0,19,0,0,0,0,0,0,0,0,76,0,0,0,0,76,95
,MAURITANIA,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,MAURITIUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
,MEXICO,14,5,40,5,2,66,0,0,0,0,0,0,0,0,1,0,0,10,0,11,77
,MOLDOVA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,MONGOLIA,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5
,MONTENEGRO,1,0,12,71,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
,MOROCCO,3,3,2,6,0,14,0,0,0,0,0,0,0,0,3,1,0,1,1,6,20
,MOZAMBIQUE,0,0,9,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,NAMIBIA,1,0,10,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,NEPAL,3,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,NETHERLANDS,133,27,4,214,31,409,0,0,0,0,0,0,0,0,80,0,0,2,133,215,624
,NEW ZEALAND,2,2,3,1,0,8,0,0,0,0,0,0,0,0,0,1,0,1,2,4,12
,NICARAGUA,3,0,7,1,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12
,NIGER,3,0,2,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,NIGERIA,3,2,2,4,0,11,0,0,0,0,0,0,0,0,2,0,0,0,0,2,13
,NORTHERN MARIANA ISLANDS,0,0,1,0,0,1,0,79,0,0,0,0,0,79,2,3,0,0,0,5,85
,NORWAY,26,5,564,38,1,634,0,0,0,0,0,0,0,0,1,1,0,4,0,6,640
,OMAN,3,3,7,5,0,18,0,0,1,0,0,0,0,1,0,0,0,2,1,3,22
,PAKISTAN,7,1,7,16,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
,PANAMA,17,4,7,0,3,31,0,0,0,0,0,0,0,0,5,1,0,1,0,7,38
,PARAGUAY,5,0,9,1,0,15,0,0,0,0,0,0,0,0,2,0,0,0,0,2,17
,PERU,7,19,16,5,0,47,0,0,0,0,0,0,0,0,4,5,0,0,0,9,56
,PHILIPPINES,10,11,173,10,1,205,0,0,0,0,0,0,0,0,1,9,0,3,1,14,219
,POLAND,49,84,5,25,0,163,0,0,0,0,0,0,0,0,10,9,0,0,1,20,183
,PORTUGAL,2,48,1,181,0,232,0,0,0,0,0,0,0,0,2,2,0,2,0,6,238
,PUERTO RICO,95,25,22,18,0,160,"5,868","4,298",230,0,"1,102",0,0,"11,498","1,138",24,0,301,591,"2,054","13,712"
,QATAR,271,3,25,242,0,541,0,0,0,0,0,0,0,0,50,0,0,5,3,58,599
,ROMANIA,7,81,3,12,0,103,0,0,0,0,0,0,0,0,37,9,0,1,0,47,150
,RUSSIA,3,2,0,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,RWANDA,2,0,8,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,SAUDI ARABIA,204,21,11,51,10,297,0,0,0,0,0,0,0,0,182,2,0,16,30,230,527
,SENEGAL,3,3,2,1,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10
,SERBIA,2,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,SIERRA LEONE,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,SINGAPORE,9,165,4,19,8,205,0,0,1,0,0,0,0,1,2,148,0,0,20,170,376
,SLOVAKIA,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,SLOVENIA,0,0,1,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4
,SOMALIA,0,2,65,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
,SOUTH AFRICA,5,3,32,3,0,43,0,0,0,0,0,0,0,0,0,1,0,0,1,2,45
,SOUTH SUDAN,2,0,17,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
,SPAIN,25,"2,511",505,354,0,"3,395",0,0,5,0,0,2,0,7,3,245,0,10,161,419,"3,821"
,SRI LANKA,0,3,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,SUDAN,1,0,14,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,SURINAME,1,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,SWAZILAND,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,SWEDEN,1,2,238,4,1,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246
,SWITZERLAND,24,0,0,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
,SYRIA*,,,,,,,,,,,,,,,,,,,,,
,TAIWAN,0,2,1,4,0,7,0,0,0,0,0,0,0,0,0,1,0,0,14,15,22
,TAJIKISTAN,4,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,TANZANIA,4,2,10,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,1,17
,THAILAND,41,8,215,29,0,293,0,0,0,0,0,0,0,0,5,3,0,2,3,13,306
,TOGO,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,TRINIDAD AND TOBAGO,1,1,8,0,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,11
,TUNISIA,5,3,15,1,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25
,TURKEY,144,6,6,"1,492",0,"1,648",0,0,0,0,0,2,0,2,6,0,0,26,42,74,"1,724"
,TURKMENISTAN,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,UGANDA,6,0,10,1,0,17,0,0,0,0,0,0,0,0,1,0,0,1,0,2,19
,UKRAINE,12,2,3,5,0,22,0,0,0,0,0,0,0,0,3,0,0,0,3,6,28
,UNITED ARAB EMIRATES,28,13,257,81,0,379,0,0,0,0,0,0,0,0,6,8,0,5,3,22,401
,UNITED KINGDOM,295,206,16,"8,635",21,"9,173",0,0,0,2,1,86,0,89,32,30,0,528,676,"1,266","10,528"
,URUGUAY,2,5,7,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,UZBEKISTAN,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,VENEZUELA,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,VIETNAM,0,3,5,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12
,"VIRGIN ISLANDS, U.S.",4,0,1,1,0,6,620,17,0,0,55,0,0,692,120,0,0,1,0,121,819
,WAKE ISLAND,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,YEMEN,4,0,18,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
,ZAMBIA,1,0,6,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,ZIMBABWE,3,0,9,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
