Counts of Active Duty and Reserve Service Members and APF Civilians,,,,,,,,,,,,,,,,,,,,,,
"By Location Country, Personnel Category, Service and Component",,,,,,,,,,,,,,,,,,,,,,
"As of June 30, 2016",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, RCCPDS, APF Civilian Master, CTS Deployment File (as of November 2016), Civilian Deployment (as of November 2016)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,LOCATION STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,KENTUCKY,"30,422",10,85,195,157,"30,869","6,730","4,066",227,277,"1,196",4,61,"12,561","8,629",17,3,279,849,"9,777","53,207"
,LOUISIANA,"8,304",416,677,"4,674","1,176","15,247","9,609","1,978","1,184","3,602","1,502","1,450",160,"19,485","3,309",543,263,"1,545",286,"5,946","40,678"
,MAINE,47,161,28,10,560,806,"2,035",497,111,148,"1,089",0,58,"3,938",293,"6,238",0,268,767,"7,566","12,310"
,MARYLAND,"8,933","10,276","1,853","7,985",883,"29,930","4,785","5,975","3,455",492,"1,716","1,754",166,"18,343","16,417","16,443",110,"3,078","8,292","44,340","92,613"
,MASSACHUSETTS,351,411,176,"1,024","1,613","3,575","5,968","3,224",301,878,"2,136","2,352",403,"15,262","2,284",166,4,"3,046",853,"6,353","25,190"
,MICHIGAN,456,252,227,101,"1,076","2,112","7,601","3,067",857,928,"2,309",1,126,"14,889","6,589",34,9,871,"1,673","9,176","26,177"
,MINNESOTA,161,174,119,50,128,632,"10,958","2,983",601,477,"2,228","1,337",31,"18,615","1,316",20,2,766,164,"2,268","21,515"
,MISSISSIPPI,476,"2,429",522,"5,735",280,"9,442","9,553","1,787",798,73,"2,566","1,392",135,"16,304","3,523","2,510",0,"2,498",306,"8,837","34,583"
,MISSOURI,"8,807",356,"1,465","3,972",191,"14,791","9,381","4,726","1,116",766,"2,190","1,076",90,"19,345","5,497",54,131,"1,244",681,"7,607","41,743"
,MONTANA,59,7,16,"3,163",0,"3,245","2,602",690,99,63,972,23,0,"4,449",480,1,0,798,48,"1,327","9,021"
,NEBRASKA,175,413,76,"5,313",19,"5,996","3,414","1,269",300,128,957,253,0,"6,321","1,354",43,4,"2,696",105,"4,202","16,519"
,NEVADA,154,971,51,"8,875",2,"10,053","2,791","1,610",382,193,"1,136","1,162",0,"7,274",380,301,1,"1,551",169,"2,402","19,729"
,NEW HAMPSHIRE,51,263,54,135,270,773,"1,590",869,248,203,"1,117",1,16,"4,044",465,11,3,337,188,"1,004","5,821"
,NEW JERSEY,656,466,301,"4,192","1,684","7,299","6,117","4,083","1,251","1,124","2,371","2,281",202,"17,429","5,241","2,229",9,"2,053",625,"10,157","34,885"
,NEW MEXICO,289,64,64,"11,106",6,"11,529","2,824",827,197,73,965,227,1,"5,114","2,325",87,0,"3,638",407,"6,457","23,100"
,NEW YORK,"15,885","2,166",694,363,"1,042","20,150","10,150","7,926","1,661","1,863","5,556","1,054",413,"28,623","6,616",114,29,"2,140","2,040","10,939","59,712"
,NORTH CAROLINA,"44,209","4,253","43,436","5,466","1,656","99,020","10,301","6,511","1,091",773,"1,412","1,935",198,"22,221","10,327","4,722","2,873","1,303","2,511","21,736","142,977"
,NORTH DAKOTA,21,8,14,"6,806",0,"6,849","2,989",207,67,57,972,30,0,"4,322",509,3,1,"1,092",79,"1,684","12,855"
,OHIO,457,302,260,"5,216",378,"6,613","11,268","5,625","1,232","1,001","4,637","3,616",249,"27,628","1,495",106,3,"14,714","9,457","25,775","60,016"
,OKLAHOMA,"9,224","1,320",460,"6,349",45,"17,398","6,693","2,297",450,333,"2,156","1,777",4,"13,710","5,294",104,5,"16,709","1,687","23,799","54,907"
,OREGON,113,182,111,141,982,"1,529","5,840",604,486,314,"2,241",113,114,"9,712","2,305",26,2,650,18,"3,001","14,242"
,PENNSYLVANIA,897,717,392,208,326,"2,540","15,565","8,059",860,"1,347","3,824","1,199",117,"30,971","8,162","6,249",24,"1,113","8,084","23,632","57,143"
,RHODE ISLAND,130,"2,207",228,56,283,"2,904","2,023",528,582,97,"1,064",2,42,"4,338",238,"4,114",3,218,103,"4,676","11,918"
,SOUTH CAROLINA,"9,392","6,850","8,776","7,277",722,"33,017","9,318","4,196",604,427,"1,247","2,243",162,"18,197","3,400","3,252",741,"2,032",814,"10,239","61,453"
,SOUTH DAKOTA,61,7,7,"2,910",0,"2,985","2,947",360,89,0,"1,026",22,0,"4,444",506,1,0,818,47,"1,372","8,801"
,TENNESSEE,306,"1,385",140,159,153,"2,143","9,442","3,832","1,224",723,"3,123",2,46,"18,392","3,184","1,222",3,"1,199",688,"6,296","26,831"
,TEXAS,"70,118","5,662","2,033","35,700","1,684","115,197","18,254","17,845","4,980","3,215","3,301","5,330",346,"53,271","25,648","1,399",31,"16,163","4,554","47,795","216,263"
,UTAH,174,33,103,"3,722",0,"4,032","5,215","3,047",326,244,"1,327","1,266",0,"11,425","1,841",48,2,"12,110","1,066","15,067","30,524"
,VERMONT,45,14,10,56,33,158,"2,762",136,44,0,"1,045",0,8,"3,995",299,1,0,301,31,632,"4,785"
,VIRGINIA,"21,923","40,825","11,034","11,846","4,161","89,789","6,706","7,936","4,993","1,389","1,334","1,878",455,"24,691","18,293","40,419","5,104","5,976","23,803","93,595","208,075"
,WASHINGTON,"26,851","10,269",633,"5,733","1,962","45,448","5,733","6,061","2,114",566,"1,886","1,965",407,"18,732","9,494","18,989",3,"1,471","1,215","31,172","95,352"
,WEST VIRGINIA,62,6,47,32,71,218,"4,072","1,677",78,86,"2,117",0,23,"8,053","1,173",4,1,538,50,"1,766","10,037"
,WISCONSIN,424,35,117,77,299,952,"7,368","3,930",352,455,"2,237",0,80,"14,422","1,814",63,2,550,114,"2,543","17,917"
,WYOMING,38,1,8,"3,011",0,"3,058","1,424",81,71,0,"1,133",34,0,"2,743",218,2,0,796,42,"1,058","6,859"
,UNKNOWN,"5,937",0,0,0,0,"5,937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,937"
UNITED STATES TOTAL,,"402,539","291,882","149,773","249,558","38,375","1,132,127","331,754","187,443","54,684","34,614","100,258","66,560","6,610","781,923","237,016","182,778","17,440","165,505","98,330","701,069","2,615,119"
OVERSEAS,AFGHANISTAN,"7,005",216,943,808,4,"8,976",606,"1,003",227,116,59,132,0,"2,143",973,177,38,211,220,"1,619","12,738"
,ALGERIA,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,AMERICAN SAMOA,0,0,2,0,3,5,0,0,0,0,0,0,0,0,8,0,0,0,0,8,13
,ANGOLA,3,0,8,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,ARGENTINA,0,5,7,7,0,19,0,0,0,0,0,0,0,0,2,0,0,0,0,2,21
,ARMENIA,2,0,1,1,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5
,AUSTRALIA,26,78,"1,042",80,0,"1,226",0,0,0,0,0,0,0,0,4,7,0,4,1,16,"1,242"
,AUSTRIA,1,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5
,AZERBAIJAN,1,2,1,3,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8
,"BAHAMAS, THE",1,41,7,0,11,60,0,0,1,0,0,0,0,1,0,1,0,0,0,1,62
,BAHRAIN,32,"3,692",911,29,95,"4,759",41,41,484,52,2,5,0,625,17,315,0,1,73,406,"5,790"
,BANGLADESH,3,0,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,BARBADOS,3,0,5,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,BELGIUM,573,45,2,259,0,879,0,3,1,0,0,6,0,10,372,0,0,8,108,488,"1,377"
,BELIZE,1,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,BOLIVIA,2,0,8,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,BOSNIA AND HERZEGOVINA,1,0,1,1,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,2,5
,BOTSWANA,4,0,6,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,BRAZIL,10,10,20,8,0,48,0,0,0,0,0,0,0,0,6,2,0,2,0,10,58
,BRITISH ATLANTIC OCEAN TERRITORY,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,BRITISH INDIAN OCEAN TERRITORY,0,261,0,41,0,302,0,0,0,0,0,0,0,0,0,3,0,0,0,3,305
,BULGARIA,2,2,152,3,0,159,0,0,0,0,0,0,0,0,4,0,0,1,0,5,164
,BURKINA FASO,0,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,BURMA,3,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,BURUNDI,1,0,8,2,0,11,0,0,1,0,0,0,0,1,0,0,0,0,0,0,12
,CAMBODIA,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
,CAMEROON,6,5,9,0,0,20,0,0,0,1,0,0,0,1,1,2,0,0,0,3,24
,CANADA,6,41,11,83,5,146,0,0,0,0,0,0,0,0,0,4,0,1,20,25,171
,CHAD,5,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,CHILE,5,7,11,13,0,36,0,0,0,0,1,0,0,1,1,3,0,2,0,6,43
,CHINA,5,5,3,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,COLOMBIA,25,2,15,17,5,64,0,0,1,0,0,0,0,1,17,4,0,1,0,22,87
,CONGO (BRAZZAVILLE),3,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,CONGO (KINSHASA),2,0,14,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
,COSTA RICA,1,2,7,0,1,11,0,0,0,0,0,0,0,0,2,0,0,0,0,2,13
,COTE DIVOIRE,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,CROATIA,1,1,1,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5
,CUBA,144,526,122,0,5,797,0,0,141,0,0,0,0,141,9,186,0,1,42,238,"1,176"
,CYPRUS,2,0,1,12,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,1,16
,CZECH REPUBLIC,5,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,DENMARK,2,3,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,DJIBOUTI,256,564,84,514,0,"1,418",909,120,625,2,54,3,2,"1,715",3,45,0,5,3,56,"3,189"
,DOMINICAN REPUBLIC,6,1,27,1,3,38,0,0,0,0,0,0,0,0,1,0,0,0,0,1,39
,ECUADOR,14,2,5,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
,EGYPT,663,21,1,23,0,708,14,0,1,0,0,0,0,15,3,2,0,10,0,15,738
,EL SALVADOR,6,19,12,2,0,39,0,0,14,0,0,0,0,14,3,1,0,0,0,4,57
,ESTONIA,3,1,1,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7
,ETHIOPIA,4,2,9,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
,FIJI,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,FINLAND,3,4,1,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,FRANCE,23,9,3,19,0,54,0,0,0,0,0,0,0,0,4,2,0,1,0,7,61
,GABON,2,0,6,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,GEORGIA,7,0,3,1,0,11,0,0,0,0,0,0,0,0,6,0,0,1,0,7,18
,GERMANY,"20,923",883,"1,161","12,492",8,"35,467",1,"1,121",73,7,20,310,0,"1,532","6,019",39,25,"1,146","2,208","9,437","46,436"
,GHANA,4,5,2,3,0,14,0,0,0,0,0,0,0,0,0,1,0,1,0,2,16
,GREECE,9,339,0,22,0,370,0,0,1,0,0,0,0,1,2,78,0,0,0,80,451
,GREENLAND,0,0,0,166,0,166,0,0,0,0,0,0,0,0,0,0,0,2,0,2,168
,GUAM,130,"2,355",69,"2,013",0,"4,567",0,0,13,0,348,278,0,639,123,"1,311",1,105,582,"2,122","7,328"
,GUATEMALA,23,1,6,1,0,31,0,0,0,0,0,0,0,0,4,1,0,0,0,5,36
,GUINEA,4,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,GUYANA,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,HAITI,3,0,9,0,1,13,0,0,0,0,0,0,0,0,0,4,0,0,0,4,17
,HONDURAS,239,3,9,163,0,414,0,0,0,0,0,0,0,0,20,1,0,0,0,21,435
,HONG KONG,3,9,2,10,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
,HUNGARY,5,145,0,61,0,211,0,0,0,0,1,0,0,1,3,0,0,1,0,4,216
,ICELAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
,INDIA,7,6,2,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
,INDONESIA,3,11,8,2,0,24,0,0,0,0,1,0,0,1,1,0,0,0,1,2,27
,IRAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2
,IRAQ,"2,531",292,867,397,0,"4,087",542,295,18,12,28,25,0,920,501,32,10,33,33,609,"5,616"
,IRELAND,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,ISRAEL,8,5,3,16,0,32,0,0,0,0,0,0,0,0,11,2,0,0,6,19,51
,ITALY,"4,450","3,893",286,"3,697",2,"12,328",0,89,46,0,0,33,0,168,658,803,0,151,357,"1,969","14,465"
,JAMAICA,0,1,7,0,2,10,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11
,JAPAN,"2,772","11,960","20,683","11,418",19,"46,852",0,116,100,6,2,76,0,300,670,"1,624",573,866,"1,526","5,259","52,411"
,JORDAN,698,27,509,782,0,"2,016",189,58,17,26,60,28,0,378,7,2,0,6,1,16,"2,410"
,KAZAKHSTAN,6,2,1,5,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
,KENYA,19,5,14,9,0,47,13,1,6,0,0,0,0,20,1,2,0,0,0,3,70
,"KOREA, SOUTH","16,622",262,181,"7,953",2,"25,020",0,215,8,0,0,59,0,282,"2,002",30,6,245,421,"2,704","28,006"
,KOSOVO,330,2,12,23,0,367,307,0,0,0,1,0,0,308,1,1,0,0,2,4,679
,KUWAIT,"4,545",1,1271,"1,044",0,"6,861","2,626","2,069",34,31,619,348,0,"5,727",338,8,8,21,101,476,"13,064"
,KYRGYZSTAN,1,5,64,3,0,73,2,1,0,5,0,1,0,9,1,0,0,3,0,4,86
,LAOS,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5
,LATVIA,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,LEBANON,55,3,23,2,0,83,0,0,1,0,0,0,0,1,1,0,0,0,0,1,85
,LIBERIA,3,0,5,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,2,2,11
,LIBYA,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,LITHUANIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2
,LUXEMBOURG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,16
,MACEDONIA,1,0,0,2,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4
,MADAGASCAR,0,1,8,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,MALAWI,1,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,MALAYSIA,3,4,2,3,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13
,MALI,2,0,6,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,MALTA,0,3,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,MARSHALL ISLANDS,16,0,0,0,0,16,0,0,0,0,0,0,0,0,52,0,0,0,0,52,68
,MAURITANIA,1,0,17,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
,MAURITIUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
,MEXICO,15,8,21,5,2,51,0,0,1,0,0,0,0,1,0,0,0,10,0,10,62
,MOLDOVA,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,MONGOLIA,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,MONTENEGRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
,MOROCCO,2,3,8,8,0,21,0,0,0,1,0,0,0,1,2,1,0,1,0,4,26
,MOZAMBIQUE,0,0,9,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,NAMIBIA,1,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,NEPAL,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,NETHERLANDS,123,28,2,193,31,377,0,0,0,0,0,0,0,0,47,0,0,3,52,102,479
,NETHERLANDS ANTILLES (1991 - 2010),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
,NEW ZEALAND,3,1,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,3,4,10
,NICARAGUA,9,0,7,1,0,17,0,0,0,0,0,0,0,0,22,0,1,5,2,30,47
,NIGER,3,0,0,4,0,7,0,0,0,0,1,0,0,1,0,2,0,0,0,2,10
,NIGERIA,3,1,2,4,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11
,NORTHERN MARIANA ISLANDS,0,0,1,0,3,4,0,0,0,0,0,0,0,0,3,0,0,0,0,3,7
,NORWAY,40,5,14,37,0,96,0,0,0,0,0,0,0,0,2,1,0,2,0,5,101
,OMAN,4,0,16,7,0,27,1,0,1,0,0,0,0,2,1,0,0,3,1,5,34
,PAKISTAN,16,2,59,34,0,111,0,1,4,1,2,0,0,8,2,1,0,1,2,6,125
,PALAU,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,PANAMA (1980 - PRESENT),27,4,8,0,3,42,0,0,0,0,0,0,0,0,5,1,0,0,0,6,48
,PARAGUAY,5,0,4,1,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11
,PERU,13,20,16,4,0,53,0,0,0,0,0,0,0,0,4,5,0,0,0,9,62
,PHILIPPINES,11,12,33,12,0,68,0,0,0,0,0,0,0,0,1,12,0,3,1,17,85
,POLAND,22,2,4,26,0,54,0,0,0,0,0,0,0,0,8,0,0,0,0,8,62
,PORTUGAL,1,10,0,209,0,220,0,0,0,0,0,0,0,0,3,4,0,3,1,11,231
,PUERTO RICO,101,0,18,19,11,149,0,0,0,0,"1,166",0,0,"1,166",1054,24,0,294,619,1991,"3,306"
,QATAR,402,3,56,3531,0,3992,584,172,50,3,963,427,0,2199,39,2,1,72,19,133,6324
,ROMANIA,5,15,534,6,0,560,0,0,0,0,0,0,0,0,21,8,0,1,0,30,590
,RUSSIA,10,6,3,6,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
,RWANDA,3,0,8,1,0,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,13
,SAUDI ARABIA,217,18,56,77,0,368,13,51,0,0,13,3,0,80,153,4,0,24,25,206,654
,SENEGAL,4,3,9,1,0,17,0,0,0,0,0,0,0,0,0,1,0,0,1,2,19
,SERBIA (2008 - PRESENT),1,0,7,0,0,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,9
,SIERRA LEONE,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,SINGAPORE,8,124,4,31,7,174,0,0,1,0,0,0,0,1,2,125,0,0,17,144,319
,SLOVAKIA,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,SLOVENIA,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
,SOMALIA,12,6,17,2,0,37,0,0,0,0,0,0,0,0,4,1,0,0,0,5,42
,SOUTH AFRICA,5,2,31,3,0,41,0,0,0,0,0,0,0,0,0,1,0,0,1,2,43
,SOUTH SUDAN,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
,SPAIN,28,1477,953,409,0,2867,0,0,6,0,0,4,0,10,4,242,2,13,60,321,3198
,SRI LANKA,1,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,SUDAN,2,0,12,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,SURINAME,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,SWAZILAND,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,SWEDEN,1,1,1,5,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,SWITZERLAND,1,0,1,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,SYRIA,12,2,0,4,0,18,0,0,0,0,3,0,0,3,0,0,0,0,0,0,21
,TAIWAN,0,2,1,4,0,7,0,0,0,0,0,0,0,0,1,1,0,0,4,6,13
,TAJIKISTAN,3,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
,TANZANIA,3,2,10,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,THAILAND,43,11,204,31,0,289,0,0,1,0,0,0,0,1,4,4,0,3,3,14,304
,TIMOR-LESTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
,TRINIDAD AND TOBAGO,1,1,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,TUNISIA,7,1,18,1,0,27,0,0,0,0,3,0,0,3,0,0,0,0,0,0,30
,TURKEY,147,6,206,1873,0,2232,0,0,0,0,1,7,0,8,9,1,0,43,34,87,2327
,TURKMENISTAN,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,UGANDA,5,0,33,4,0,42,0,1,0,0,2,0,0,3,1,1,0,1,0,3,48
,UKRAINE,7,2,2,5,0,16,0,0,0,0,0,0,0,0,0,1,0,0,1,2,18
,UNITED ARAB EMIRATES,247,10,465,"1,240",0,"1,962",247,12,9,1,596,96,0,961,9,8,0,19,3,39,"2,962"
,UNITED KINGDOM,187,208,17,8197,23,8632,0,40,31,0,1,91,0,163,39,26,0,521,371,957,9752
,URUGUAY,2,3,6,2,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,1,14
,UZBEKISTAN,3,0,1,2,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
,VENEZUELA,0,1,10,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,VIETNAM,0,4,3,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12
,"VIRGIN ISLANDS, U.S.",0,0,1,0,0,1,0,0,0,0,63,0,0,63,125,0,0,2,0,127,191
,WAKE ISLAND,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
