Number of Military and DoD Appropriated Fund (APF) Civilian Personnel Permanently Assigned,,,,,,,,,,,,,,,,,,,,,,
By Duty Location and Service/Component,,,,,,,,,,,,,,,,,,,,,,
"As of December 31, 2019",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, Reserve Common Components Personnel Data System (RCCPDS) File, Appropriated Fund (APF) Civilian Master File",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,DUTY STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,GEORGIA,"50,227","5,828","1,381","9,184",497,"67,117","11,129","8,083","1,553",778,"2,853","3,187",74,"27,657","11,962","2,544","1,978","15,169","2,986","34,639","129,413"
,HAWAII,"15,463","13,278","6,900","5,476","1,269","42,386","2,894","2,516",714,301,"2,330",753,131,"9,639","5,160","11,085",672,"1,413","1,249","19,579","71,604"
,IDAHO,62,38,39,"3,435",5,"3,579","3,111",747,191,113,"1,338",28,0,"5,528",672,72,0,711,46,"1,501","10,608"
,ILLINOIS,"1,012","14,641",399,"4,412",137,"20,601","10,266","6,322","1,825","1,334","2,944","1,536",77,"24,304","6,968","1,031",33,"2,856","1,229","12,117","57,022"
,INDIANA,650,108,184,89,34,"1,065","10,802","2,719",385,611,"1,906","1,556",8,"17,987","1,922","4,043",322,828,"4,485","11,600","30,652"
,IOWA,124,22,72,26,34,278,"6,784","2,103",152,141,"1,924",0,0,"11,104",955,6,1,403,75,"1,440","12,822"
,KANSAS,"18,540",81,108,"3,140",76,"21,945","4,336","2,429",136,205,"2,170",757,11,"10,044","5,527",4,0,"1,007",333,"6,871","38,860"
,KENTUCKY,"31,385",33,91,242,158,"31,909","6,433","4,079",321,253,"1,276",4,47,"12,413","8,450",23,2,279,935,"9,689","54,011"
,LOUISIANA,"7,998",429,753,"5,263","1,210","15,653","9,825","1,857","1,153","1,167","1,536","1,353",112,"17,003","3,366",563,230,"1,625",258,"6,042","38,698"
,MAINE,63,90,16,10,665,844,"1,837",309,99,160,"1,085",0,60,"3,550",295,"7,267",0,258,781,"8,601","12,995"
,MARYLAND,"8,400","9,735","1,899","8,434",867,"29,335","4,590","5,848","3,930",582,"1,922","1,889",175,"18,936","16,599","17,541",139,"3,064","9,004","46,347","94,618"
,MASSACHUSETTS,409,382,211,"1,157","1,600","3,759","5,838","3,369",292,866,"2,129","2,037",415,"14,946","2,275",154,6,"3,306",862,"6,603","25,308"
,MICHIGAN,443,233,182,93,"1,099","2,050","8,092","2,886",938,898,"2,417",1,96,"15,328","7,068",29,11,730,"1,603","9,441","26,819"
,MINNESOTA,199,143,130,55,131,658,"10,974","3,091",624,454,"2,283","1,437",26,"18,889","1,334",21,1,726,173,"2,255","21,802"
,MISSISSIPPI,496,"5,021",558,"6,077",249,"12,401","9,100","1,870",566,88,"2,605","1,580",130,"15,939","3,942","2,547",1,"2,475",319,"9,284","37,624"
,MISSOURI,"9,126",284,"1,517","4,263",189,"15,379","9,291","4,843","1,162",713,"2,284","1,045",85,"19,423","5,492",46,109,"1,194",757,"7,598","42,400"
,MONTANA,70,6,22,"3,240",0,"3,338","2,376",661,110,81,947,21,0,"4,196",425,0,0,793,42,"1,260","8,794"
,NEBRASKA,166,336,84,"5,633",16,"6,235","3,148","1,122",278,136,980,319,0,"5,983","1,303",37,4,"2,577",112,"4,033","16,251"
,NEVADA,222,997,65,"10,232",1,"11,517","3,281","1,414",503,179,"1,219","1,241",0,"7,837",467,295,0,"1,684",178,"2,624","21,978"
,NEW HAMPSHIRE,59,704,25,42,160,990,"1,555","1,008",294,187,"1,108",1,7,"4,160",446,12,2,311,186,957,"6,107"
,NEW JERSEY,681,469,379,"4,863","1,620","8,012","6,058","4,155","1,296","1,184","2,388","2,315",196,"17,592","5,136","2,399",9,"1,965",596,"10,105","35,709"
,NEW MEXICO,382,69,81,"12,094",5,"12,631","2,862",713,200,84,"1,000",228,0,"5,087","2,254",113,0,"3,639",401,"6,407","24,125"
,NEW YORK,"17,067",835,668,419,"1,020","20,009","10,136","7,862","1,852","1,877","5,564","1,293",373,"28,957","7,039",101,27,"2,055","1,970","11,192","60,158"
,NORTH CAROLINA,"44,797","4,547","44,980","6,672","1,675","102,671","9,781","6,061","1,258","1,037","1,459","1,558",210,"21,364","10,553","4,904","2,818","1,221","2,557","22,053","146,088"
,NORTH DAKOTA,17,4,14,"7,358",0,"7,393","2,925",169,70,64,"1,143",35,0,"4,406",467,4,1,"1,142",69,"1,683","13,482"
,OHIO,552,259,286,"5,497",392,"6,986","11,266","5,534","1,296",979,"5,109","3,578",218,"27,980","1,584",125,3,"15,388","9,496","26,596","61,562"
,OKLAHOMA,"11,944","1,534",513,"7,296",20,"21,307","6,378","1,931",468,316,"2,192","1,834",0,"13,119","5,454",140,8,"17,487","1,829","24,918","59,344"
,OREGON,121,157,118,146,"1,023","1,565","5,457",538,508,345,"2,393",118,89,"9,448","2,264",19,3,572,33,"2,891","13,904"
,PENNSYLVANIA,"1,027",607,379,239,326,"2,578","13,981","7,225",943,"1,329","4,134","1,298",122,"29,032","8,555","7,489",18,"1,060","8,612","25,734","57,344"
,RHODE ISLAND,145,"2,635",203,70,311,"3,364","2,033",504,606,94,"1,037",2,50,"4,326",214,"4,509",2,196,117,"5,038","12,728"
,SOUTH CAROLINA,"7,999","8,541","10,110","8,848",851,"36,349","8,932","3,866",641,412,"1,245","2,192",150,"17,438","3,415","3,791",768,"2,004",714,"10,692","64,479"
,SOUTH DAKOTA,75,2,13,"3,327",0,"3,417","3,138",334,79,0,"1,109",23,0,"4,683",473,1,0,763,46,"1,283","9,383"
,TENNESSEE,415,"1,552",160,164,163,"2,454","8,960","3,417","1,392",690,"3,453",7,41,"17,960","3,230","1,326",3,"1,078",520,"6,157","26,571"
,TEXAS,"74,175","5,965","2,247","38,708","1,796","122,891","18,158","18,284","5,738","3,404","3,429","6,079",332,"55,424","24,827","1,459",28,"16,797","4,617","47,728","226,043"
,UTAH,191,45,95,"4,238",0,"4,569","5,570","2,945",403,230,"1,475","1,379",0,"12,002","1,921",47,2,"12,657","1,170","15,797","32,368"
,VERMONT,56,4,10,57,40,167,"2,286",140,51,0,976,0,0,"3,453",263,3,0,252,33,551,"4,171"
,VIRGINIA,"23,389","79,189","11,349","12,454","4,166","130,547","7,110","8,021","5,295","1,909","1,477","2,012",434,"26,258","17,595","42,529","5,271","6,128","25,203","96,726","253,531"
,WASHINGTON,"26,972","24,904",757,"6,504","1,988","61,125","5,468","5,547","2,336",638,"1,993","1,804",310,"18,096","9,081","20,231",3,"1,466","1,268","32,049","111,270"
,WEST VIRGINIA,66,4,34,19,66,189,"3,968","1,663",72,93,"2,116",0,10,"7,922","1,270",4,0,454,47,"1,775","9,886"
,WISCONSIN,521,45,114,117,286,"1,083","7,141","3,879",424,476,"2,321",0,79,"14,320","1,795",64,3,456,131,"2,449","17,852"
,WYOMING,36,2,12,"3,116",0,"3,166","1,537",83,74,0,"1,239",52,0,"2,985",232,2,0,788,37,"1,059","7,210"
,UNKNOWN,"7,285",0,0,0,0,"7,285",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,285"
UNITED STATES TOTAL,,"423,235","296,084","157,505","273,676","39,342","1,189,842","324,335","184,871","58,710","34,415","105,832","68,607","6,149","782,919","238,398","197,173","17,882","167,568","101,675","722,696","2,695,457"
OVERSEAS,AFGHANISTAN*, , , , , , , , , , , , , , , , , , , , , 
,AKROTIRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,56,56
,ALBANIA,1,1,7,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,ALGERIA,3,3,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,AMERICAN SAMOA,3,0,1,0,0,4,0,291,0,0,0,0,0,291,19,0,0,0,0,19,314
,ANGOLA,3,0,9,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,ARGENTINA,3,4,10,7,1,25,0,0,0,0,1,0,0,1,0,0,0,0,0,0,26
,ARMENIA,0,0,6,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,AUSTRALIA,31,71,102,80,0,284,0,0,0,0,0,0,0,0,3,10,0,5,4,22,306
,AUSTRIA,4,1,18,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
,AZERBAIJAN,1,2,8,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,"BAHAMAS, THE",1,53,7,0,10,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
,BAHRAIN,14,"3,292",354,20,319,"3,999",0,0,22,1,0,0,0,23,14,318,0,0,163,495,"4,517"
,BANGLADESH,3,0,6,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,BARBADOS,2,0,7,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,BELGIUM,625,103,35,373,0,"1,136",0,0,0,0,0,4,0,4,372,0,0,12,335,719,"1,859"
,BELIZE,3,1,7,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,BENIN,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,BOLIVIA,2,0,9,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,BOSNIA AND HERZEGOVINA,1,0,8,1,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11
,BOTSWANA,4,0,7,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,BRAZIL,8,11,23,8,1,51,0,0,0,0,0,0,0,0,4,2,0,1,0,7,58
,BRITISH ATLANTIC OCEAN TERRITORY,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,BRITISH INDIAN OCEAN TERRITORY,0,263,0,0,0,263,0,0,0,0,0,0,0,0,0,3,0,0,0,3,266
,BRUNEI,0,1,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,BULGARIA,7,4,7,4,0,22,0,0,0,0,1,0,0,1,20,0,0,2,0,22,45
,BURKINA FASO,1,0,12,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,BURMA,3,1,8,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,BURUNDI,2,0,7,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,CABO VERDE,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,CAMBODIA,3,5,8,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,CAMEROON,1,2,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,CANADA,11,37,12,69,4,133,0,0,0,0,1,0,0,1,2,7,0,1,25,35,169
,CENTRAL AFRICAN REPUBLIC,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,CHAD,3,0,13,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
,CHILE,4,10,11,9,0,34,0,0,0,0,1,0,0,1,2,1,0,2,1,6,41
,CHINA,9,10,54,5,2,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
,COLOMBIA,26,0,19,17,3,65,0,0,0,0,0,0,0,0,17,1,0,1,1,20,85
,CONGO (BRAZZAVILLE),0,0,8,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,CONGO (KINSHASA),2,0,14,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,COSTA RICA,1,1,7,0,2,11,0,0,1,0,0,0,0,1,2,0,0,0,0,2,14
,COTE DIVOIRE,4,1,8,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,CROATIA,3,2,8,1,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
,CUBA,151,529,121,0,7,808,0,0,0,0,0,0,0,0,18,197,0,0,64,279,"1,087"
,CYPRUS,3,0,8,1,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13
,CZECHIA,4,1,8,4,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18
,DENMARK,2,5,7,5,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20
,DJIBOUTI,1,1,108,2,0,112,0,0,0,0,0,0,0,0,1,2,0,0,0,3,115
,DOMINICAN REPUBLIC,9,0,10,2,4,25,0,0,1,0,0,0,0,1,5,0,0,0,0,5,31
,ECUADOR,3,2,13,2,1,21,0,0,0,0,0,0,0,0,2,0,0,0,0,2,23
,EGYPT,262,6,25,21,0,314,0,0,0,0,0,0,0,0,5,1,0,7,0,13,327
,EL SALVADOR,8,34,13,2,1,58,0,0,3,0,0,0,0,3,3,1,0,0,0,4,65
,ESTONIA,4,2,7,2,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,1,16
,ETHIOPIA,6,3,6,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
,FIJI,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,FINLAND,2,3,10,3,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,1,19
,FRANCE,21,17,18,20,0,76,0,0,0,0,0,0,0,0,3,2,0,8,0,13,89
,GABON,2,2,4,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,"GAMBIA, THE",0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,GEORGIA,17,0,10,1,0,28,0,0,0,0,0,0,0,0,2,0,0,0,2,4,32
,GERMANY,"20,757",470,469,"12,962",10,"34,668",0,0,8,120,10,314,0,452,"6,151",35,31,"1,228","4,041","11,486","46,606"
,GHANA,5,4,9,2,0,20,0,0,0,0,0,0,0,0,0,1,0,1,0,2,22
,GIBRALTAR,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,GREECE,9,357,11,26,0,403,0,0,0,0,0,0,0,0,2,77,0,0,0,79,482
,GREENLAND,0,0,0,138,0,138,0,0,0,0,0,1,0,1,0,0,0,1,0,1,140
,GUAM,175,"3,976",26,"2,063",0,"6,240","1,163",503,256,0,389,264,0,"2,575",145,"1,462",6,108,630,"2,351","11,166"
,GUATEMALA,14,1,7,2,0,24,0,0,1,0,1,0,0,2,3,1,0,0,0,4,30
,GUINEA,3,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,GUYANA,1,1,9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,HAITI,4,0,8,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,HONDURAS,224,1,15,152,1,393,0,0,0,0,0,0,0,0,26,1,0,0,0,27,420
,HONG KONG,2,5,7,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,HUNGARY,8,3,8,58,0,77,0,0,0,0,0,0,0,0,3,0,0,0,0,3,80
,ICELAND,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
,INDIA,7,11,14,5,0,37,0,0,0,0,0,0,0,0,0,0,0,2,0,2,39
,INDONESIA,8,6,11,3,0,28,0,0,0,0,1,0,0,1,1,1,0,0,0,2,31
,IRAQ*,,,,,,,,,,,,,,,,,,,,,
,IRELAND,1,0,11,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,ISRAEL,59,5,21,14,0,99,0,0,0,0,0,0,0,0,15,1,0,2,6,24,123
,ITALY,"3,933","3,727",147,"4,678",1,"12,486",0,0,36,0,1,34,0,71,649,821,0,169,851,"2,490","15,047"
,JAMAICA,1,1,8,0,2,12,0,0,0,0,0,0,0,0,2,0,0,0,0,2,14
,JAPAN,"2,516","20,733","21,070","12,757",18,"57,094",0,0,86,91,2,93,0,272,754,"1,775",580,764,"3,165","7,038","64,404"
,JORDAN,11,2,57,12,0,82,0,0,0,0,0,0,0,0,3,1,0,2,0,6,88
,KAZAKHSTAN,5,1,15,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
,KENYA,15,4,27,6,0,52,0,0,1,0,0,0,0,1,0,1,0,0,0,1,54
,"KOREA, SOUTH","18,113",366,217,"7,946",1,"26,643",0,0,3,4,0,61,0,68,"1,892",37,6,231,832,"2,998","29,709"
,KOSOVO,0,0,12,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,KUWAIT,630,3,"1,187",39,0,"1,859",0,0,1,0,1,0,0,2,165,0,0,10,22,197,"2,058"
,KYRGYZSTAN,1,0,7,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,LAOS,3,1,8,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,2,2,16
,LATVIA,3,0,9,2,0,14,0,0,0,0,0,0,0,0,3,0,0,0,0,3,17
,LEBANON,4,0,25,2,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
,LIBERIA,3,0,8,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,LIBYA,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,LITHUANIA,6,2,6,1,0,15,0,0,0,0,0,0,0,0,1,1,0,1,0,3,18
,LUXEMBOURG,0,0,7,0,0,7,0,0,0,0,0,0,0,0,24,0,0,0,0,24,31
,MACEDONIA,4,0,7,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,MADAGASCAR,0,3,7,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,MALAWI,1,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,MALAYSIA,2,4,8,3,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18
,MALI,5,0,16,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
,MALTA,0,3,7,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,MARSHALL ISLANDS,16,0,0,0,0,16,0,0,0,0,0,0,0,0,70,0,0,0,0,70,86
,MAURITANIA,0,0,11,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,MAURITIUS,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
,MEXICO,16,6,46,4,3,75,0,0,0,0,0,0,0,0,1,0,0,11,0,12,87
,"MICRONESIA, FEDERATED STATES OF",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,MOLDOVA,0,0,7,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,MONGOLIA,4,0,7,1,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13
,MONTENEGRO,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,MONTENEGRO (2006 - 2008),2,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,MOROCCO,3,2,10,7,0,22,0,0,0,0,0,0,0,0,3,1,0,1,1,6,28
,MOZAMBIQUE,1,1,7,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,NAMIBIA,1,0,8,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,NEPAL,2,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,NETHERLANDS,119,26,15,211,30,401,0,0,0,0,0,0,1,1,92,0,0,3,128,223,625
,NETHERLANDS ANTILLES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2
,NEW ZEALAND,2,3,7,2,0,14,0,0,0,0,0,0,0,0,0,0,0,1,2,3,17
,NICARAGUA,3,0,7,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,2,12
,NIGER,4,0,15,4,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
,NIGERIA,5,2,24,4,0,35,0,0,0,0,0,0,0,0,1,0,0,0,0,1,36
,NORTHERN MARIANA ISLANDS,1,0,1,0,0,2,0,79,0,0,0,0,0,79,2,3,0,0,0,5,86
,NORWAY,20,14,605,38,1,678,0,0,0,0,0,0,0,0,1,1,0,3,0,5,683
,OMAN,3,4,10,5,0,22,0,0,0,0,0,0,0,0,0,1,0,2,1,4,26
,PAKISTAN,7,1,39,17,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
,PANAMA,16,4,7,0,3,30,0,0,0,0,0,0,0,0,6,1,0,1,0,8,38
,PAPUA NEW GUINEA,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,PARAGUAY,4,0,7,1,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,2,14
,PERU,7,19,20,3,0,49,0,0,0,0,0,0,0,0,2,6,0,0,0,8,57
,PHILIPPINES,12,10,149,10,1,182,0,0,0,0,0,0,0,0,1,9,0,3,1,14,196
,POLAND,50,91,11,23,0,175,0,0,0,0,0,0,0,0,27,9,0,1,1,38,213
,PORTUGAL,1,50,18,179,0,248,0,0,0,0,0,0,0,0,3,2,0,3,0,8,256
,PUERTO RICO,92,26,22,22,0,162,"5,776","4,353",243,0,"1,089",0,0,"11,461","1,117",28,0,240,588,"1,973","13,596"
,QATAR,298,3,30,229,0,560,0,0,0,0,0,0,0,0,50,0,0,3,2,55,615
,ROMANIA,12,96,11,12,0,131,0,0,0,0,0,0,0,0,38,11,0,1,1,51,182
,RUSSIA,6,2,29,1,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
,RWANDA,2,0,6,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9
,SAUDI ARABIA,202,26,61,59,6,354,0,0,0,0,0,0,0,0,195,3,0,15,27,240,594
,SENEGAL,3,4,8,1,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17
,SERBIA,5,0,9,2,0,16,0,0,0,0,1,0,0,1,0,0,0,0,0,0,17
,SIERRA LEONE,2,1,7,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,SINGAPORE,13,167,12,18,6,216,0,0,0,0,0,0,0,0,2,151,0,0,19,172,388
,SLOVAKIA,2,1,7,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,SLOVENIA,0,0,8,2,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11
,SOMALIA,2,2,70,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
,SOUTH AFRICA,5,3,36,3,0,47,0,0,0,0,0,0,0,0,0,1,0,0,1,2,49
,SOUTH SUDAN,1,0,14,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,SPAIN,20,"2,555",581,368,1,"3,525",0,0,4,0,0,2,0,6,2,238,0,13,160,413,"3,944"
,SRI LANKA,0,3,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,SUDAN,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,SURINAME,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,SWAZILAND,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,SWEDEN,0,2,7,4,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,SWITZERLAND,1,0,17,1,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,1,20
,SYRIA*,,,,,,,,,,,,,,,,,,,,,
,TAIWAN,5,2,7,4,0,18,0,0,0,0,0,0,0,0,1,1,0,0,13,15,33
,TAJIKISTAN,3,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,TANZANIA,3,2,10,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,1,16
,THAILAND,35,12,34,24,0,105,0,0,0,0,0,0,0,0,4,5,0,2,3,14,119
,TIMOR-LESTE,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,TOGO,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,TRINIDAD AND TOBAGO,0,1,8,0,0,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,10
,TUNISIA,6,3,19,1,0,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,30
,TURKEY,151,6,33,"1,535",0,"1,725",0,0,0,0,0,3,0,3,5,0,0,25,43,73,"1,801"
,TURKMENISTAN,0,0,6,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,UGANDA,6,0,30,1,0,37,0,0,0,0,0,0,0,0,1,0,0,1,0,2,39
,UKRAINE,12,3,10,5,0,30,0,0,0,0,0,0,0,0,3,0,0,1,3,7,37
,UNITED ARAB EMIRATES,27,19,71,89,0,206,0,0,0,0,0,0,0,0,6,10,0,5,3,24,230
