Number of Military and DoD Appropriated Fund (APF) Civilian Personnel Permanently Assigned,,,,,,,,,,,,,,,,,,,,,,
By Duty Location and Service/Component,,,,,,,,,,,,,,,,,,,,,,
"As of September 30, 2018",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, Reserve Common Components Personnel Data System (RCCPDS) File, Appropriated Fund (APF) Civilian Master File",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,DUTY STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,HAWAII,"16,251","13,716","6,788","5,048","1,178","42,981","2,951","2,374",644,291,"2,284",716,130,"9,390","5,171","10,532",613,"1,554","1,194","19,064","71,435"
,IDAHO,62,42,34,"3,339",4,"3,481","3,087",745,170,122,"1,376",26,0,"5,526",721,75,0,723,46,"1,565","10,572"
,ILLINOIS,955,"15,243",400,"4,346",144,"21,088","9,949","6,273","2,281","1,303","3,009","1,467",63,"24,345","6,829","1,016",32,"3,466","1,168","12,511","57,944"
,INDIANA,550,104,195,94,34,977,"11,607","2,692",377,630,"1,929","1,583",8,"18,826","1,942","3,732",262,834,"4,478","11,248","31,051"
,IOWA,105,14,68,28,34,249,"6,630","1,942",144,151,"1,844",0,0,"10,711",997,5,1,463,62,"1,528","12,488"
,KANSAS,"18,212",72,99,"3,120",85,"21,588","4,335","2,558",125,195,"2,114",721,24,"10,072","5,490",3,1,"1,040",337,"6,871","38,531"
,KENTUCKY,"31,894",7,95,234,164,"32,394","6,458","4,214",265,244,"1,269",4,48,"12,502","8,627",18,2,296,952,"9,895","54,791"
,LOUISIANA,"8,041",385,710,"5,279","1,237","15,652","9,801","1,935","1,130","1,256","1,551","1,405",135,"17,213","3,272",544,224,"1,585",252,"5,877","38,742"
,MAINE,45,56,13,7,676,797,"1,945",344,96,164,"1,142",0,66,"3,757",276,"6,860",0,291,772,"8,199","12,753"
,MARYLAND,"8,353","9,848","1,731","8,318",950,"29,200","4,566","5,859","3,480",583,"1,953","1,813",175,"18,429","16,475","17,282",110,"3,042","8,172","45,081","92,710"
,MASSACHUSETTS,397,397,229,"1,096","1,653","3,772","5,904","3,464",298,822,"2,232","2,016",364,"15,100","2,226",151,4,"3,089",785,"6,255","25,127"
,MICHIGAN,446,211,189,108,"1,122","2,076","8,063","2,836",869,946,"2,461",1,93,"15,269","6,917",30,8,764,"1,610","9,329","26,674"
,MINNESOTA,170,119,121,47,127,584,"10,909","2,834",592,444,"2,321","1,376",26,"18,502","1,325",18,1,826,164,"2,334","21,420"
,MISSISSIPPI,429,"5,195",443,"5,985",260,"12,312","9,564","1,763",685,90,"2,667","1,570",108,"16,447","3,694","2,475",0,"2,393",312,"8,874","37,633"
,MISSOURI,"11,222",294,"1,262","4,122",189,"17,089","9,172","4,590","1,114",794,"2,304","1,087",84,"19,145","5,485",47,110,"1,258",651,"7,551","43,785"
,MONTANA,60,7,24,"3,212",0,"3,303","2,485",646,117,71,959,25,0,"4,303",461,0,0,800,45,"1,306","8,912"
,NEBRASKA,157,381,79,"5,643",18,"6,278","3,208","1,240",255,152,998,314,0,"6,167","1,329",39,3,"2,608",98,"4,077","16,522"
,NEVADA,163,925,57,"9,925",0,"11,070","3,104","1,447",428,197,"1,161","1,259",0,"7,596",448,283,0,"1,572",160,"2,463","21,129"
,NEW HAMPSHIRE,50,854,28,151,169,"1,252","1,580",951,258,193,"1,139",1,9,"4,131",446,10,3,361,177,997,"6,380"
,NEW JERSEY,604,476,384,"4,638","1,875","7,977","6,000","3,898","1,169","1,195","2,428","2,298",190,"17,178","5,108","2,423",9,"1,871",586,"9,997","35,152"
,NEW MEXICO,381,73,63,"12,003",5,"12,525","2,754",747,207,82,"1,004",232,0,"5,026","2,264",108,0,"3,548",371,"6,291","23,842"
,NEW YORK,"16,914","1,765",655,364,"1,046","20,744","9,907","8,129","1,633","1,821","5,693","1,302",375,"28,860","6,880",100,30,"2,105","1,944","11,059","60,663"
,NORTH CAROLINA,"44,840","4,428","43,269","6,649","1,720","100,906","10,117","6,038","1,194","1,076","1,423","1,613",206,"21,667","10,361","4,961","2,735","1,206","2,497","21,760","144,333"
,NORTH DAKOTA,19,5,18,"7,332",0,"7,374","2,893",224,57,52,"1,095",35,0,"4,356",459,2,1,"1,109",62,"1,633","13,363"
,OHIO,530,283,289,"5,453",402,"6,957","11,651","5,439","1,228","1,015","5,151","3,601",225,"28,310","1,502",103,3,"14,860","9,568","26,036","61,303"
,OKLAHOMA,"11,852","1,395",415,"7,133",22,"20,817","6,567","1,961",439,333,"2,260","1,840",0,"13,400","5,493",130,8,"17,312","1,812","24,755","58,972"
,OREGON,114,148,119,158,"1,074","1,613","5,515",512,441,357,"2,342",118,97,"9,382","2,357",20,2,621,18,"3,018","14,013"
,PENNSYLVANIA,987,631,383,216,328,"2,545","14,799","7,338",886,"1,370","4,102","1,285",116,"29,896","8,289","7,002",19,"1,099","8,002","24,411","56,852"
,RHODE ISLAND,138,"2,653",212,72,325,"3,400","1,977",488,636,102,"1,062",1,48,"4,314",193,"4,321",1,199,102,"4,816","12,530"
,SOUTH CAROLINA,"12,330","6,831","11,690","8,381",848,"40,080","9,255","3,942",550,399,"1,292","2,183",160,"17,781","3,466","3,538",740,"1,863",744,"10,351","68,212"
,SOUTH DAKOTA,69,3,11,"3,330",0,"3,413","3,150",327,84,0,"1,119",18,0,"4,698",461,1,0,662,42,"1,166","9,277"
,TENNESSEE,358,"1,319",162,171,167,"2,177","9,118","3,545","1,213",718,"3,424",5,48,"18,071","3,045","1,213",3,"1,087",504,"5,852","26,100"
,TEXAS,"71,410","6,262","2,065","38,060","1,738","119,535","17,809","17,928","5,112","3,309","3,333","5,925",330,"53,746","24,611","1,363",32,"16,212","4,470","46,688","219,969"
,UTAH,178,34,90,"3,975",0,"4,277","5,515","3,002",381,227,"1,453","1,402",0,"11,980","1,760",46,2,"12,023","1,113","14,944","31,201"
,VERMONT,60,10,6,59,36,171,"2,403",117,52,0,956,0,0,"3,528",254,2,0,274,30,560,"4,259"
,VIRGINIA,"23,871","75,261","11,044","12,111","4,189","126,476","7,076","7,594","6,011","1,943","1,398","1,946",443,"26,411","17,966","41,418","5,143","6,147","24,576","95,250","248,137"
,WASHINGTON,"26,253","24,871",716,"6,253","2,038","60,131","5,571","5,696","2,095",671,"2,025","1,881",312,"18,251","9,332","19,656",4,"1,463","1,220","31,675","110,057"
,WEST VIRGINIA,59,4,41,24,68,196,"4,126","1,897",71,84,"2,150",0,13,"8,341","1,219",3,1,464,38,"1,725","10,262"
,WISCONSIN,457,47,111,94,287,996,"7,158","3,962",376,477,"2,347",0,82,"14,402","1,862",70,2,507,112,"2,553","17,951"
,WYOMING,37,2,8,"3,149",0,"3,196","1,513",62,62,0,"1,218",47,0,"2,902",228,2,0,810,36,"1,076","7,174"
,UNKNOWN,"5,732",0,0,0,0,"5,732",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,732"
UNITED STATES TOTAL,,"422,646","288,356","153,084","268,362","39,919","1,172,367","327,449","183,016","55,578","34,657","105,900","67,868","6,075","780,543","236,125","190,699","17,141","164,882","98,433","707,280","2,660,190"
OVERSEAS,AFGHANISTAN*, , , , , , , , , , , , , , , , , , , , , 
,AKROTIRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,1,73,73
,ALBANIA,1,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,ALGERIA,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,AMERICAN SAMOA,2,0,1,0,0,3,0,303,0,0,0,0,0,303,19,0,0,0,0,19,325
,ANGOLA,3,0,9,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,ARGENTINA,1,6,8,9,1,25,0,0,1,0,1,0,0,2,1,0,0,0,0,1,28
,ARMENIA,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,AUSTRALIA,40,66,"1,300",90,0,"1,496",0,0,0,0,0,0,0,0,2,9,0,6,2,19,"1,515"
,AUSTRIA,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,AZERBAIJAN,1,2,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,"BAHAMAS, THE",1,39,9,0,10,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
,BAHRAIN,20,"3,251",678,23,242,"4,214",0,0,313,0,0,0,0,313,19,319,0,1,158,497,"5,024"
,BANGLADESH,5,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,BARBADOS,1,0,6,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,BELGIUM,648,37,4,359,1,"1,049",0,0,0,0,0,6,0,6,370,1,0,11,310,692,"1,747"
,BELIZE,1,1,8,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,BOLIVIA,2,0,9,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,BOSNIA AND HERZEGOVINA,1,0,1,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4
,BOTSWANA,3,0,7,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,BRAZIL,9,9,24,10,1,53,0,0,0,0,0,0,0,0,4,2,0,0,0,6,59
,BRITISH ATLANTIC OCEAN TERRITORY,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,BRITISH INDIAN OCEAN TERRITORY,0,260,0,39,0,299,0,0,1,0,0,0,0,1,0,3,0,0,0,3,303
,BRUNEI,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,BULGARIA,3,4,1,4,0,12,0,0,0,0,0,0,0,0,12,0,0,2,0,14,26
,BURKINA FASO,0,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,BURMA,4,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,BURUNDI,0,0,8,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,CAMBODIA,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,CAMEROON,8,0,9,1,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,1,19
,CANADA,6,43,13,78,4,144,0,0,0,0,0,0,0,0,0,3,0,1,22,26,170
,CENTRAL AFRICAN REPUBLIC,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,CHAD,5,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,CHILE,5,8,12,10,0,35,0,0,0,0,1,0,0,1,2,1,0,2,0,5,41
,CHINA,8,2,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,COLOMBIA,23,5,18,14,4,64,0,0,0,0,0,0,0,0,14,1,0,1,1,17,81
,CONGO (BRAZZAVILLE),4,0,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,CONGO (KINSHASA),1,0,14,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,COSTA RICA,1,1,7,0,1,10,0,0,1,0,0,0,0,1,2,0,0,0,0,2,13
,COTE DIVOIRE,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,CROATIA,1,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4
,CUBA,140,564,120,0,7,831,0,0,144,0,0,0,0,144,13,198,0,0,72,283,"1,258"
,CYPRUS,5,0,0,10,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,16
,CZECHIA,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7
,DENMARK,2,2,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,DJIBOUTI,1,0,952,1,0,954,0,0,389,0,0,0,0,389,0,2,0,0,1,3,"1,346"
,DOMINICAN REPUBLIC,10,1,9,2,2,24,0,0,0,0,0,0,0,0,5,0,0,0,0,5,29
,ECUADOR,12,2,10,2,1,27,0,0,0,0,0,0,0,0,3,0,0,0,0,3,30
,EGYPT,243,15,1,21,0,280,0,0,0,0,0,0,0,0,6,2,0,6,0,14,294
,EL SALVADOR,7,30,13,2,1,53,0,0,3,0,0,0,0,3,2,1,0,0,0,3,59
,ESTONIA,1,0,1,1,0,3,0,0,1,0,0,0,0,1,2,0,0,0,0,2,6
,ETHIOPIA,5,2,8,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
,FIJI,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,FINLAND,4,5,2,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
,FRANCE,25,9,2,19,0,55,0,0,0,0,0,0,0,0,4,2,0,5,0,11,66
,GABON,2,1,8,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,GEORGIA,2,0,1,1,0,4,0,0,0,0,0,0,0,0,4,0,0,1,1,6,10
,GERMANY,"20,796",399,"1,201","12,692",13,"35,101",0,0,60,118,11,308,0,497,"5,646",28,27,"1,098","4,059","10,858","46,456"
,GHANA,4,0,2,2,0,8,0,0,0,0,0,0,0,0,0,1,0,1,0,2,10
,GREECE,9,378,0,23,0,410,0,0,0,0,0,0,0,0,3,87,0,0,0,90,500
,GREENLAND,0,0,0,147,0,147,0,0,0,0,0,0,0,0,0,0,0,1,0,1,148
,GUAM,194,"3,906",26,"2,073",0,"6,199","1,109",488,0,0,389,255,0,"2,241",127,"1,345",5,105,593,"2,175","10,615"
,GUATEMALA,22,1,8,2,0,33,0,0,0,0,0,0,0,0,3,1,0,0,0,4,37
,GUINEA,5,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,GUYANA,1,1,9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,HAITI,3,0,8,0,2,13,0,0,0,0,0,0,0,0,1,0,0,0,0,1,14
,HONDURAS,216,3,102,146,0,467,0,0,0,0,0,0,0,0,22,1,0,0,0,23,490
,HONG KONG,3,10,2,10,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
,HUNGARY,6,136,0,60,0,202,0,0,0,0,1,0,0,1,3,0,0,1,0,4,207
,ICELAND,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
,INDIA,5,7,1,8,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,22
,INDONESIA,3,11,24,2,0,40,0,0,0,0,1,0,0,1,3,1,0,0,0,4,45
,IRAQ*,,,,,,,,,,,,,,,,,,,,,
,IRELAND,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,ISRAEL,28,5,2,12,0,47,0,0,0,0,0,0,0,0,13,1,0,1,4,19,66
,ITALY,"4,128","3,981",171,"4,421",2,"12,703",0,0,53,0,0,34,0,87,617,783,0,143,850,"2,393","15,183"
,JAMAICA,1,0,9,0,2,12,0,0,0,0,0,0,0,0,2,0,0,0,0,2,14
,JAPAN,"2,640","20,268","19,342","12,012",17,"54,279",0,0,81,72,1,81,0,235,741,"1,666",574,727,"3,100","6,808","61,322"
,JORDAN,14,2,42,1,0,59,0,0,17,0,0,0,0,17,2,1,0,2,0,5,81
,KAZAKHSTAN,5,1,0,14,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
,KENYA,21,3,15,7,0,46,0,0,1,0,0,0,0,1,1,1,0,0,0,2,49
,"KOREA, SOUTH","17,218",294,190,"8,110",1,"25,813",0,0,9,3,0,52,0,64,"1,800",37,5,205,899,"2,946","28,823"
,KUWAIT,700,3,"1,125",35,0,"1,863",0,0,72,0,1,0,0,73,164,0,0,8,26,198,"2,134"
,KYRGYZSTAN,1,0,1,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,LAOS,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5
,LATVIA,2,0,1,3,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,2,8
,LEBANON,2,0,13,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
,LIBERIA,3,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,LIBYA,1,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,LITHUANIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2
,LUXEMBOURG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22,22
,MACEDONIA,3,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,MADAGASCAR,0,2,8,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,MALAWI,2,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,MALAYSIA,3,4,2,3,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,3,15
,MALI,4,0,4,2,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11
,MALTA,0,3,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,MARSHALL ISLANDS,14,0,0,0,0,14,0,0,0,0,0,0,0,0,69,0,0,0,0,69,83
,MAURITANIA,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,MAURITIUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
,MEXICO,11,5,41,4,2,63,0,0,0,0,0,0,0,0,1,0,0,10,0,11,74
,MOLDOVA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,MONGOLIA,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,MOROCCO,3,3,2,7,0,15,0,0,0,0,0,0,0,0,3,1,0,1,1,6,21
,MOZAMBIQUE,0,0,8,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,NAMIBIA,0,0,9,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,NEPAL,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,NETHERLANDS,128,29,2,214,31,404,0,0,0,0,0,0,0,0,80,0,0,3,126,209,613
,NEW ZEALAND,1,1,2,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,2,7
,NICARAGUA,6,0,8,1,0,15,0,0,1,0,0,0,0,1,1,0,0,0,0,1,17
,NIGER,4,0,1,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,NIGERIA,3,2,0,4,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,2,11
,NORTHERN MARIANA ISLANDS,0,0,1,0,0,1,0,71,0,0,0,0,0,71,2,3,0,0,0,5,77
,NORWAY,29,5,402,37,1,474,0,0,0,0,0,0,0,0,1,1,0,4,0,6,480
,OMAN,3,3,4,5,0,15,0,0,2,0,0,0,0,2,1,0,0,1,2,4,21
,PAKISTAN,7,2,8,18,0,35,0,0,3,0,0,0,0,3,0,0,0,0,0,0,38
,PANAMA,20,4,8,0,3,35,0,0,0,0,0,0,0,0,5,1,0,1,0,7,42
,PARAGUAY,5,0,7,1,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,2,15
,PERU,13,20,18,5,0,56,0,0,0,0,0,0,0,0,5,5,0,0,0,10,66
,PHILIPPINES,11,10,114,9,1,145,0,0,0,0,0,0,0,0,1,9,0,3,1,14,159
,POLAND,41,78,4,27,0,150,0,0,0,0,0,0,0,0,8,4,0,0,1,13,163
,PORTUGAL,2,45,1,185,0,233,0,0,0,0,0,0,0,0,3,1,0,1,0,5,238
,PUERTO RICO,86,30,24,17,0,157,"5,990","4,241",0,0,"1,107",0,0,"11,338","1,151",26,0,308,587,"2,072","13,567"
,QATAR,265,4,268,246,0,783,0,0,41,0,0,0,0,41,50,0,0,3,3,56,880
,ROMANIA,4,77,201,12,0,294,0,0,0,0,0,0,0,0,27,7,0,1,0,35,329
,RUSSIA,2,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,RWANDA,2,0,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,SAUDI ARABIA,214,20,22,57,10,323,0,0,1,0,0,0,0,1,176,1,0,14,24,215,539
,SENEGAL,3,2,6,1,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13
,SERBIA,2,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,SIERRA LEONE,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,SINGAPORE,8,169,4,17,7,205,0,0,0,0,0,0,0,0,3,153,0,0,19,175,380
,SLOVAKIA,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,SLOVENIA,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
,SOMALIA,0,1,59,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
,SOUTH AFRICA,3,3,38,3,0,47,0,0,0,0,0,0,0,0,0,1,0,0,1,2,49
,SOUTH SUDAN,1,0,15,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,SPAIN,26,"2,472",713,391,0,"3,602",0,0,5,0,0,2,0,7,1,247,0,9,163,420,"4,029"
,SRI LANKA,0,4,21,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
,SUDAN,3,0,13,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,SURINAME,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,SWAZILAND,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,SWEDEN,1,2,0,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,SWITZERLAND,26,0,0,4,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
,SYRIA*, , , , , , , , , , , , , , , , , , , , , 
,TAIWAN,0,2,1,4,0,7,0,0,0,0,0,0,0,0,0,1,0,0,11,12,19
,TAJIKISTAN,3,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,TANZANIA,4,2,8,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
,THAILAND,43,9,236,28,0,316,0,0,0,0,0,0,0,0,5,2,0,2,2,11,327
,TRINIDAD AND TOBAGO,1,1,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,TUNISIA,5,2,13,1,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,1,22
,TURKEY,137,6,2,"1,550",0,"1,695",0,0,0,0,0,2,0,2,6,0,0,28,42,76,"1,773"
,TURKMENISTAN,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,UGANDA,5,0,36,1,0,42,0,0,0,0,0,0,0,0,1,0,0,0,0,1,43
,UKRAINE,11,2,3,5,0,21,0,0,0,0,0,0,0,0,2,0,0,0,2,4,25
,UNITED ARAB EMIRATES,30,16,283,85,0,414,0,0,10,0,0,0,0,10,5,6,0,5,3,19,443
,UNITED KINGDOM,313,198,23,"8,579",24,"9,137",0,0,10,4,0,82,0,96,31,27,0,473,641,"1,172","10,405"
,URUGUAY,2,4,7,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,UZBEKISTAN,3,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,VENEZUELA,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,VIETNAM,0,3,2,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9
,"VIRGIN ISLANDS, U.S.",5,0,0,0,0,5,656,16,0,0,55,0,0,727,116,0,0,2,0,118,850
,WAKE ISLAND,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,YEMEN,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,ZAMBIA,1,0,8,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,ZIMBABWE,3,0,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,UNKNOWN,101,6,"4,033","1,155",815,"6,110",0,676,"1,399","3,479",1,13,51,"5,619",0,0,0,259,3,262,"11,991"
