Counts of Active Duty and Reserve Service Members and APF Civilians,,,,,,,,,,,,,,,,,,,,,,
"By Location Country, Personnel Category, Service and Component",,,,,,,,,,,,,,,,,,,,,,
"As of December 31, 2016",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, RCCPDS, APF Civilian Master, CTS Deployment File (as of November 2016), Civilian Deployment (as of November 2016)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,LOCATION STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,MASSACHUSETTS,372,374,171,"1,020","1,623","3,560","5,987","3,301",309,841,"2,164","2,067",403,"15,072","2,273",167,4,"3,122",830,"6,396","25,028"
,MICHIGAN,466,229,231,97,"1,123","2,146","7,956","2,963",885,942,"2,265",1,115,"15,127","6,736",33,8,815,"1,661","9,253","26,526"
,MINNESOTA,163,171,113,51,131,629,"10,804","2,977",588,470,"2,254","1,325",30,"18,448","1,265",18,2,866,179,"2,330","21,407"
,MISSISSIPPI,452,"2,242",453,"5,868",294,"9,309","9,468","1,740",822,75,"2,508","1,434",124,"16,171","3,557","2,496",0,"2,452",308,"8,813","34,293"
,MISSOURI,"8,413",345,"1,423","3,974",198,"14,353","9,274","4,811","1,175",730,"2,254","1,110",87,"19,441","5,447",52,124,"1,228",679,"7,530","41,324"
,MONTANA,61,6,22,"3,085",0,"3,174","2,596",694,106,67,888,23,0,"4,374",459,1,0,748,46,"1,254","8,802"
,NEBRASKA,175,403,79,"5,211",19,"5,887","3,268","1,313",301,123,978,261,0,"6,244","1,296",41,3,"2,660",113,"4,113","16,244"
,NEVADA,145,958,47,"9,085",0,"10,235","2,924","1,551",385,202,"1,134","1,202",0,"7,398",398,305,1,"1,530",174,"2,408","20,041"
,NEW HAMPSHIRE,55,209,51,142,270,727,"1,540",890,252,204,"1,108",1,15,"4,010",450,11,3,337,181,982,"5,719"
,NEW JERSEY,637,458,354,"4,216","1,686","7,351","5,942","4,120","1,185","1,191","2,384","2,325",187,"17,334","5,194","2,269",8,"2,037",610,"10,118","34,803"
,NEW MEXICO,268,60,63,"11,275",4,"11,670","2,859",774,204,72,997,227,1,"5,134","2,304",96,0,"3,600",402,"6,402","23,206"
,NEW YORK,"16,805","1,991",644,361,"1,045","20,846","9,643","8,149","1,657","1,812","5,532","1,352",387,"28,532","6,658",110,31,"2,185","2,002","10,986","60,364"
,NORTH CAROLINA,"42,393","4,272","42,177","5,976","1,713","96,531","10,055","6,661","1,106",787,"1,529","1,591",188,"21,917","10,367","4,660","2,863","1,202","2,540","21,632","140,080"
,NORTH DAKOTA,21,8,16,"6,964",1,"7,010","3,002",125,61,59,"1,003",29,0,"4,279",466,4,1,"1,139",74,"1,684","12,973"
,OHIO,503,288,249,"5,167",400,"6,607","11,309","5,494","1,221","1,001","4,686","3,426",243,"27,380","1,493",106,3,"14,494","9,552","25,648","59,635"
,OKLAHOMA,"10,403","1,324",408,"6,490",40,"18,665","6,360","2,410",479,317,"2,063","1,787",1,"13,417","5,251",106,6,"16,883","1,712","23,958","56,040"
,OREGON,114,162,107,124,995,"1,502","5,807",579,481,353,"2,270",109,114,"9,713","2,263",26,3,672,18,"2,982","14,197"
,PENNSYLVANIA,990,694,374,217,322,"2,597","15,156","7,812",869,"1,374","3,912","1,217",118,"30,458","8,067","6,417",22,"1,149","8,012","23,667","56,722"
,RHODE ISLAND,159,"2,302",208,64,304,"3,037","2,005",552,570,103,"1,069",2,44,"4,345",220,"4,162",2,225,96,"4,705","12,087"
,SOUTH CAROLINA,"9,215","6,932","9,045","6,678",732,"32,602","9,018","4,229",611,412,"1,337","2,204",161,"17,972","3,358","3,232",750,"2,022",793,"10,155","60,729"
,SOUTH DAKOTA,63,3,8,"3,137",0,"3,211","3,114",357,85,0,"1,044",23,0,"4,623",481,1,0,820,53,"1,355","9,189"
,TENNESSEE,338,"1,361",132,161,158,"2,150","9,384","3,812","1,216",737,"3,307",2,44,"18,502","3,048","1,225",3,"1,167",623,"6,066","26,718"
,TEXAS,"64,791","5,800","2,015","36,206","1,748","110,560","17,921","18,509","5,082","3,280","3,173","5,331",333,"53,629","25,393","1,391",33,"16,125","4,549","47,491","211,680"
,UTAH,173,28,115,"3,770",0,"4,086","5,452","2,944",352,245,"1,390","1,351",0,"11,734","1,844",46,2,"12,224","1,093","15,209","31,029"
,VERMONT,47,3,9,27,35,121,"2,642",166,53,0,771,0,1,"3,633",288,2,0,145,30,465,"4,219"
,VIRGINIA,"23,317","40,062","10,593","11,966","4,157","90,095","6,308","7,902","4,917","1,434","1,369","1,917",466,"24,313","17,918","40,713","5,145","5,969","24,109","93,854","208,262"
,WASHINGTON,"25,789","10,148",637,"5,812","2,011","44,397","5,993","5,957","2,149",585,"1,928","1,898",362,"18,872","9,569","19,077",3,"1,493","1,223","31,365","94,634"
,WEST VIRGINIA,57,6,43,31,69,206,"4,071","1,614",74,84,"2,144",0,17,"8,004","1,171",3,1,537,47,"1,759","9,969"
,WISCONSIN,428,33,104,78,296,939,"7,272","3,764",382,469,"2,270",0,79,"14,236","1,789",61,2,535,115,"2,502","17,677"
,WYOMING,37,1,7,"2,893",0,"2,938","1,441",82,70,0,"1,148",33,0,"2,774",223,2,0,786,39,"1,050","6,762"
,UNKNOWN,"5,847",0,0,0,0,"5,847",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,847"
UNITED STATES TOTAL,,"394,236","283,499","149,992","249,738","38,659","1,116,124","326,707","186,826","55,103","35,032","101,011","66,045","6,390","777,114","235,485","184,067","17,376","165,281","98,735","700,944","2,594,182"
OVERSEAS,AFGHANISTAN,"6,000",203,878,"2,210",3,"9,294",652,600,171,140,136,143,0,"1,842","1,088",188,40,260,254,"1,830","12,966"
,ALBANIA,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,ALGERIA,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,AMERICAN SAMOA,0,0,0,0,3,3,0,0,0,0,0,0,0,0,10,0,0,0,0,10,13
,ANGOLA,3,0,8,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,ARGENTINA,0,5,9,8,0,22,0,0,1,0,0,0,0,1,2,0,0,0,0,2,25
,ARMENIA,2,0,1,1,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5
,AUSTRALIA,34,75,3,76,0,188,0,0,0,0,0,0,0,0,6,6,0,4,2,18,206
,AUSTRIA,0,1,20,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
,AZERBAIJAN,1,1,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6
,"BAHAMAS, THE",1,49,0,0,10,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
,BAHRAIN,44,"4,389",935,23,113,"5,504",40,44,449,62,6,16,0,617,13,324,0,1,152,490,"6,611"
,BANGLADESH,2,0,35,1,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
,BARBADOS,2,0,7,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,BASSAS DA INDIA,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,BELARUS,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,BELGIUM,562,39,5,236,0,842,0,3,0,0,0,6,0,9,368,1,0,10,292,671,"1,522"
,BELIZE,1,1,10,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,BERMUDA,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,BOLIVIA,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,BOSNIA AND HERZEGOVINA,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
,BOTSWANA,5,0,0,4,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10
,BRAZIL,9,9,24,8,1,51,0,0,0,0,0,0,0,0,7,3,0,2,0,12,63
,BRITISH ATLANTIC OCEAN TERRITORY,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,BRITISH INDIAN OCEAN TERRITORY,0,239,0,36,0,275,0,0,0,0,0,0,0,0,0,4,0,0,0,4,279
,BRUNEI,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,BULGARIA,3,2,0,4,0,9,0,0,0,0,0,0,0,0,6,0,0,1,0,7,16
,BURKINA FASO,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,BURMA,3,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,BURUNDI,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,CAMBODIA,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
,CAMEROON,4,0,10,1,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,16
,CANADA,6,38,15,78,4,141,0,0,0,0,0,0,0,0,0,4,0,0,24,28,169
,CHAD,5,0,24,1,0,30,0,0,0,0,0,0,0,0,2,0,0,0,0,2,32
,CHILE,5,7,1,11,0,24,0,0,0,0,1,0,0,1,2,2,0,1,0,5,30
,CHINA,6,4,0,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,COLOMBIA,26,3,18,17,4,68,0,0,1,0,0,0,0,1,17,4,0,0,0,21,90
,COMOROS,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,CONGO (BRAZZAVILLE),2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,CONGO (KINSHASA),2,0,8,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,CORAL SEA ISLANDS,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,COSTA RICA,1,2,0,0,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,2,6
,COTE DIVOIRE,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,CROATIA,1,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4
,CUBA,136,537,127,0,6,806,0,0,127,0,0,0,0,127,12,174,0,0,84,270,"1,203"
,CYPRUS,2,0,0,9,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12
,CZECHIA,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7
,DENMARK,2,3,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,DJIBOUTI,416,568,519,458,0,"1,961",768,152,697,2,26,2,1,"1,648",6,48,0,4,9,67,"3,676"
,DOMINICA,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,DOMINICAN REPUBLIC,5,1,3,2,2,13,0,0,0,0,0,0,0,0,4,0,0,0,0,4,17
,ECUADOR,12,2,6,2,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,1,23
,EGYPT,329,21,2,23,0,375,134,5,0,0,0,1,0,140,3,3,0,10,0,16,531
,EL SALVADOR,7,25,353,2,0,387,0,0,5,0,0,0,0,5,3,1,0,0,0,4,396
,ESTONIA,3,1,0,2,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7
,ETHIOPIA,4,2,7,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,FIJI,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,FINLAND,3,4,0,4,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,FRANCE,22,12,4,19,0,57,0,0,0,0,0,0,0,0,5,2,0,2,0,9,66
,GABON,2,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,"GAMBIA, THE",0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,GEORGIA,9,0,0,1,0,10,0,0,0,0,0,0,0,0,8,0,0,1,0,9,19
,GERMANY,"20,380",891,"1,070","12,454",10,"34,805",40,"1,146",78,8,25,312,0,"1,609","6,066",35,20,"1,120","4,155","11,396","47,810"
,GHANA,3,0,4,3,0,10,0,0,0,0,0,0,0,0,0,1,0,1,0,2,12
,GREECE,8,346,32,21,0,407,0,0,1,0,0,0,0,1,2,74,0,0,0,76,484
,GREENLAND,0,0,0,158,0,158,0,0,0,0,0,0,0,0,0,0,0,1,0,1,159
,GUAM,135,"1,778",0,"1,918",0,"3,831","1,086",0,5,0,373,276,0,"1,740",124,"1,303",1,110,617,"2,155","7,726"
,GUATEMALA,21,0,8,1,0,30,0,0,0,0,0,0,0,0,4,1,0,0,0,5,35
,GUINEA,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,GUYANA,2,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,HAITI,4,0,0,0,2,6,0,0,0,0,0,0,0,0,1,5,0,0,0,6,12
,HONDURAS,231,2,1,150,0,384,0,0,0,0,0,0,0,0,21,1,0,0,0,22,406
,HONG KONG,3,10,3,12,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
,HUNGARY,6,146,1,59,0,212,0,0,0,0,1,0,0,1,3,0,0,1,0,4,217
,ICELAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
,INDIA,6,5,1,7,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
,INDONESIA,3,11,3,2,0,19,0,0,0,0,1,0,0,1,1,1,0,1,0,3,23
,IRAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2
,IRAQ,"3,552",315,882,791,0,"5,540",540,524,50,14,85,59,0,"1,272",585,37,10,38,56,726,"7,538"
,IRELAND,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,ISRAEL,11,5,1,15,0,32,0,0,0,0,0,0,0,0,15,2,0,1,6,24,56
,ITALY,"4,451","3,585",373,"3,691",2,"12,102",0,84,38,0,0,32,0,154,628,812,0,147,810,"2,397","14,653"
,JAMAICA,1,1,8,0,2,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13
,JAPAN,"2,759","11,228","13,724","11,618",16,"39,345",0,119,87,6,1,68,0,281,706,"1,604",604,768,"3,026","6,708","46,334"
,JORDAN,555,15,180,"1,009",0,"1,759",490,60,11,25,118,53,0,757,6,2,0,6,2,16,"2,532"
,KAZAKHSTAN,7,1,1,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,KENYA,15,3,13,7,0,38,0,1,1,0,0,0,0,2,2,2,0,0,0,4,44
,KIRIBATI,0,0,37,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
,"KOREA, NORTH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
,"KOREA, SOUTH","15,290",311,147,"7,719",1,"23,468",0,215,7,0,0,65,0,287,"1,972",31,4,226,890,"3,123","26,878"
,KOSOVO,337,4,15,22,0,378,326,1,0,0,2,0,0,329,2,1,0,0,2,5,712
,KUWAIT,"4,132",6,"1,332",826,0,"6,296","2,722","2,498",61,46,807,435,0,"6,569",432,10,8,29,101,580,"13,445"
,KYRGYZSTAN,1,5,60,0,0,66,2,2,0,5,0,0,0,9,1,0,0,3,0,4,79
,LAOS,3,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6
,LATVIA,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,LEBANON,67,4,26,2,0,99,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100
,LIBERIA,3,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6
,LIBYA,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,LUXEMBOURG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,17
,MACEDONIA,1,0,0,2,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4
,MADAGASCAR,0,2,16,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
,MALAWI,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,MALAYSIA,3,4,13,4,0,24,0,0,0,0,0,0,0,0,0,1,0,0,2,3,27
,MALI,3,0,5,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,MALTA,0,3,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,MARSHALL ISLANDS,16,0,0,0,0,16,0,0,0,0,0,0,0,0,56,0,0,0,0,56,72
,MAURITANIA,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,MAURITIUS,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
,MEXICO,15,7,30,5,2,59,0,0,0,0,0,0,0,0,1,0,0,7,0,8,67
,MOLDOVA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,MONGOLIA,4,0,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,MONTENEGRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
,MOROCCO,6,3,0,8,0,17,0,0,0,0,0,0,0,0,3,1,0,1,0,5,22
,MOZAMBIQUE,0,0,9,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,NAMIBIA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,NEPAL,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,NETHERLANDS,130,28,2,207,31,398,0,0,0,0,0,0,0,0,49,0,0,3,130,182,580
,NEW ZEALAND,2,1,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,2,3,8
,NICARAGUA,9,0,0,1,0,10,0,0,1,0,0,0,0,1,28,0,1,6,5,40,51
,NIGER,3,0,2,2,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8
,NIGERIA,2,2,6,4,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
,NORTHERN MARIANA ISLANDS,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,2,5
,NORWAY,35,5,6,37,0,83,0,0,0,0,0,0,0,0,1,1,0,4,0,6,89
,OMAN,3,2,19,8,0,32,1,1,1,0,0,0,0,3,1,0,0,3,1,5,40
,PAKISTAN,15,6,58,36,0,115,1,1,3,0,1,0,0,6,2,1,0,1,2,6,127
,PANAMA,25,4,0,0,3,32,0,0,0,0,0,0,0,0,6,1,0,1,0,8,40
,PARAGUAY,5,0,8,1,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
,PERU,15,19,14,3,0,51,0,0,0,0,0,0,0,0,4,5,0,0,0,9,60
,PHILIPPINES,11,11,2,10,1,35,0,0,0,0,0,0,0,0,1,10,0,3,1,15,50
,POLAND,21,6,3,29,0,59,0,0,0,0,0,0,0,0,4,0,0,0,2,6,65
,PORTUGAL,1,10,0,174,0,185,0,0,0,0,0,0,0,0,3,2,0,3,0,8,193
,PUERTO RICO,95,24,0,19,7,145,"6,340",0,0,0,"1,176",0,0,"7,516","1,039",29,0,286,628,"1,982","9,643"
,QATAR,295,4,84,"2,593",0,"2,976",477,99,52,9,970,417,0,"2,024",35,2,1,160,16,214,"5,214"
,ROMANIA,4,13,641,9,0,667,0,0,0,0,0,0,0,0,23,9,0,1,0,33,700
,RUSSIA,8,6,0,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
,RWANDA,2,0,9,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,SAUDI ARABIA,220,20,39,73,0,352,10,43,0,0,9,13,0,75,166,2,0,22,31,221,648
,SENEGAL,4,3,3,1,0,11,0,0,0,0,0,0,0,0,0,1,0,0,1,2,13
,SERBIA,0,0,8,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,SIERRA LEONE,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,SINGAPORE,8,119,15,29,7,178,0,0,0,0,0,0,0,0,2,143,0,0,20,165,343
,SLOVAKIA,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,SLOVENIA,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
,SOMALIA,23,94,13,4,0,134,0,0,4,0,0,0,0,4,0,0,0,0,0,0,138
,SOUTH AFRICA,5,3,0,3,0,11,0,0,0,0,0,0,0,0,0,1,0,0,1,2,13
,SPAIN,25,"2,725",113,393,0,"3,256",0,0,7,0,0,2,0,9,3,248,2,12,152,417,"3,682"
,SRI LANKA,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,SUDAN,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,SURINAME,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,SVALBARD,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,SWEDEN,1,1,0,5,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,SWITZERLAND,1,0,10,3,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
,SYRIA,168,0,0,36,0,204,30,39,0,0,0,5,0,74,1,0,0,0,0,1,279
,TAIWAN,0,2,1,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,6,16
,TAJIKISTAN,3,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
,TANZANIA,4,2,10,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,THAILAND,44,9,206,30,0,289,0,0,1,0,0,0,0,1,4,2,0,3,3,12,302
,TIMOR-LESTE,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6
,TONGA,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
,TRINIDAD AND TOBAGO,1,1,1,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4
,TUNISIA,4,3,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,TURKEY,142,4,211,"1,877",0,"2,234",32,0,0,1,0,3,0,36,8,1,0,25,56,90,"2,360"
,TURKMENISTAN,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,UGANDA,6,0,38,12,0,56,0,0,0,0,0,1,0,1,1,0,0,2,0,3,60
,UKRAINE,7,1,0,5,0,13,0,0,0,0,0,0,0,0,1,0,0,1,1,3,16
