Counts of Active Duty and Reserve Service Members and APF Civilians,,,,,,,,,,,,,,,,,,,,,,
"By Location Country, Personnel Category, Service and Component",,,,,,,,,,,,,,,,,,,,,,
"As of June 30, 2017",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, RCCPDS, APF Civilian Master, CTS Deployment File, Civilian Deployment",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,LOCATION STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,CONNECTICUT,101,"3,834",63,35,660,"4,693","3,483","1,314",391,265,"1,004",1,103,"6,561",516,"1,134",0,216,632,"2,498","13,752"
,DELAWARE,71,16,14,"3,242",35,"3,378","1,513",479,124,164,"1,094","1,515",6,"4,895",216,2,2,"1,062",117,"1,399","9,672"
,DISTRICT OF COLUMBIA,"1,586","2,537","2,157","1,624","1,682","9,586","1,358",479,177,618,"1,248",267,156,"4,303","1,342","10,380",26,327,791,"12,866","26,755"
,FLORIDA,"5,388","20,908","3,777","21,484","4,786","56,343","9,447","10,212","5,515","1,608","2,017","6,369",810,"35,978","3,698","12,338",257,"12,156","2,158","30,607","122,928"
,GEORGIA,"45,918","3,624","1,312","8,388",469,"59,711","10,789","7,655","1,374",741,"2,687","2,743",76,"26,065","11,633","2,345","1,901","14,144","2,884","32,907","118,683"
,HAWAII,"16,627","7,917","6,783","4,931","1,239","37,497","2,996","2,416",601,282,"2,172",694,127,"9,288","5,139","9,977",616,"1,715","1,237","18,684","65,469"
,IDAHO,53,39,33,"3,114",5,"3,244","3,042",753,152,110,"1,317",23,0,"5,397",689,67,0,734,52,"1,542","10,183"
,ILLINOIS,950,"13,536",385,"4,265",137,"19,273","9,810","6,300","2,324","1,325","2,894","1,436",55,"24,144","6,892","1,019",30,"3,468","1,209","12,618","56,035"
,INDIANA,563,110,191,82,35,981,"11,483","3,002",391,622,"1,789","1,585",9,"18,881","1,889","3,633",239,847,"4,324","10,932","30,794"
,IOWA,92,22,72,29,34,249,"6,799","2,118",147,131,"1,728",0,0,"10,923",994,8,1,483,60,"1,546","12,718"
,KANSAS,"17,612",73,92,"2,981",101,"20,859","4,286","2,629",110,193,"1,988",606,20,"9,832","5,433",5,1,"1,003",328,"6,770","37,461"
,KENTUCKY,"30,385",8,96,209,157,"30,855","6,501","4,307",241,268,"1,219",3,66,"12,605","8,629",18,3,323,947,"9,920","53,380"
,LOUISIANA,"8,030",421,687,"5,157","1,182","15,477","9,626","1,910","1,167","1,583","1,492","1,409",145,"17,332","3,253",528,231,"1,596",271,"5,879","38,688"
,MAINE,45,148,26,10,586,815,"1,974",438,103,169,"1,097",0,56,"3,837",290,"6,420",0,287,779,"7,776","12,428"
,MARYLAND,"8,441","10,251","1,861","8,173",897,"29,623","4,225","6,047","3,411",544,"1,834","1,818",168,"18,047","16,216","16,500",103,"3,169","8,170","44,158","91,828"
,MASSACHUSETTS,357,392,187,"1,008","1,688","3,632","5,863","3,315",262,821,"2,114","2,207",393,"14,975","2,293",158,4,"3,115",806,"6,376","24,983"
,MICHIGAN,431,221,248,105,"1,136","2,141","7,989","2,964",860,944,"2,197",2,113,"15,069","6,786",33,7,786,"1,643","9,255","26,465"
,MINNESOTA,159,157,123,47,121,607,"10,906","3,092",591,446,"2,158","1,334",27,"18,554","1,327",17,1,839,172,"2,356","21,517"
,MISSISSIPPI,431,"4,373",468,"5,870",335,"11,477","9,547","1,771",797,72,"2,582","1,478",113,"16,360","3,623","2,435",0,"2,470",316,"8,844","36,681"
,MISSOURI,"8,798",344,"1,648","4,156",197,"15,143","8,397","4,817","1,160",715,"2,193",980,81,"18,343","5,450",53,119,"1,232",675,"7,529","41,015"
,MONTANA,60,6,27,"3,208",0,"3,301","2,566",687,105,65,957,22,0,"4,402",466,1,0,790,45,"1,302","9,005"
,NEBRASKA,168,405,77,"5,410",16,"6,076","3,288","1,246",281,132,968,289,0,"6,204","1,341",43,3,"2,638",102,"4,127","16,407"
,NEVADA,148,941,54,"9,034",0,"10,177","3,271","1,476",383,194,"1,103","1,240",0,"7,667",436,293,1,"1,528",176,"2,434","20,278"
,NEW HAMPSHIRE,49,219,57,140,300,765,"1,625","1,079",238,191,"1,029",1,8,"4,171",460,11,3,327,181,982,"5,918"
,NEW JERSEY,641,457,378,"4,411","1,798","7,685","5,819","4,019","1,196","1,212","2,306","2,293",217,"17,062","5,188","2,284",9,"2,004",594,"10,079","34,826"
,NEW MEXICO,285,75,73,"11,318",4,"11,755","2,839",759,203,77,971,217,1,"5,067","2,264",93,0,"3,526",389,"6,272","23,094"
,NEW YORK,"17,074","2,264",666,347,"1,047","21,398","9,863","8,040","1,624","1,787","5,539","1,328",368,"28,549","6,522",106,28,"2,165","1,942","10,763","60,710"
,NORTH CAROLINA,"40,669","4,172","41,207","6,172","1,725","93,945","10,113","6,183","1,111",988,"1,360","1,667",187,"21,609","10,335","4,621","2,768","1,164","2,436","21,324","136,878"
,NORTH DAKOTA,21,6,19,"6,774",1,"6,821","2,917",278,59,54,992,25,0,"4,325",472,4,1,"1,089",70,"1,636","12,782"
,OHIO,481,285,276,"5,265",409,"6,716","10,445","5,485","1,179","1,031","4,882","3,569",229,"26,820","1,437",103,3,"14,557","9,574","25,674","59,210"
,OKLAHOMA,"10,820","1,303",421,"6,571",35,"19,150","6,409","2,072",467,321,"2,161","1,782",2,"13,214","5,213",110,5,"16,941","1,723","23,992","56,356"
,OREGON,117,167,118,133,"1,029","1,564","5,660",580,451,361,"2,190",76,105,"9,423","2,256",27,3,653,19,"2,958","13,945"
,PENNSYLVANIA,858,737,389,204,334,"2,522","15,476","7,611",866,"1,379","3,799","1,243",114,"30,488","8,178","6,473",21,"1,115","7,957","23,744","56,754"
,RHODE ISLAND,121,"2,242",237,56,315,"2,971","1,992",507,589,105,"1,028",2,45,"4,268",212,"4,164",2,224,101,"4,703","11,942"
,SOUTH CAROLINA,"9,642","6,580","9,375","7,470",827,"33,894","9,094","4,249",598,423,"1,314","2,061",153,"17,892","3,394","3,263",738,"1,991",754,"10,140","61,926"
,SOUTH DAKOTA,63,2,14,"3,273",0,"3,352","3,000",332,84,0,"1,042",23,0,"4,481",520,1,0,814,47,"1,382","9,215"
,TENNESSEE,329,"1,343",136,158,156,"2,122","9,128","3,672","1,189",735,"3,273",3,40,"18,040","3,001","1,230",3,"1,190",579,"6,003","26,165"
,TEXAS,"64,631","6,179","2,091","36,927","1,766","111,594","17,270","18,446","5,011","3,307","3,086","5,631",323,"53,074","25,039","1,377",30,"16,159","4,458","47,063","211,731"
,UTAH,177,32,100,"3,554",0,"3,863","5,372","3,033",371,250,"1,373","1,355",0,"11,754","1,809",47,1,"12,083","1,082","15,022","30,639"
,VERMONT,49,12,18,62,36,177,"2,582",164,49,0,969,0,8,"3,772",278,2,0,294,30,604,"4,553"
,VIRGINIA,"22,508","40,023","10,856","11,836","4,110","89,333","6,876","7,778","5,392","1,876","1,302","1,900",465,"25,589","17,700","40,375","5,095","5,941","23,667","92,778","207,700"
,WASHINGTON,"25,304","11,346",682,"5,684","2,090","45,106","5,934","5,993","2,146",611,"1,959","1,853",344,"18,840","9,338","19,017",3,"1,472","1,219","31,049","94,995"
,WEST VIRGINIA,57,4,48,29,68,206,"4,137","1,609",77,75,"2,120",0,16,"8,034","1,204",3,1,553,47,"1,808","10,048"
,WISCONSIN,451,49,124,80,295,999,"7,112","3,849",377,480,"2,091",0,81,"13,990","1,840",61,2,521,112,"2,536","17,525"
,WYOMING,37,1,7,"3,089",0,"3,134","1,508",87,68,0,"1,170",38,0,"2,871",216,2,0,802,34,"1,054","7,059"
,UNKNOWN,"5,800",0,173,0,0,"5,973",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,973"
UNITED STATES TOTAL,,"397,282","285,400","148,824","254,738","39,560","1,125,804","324,728","185,620","54,462","34,637","100,336","65,855","6,255","771,893","234,315","183,608","17,089","165,053","97,442","697,507","2,595,204"
OVERSEAS,AFGHANISTAN,"6,786",232,"1,153","1,933",3,"10,107",740,575,208,129,67,139,0,"1,858",902,80,13,176,197,"1,368","13,333"
,ALBANIA,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,ALGERIA,4,4,10,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
,AMERICAN SAMOA,0,0,1,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,11,12
,ANGOLA,3,0,8,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,ARGENTINA,0,4,8,9,0,21,0,0,1,0,0,0,0,1,2,0,0,0,0,2,24
,ARMENIA,1,0,9,1,0,11,0,0,0,0,1,0,0,1,0,0,0,0,0,0,12
,AUSTRALIA,31,71,"1,206",83,0,"1,391",0,0,0,0,0,0,0,0,7,5,0,4,2,18,"1,409"
,AUSTRIA,1,1,19,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
,AZERBAIJAN,1,1,8,4,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,15
,"BAHAMAS, THE",1,47,6,0,13,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
,BAHRAIN,142,"4,289","1,360",13,94,"5,898",23,21,494,83,9,0,0,630,17,313,0,1,81,412,"6,940"
,BANGLADESH,3,0,9,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,BARBADOS,2,0,8,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,BELGIUM,601,37,27,243,0,908,0,1,0,0,0,6,0,7,364,1,0,11,124,500,"1,415"
,BELIZE,1,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,BENIN,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
,BOLIVIA,2,0,11,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,BOSNIA AND HERZEGOVINA,1,0,9,1,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12
,BOTSWANA,5,0,8,4,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,1,18
,BRAZIL,9,11,27,8,1,56,0,0,0,0,0,0,0,0,6,3,0,2,0,11,67
,BRITISH ATLANTIC OCEAN TERRITORY,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,BRITISH INDIAN OCEAN TERRITORY,0,234,0,40,0,274,0,0,0,0,0,0,0,0,0,2,0,0,0,2,276
,BRUNEI,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,BULGARIA,2,4,7,4,0,17,0,0,0,0,0,0,0,0,14,0,0,2,0,16,33
,BURKINA FASO,0,0,10,3,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,1,14
,BURMA,3,0,8,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,BURUNDI,0,0,8,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,CAMBODIA,3,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11
,CAMEROON,5,0,9,1,0,15,0,0,0,0,0,0,0,0,0,2,0,0,0,2,17
,CANADA,9,35,15,78,5,142,0,0,0,0,0,0,0,0,0,3,0,0,24,27,169
,CENTRAL AFRICAN REPUBLIC,0,0,0,0,0,0,12,1,0,0,0,0,0,13,0,0,0,0,0,0,13
,CHAD,4,0,14,1,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20
,CHILE,5,7,13,11,0,36,0,0,0,0,0,0,0,0,2,2,0,1,0,5,41
,CHINA,6,4,56,0,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
,COLOMBIA,27,4,18,19,5,73,0,0,1,0,0,0,0,1,16,1,0,1,0,18,92
,CONGO (BRAZZAVILLE),1,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,CONGO (KINSHASA),3,0,14,1,0,18,8,0,0,0,0,0,0,8,0,0,0,0,0,0,26
,COSTA RICA,1,2,6,0,1,10,0,0,0,0,0,0,0,0,2,0,0,0,0,2,12
,COTE DIVOIRE,3,0,9,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,CROATIA,1,1,9,1,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13
,CUBA,134,515,120,0,8,777,0,0,144,0,0,0,8,152,12,161,0,0,39,212,"1,141"
,CYPRUS,5,0,10,10,0,25,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26
,CZECHIA,3,0,7,5,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,16
,DENMARK,2,3,7,5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
,DJIBOUTI,400,696,299,631,0,"2,026",722,204,710,3,31,5,3,"1,678",6,31,0,5,4,46,"3,750"
,DOMINICAN REPUBLIC,6,0,9,2,3,20,0,0,0,0,0,0,0,0,4,0,0,0,0,4,24
,ECUADOR,13,3,8,2,0,26,0,0,0,0,0,0,0,0,1,0,0,0,0,1,27
,EGYPT,261,20,25,24,0,330,64,6,0,0,0,0,0,70,5,3,0,6,0,14,414
,EL SALVADOR,6,31,16,2,0,55,0,0,5,0,0,0,0,5,2,1,0,0,0,3,63
,ESTONIA,3,1,8,2,0,14,0,0,1,0,0,0,0,1,1,0,0,0,0,1,16
,ETHIOPIA,4,2,8,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
,FIJI,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,FINLAND,3,4,8,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
,FRANCE,22,12,20,22,0,76,0,0,0,0,0,0,0,0,4,2,0,2,0,8,84
,GABON,2,1,8,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,"GAMBIA, THE",0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,GEORGIA,0,0,34,0,0,34,0,0,0,0,0,0,0,0,6,1,0,1,0,8,42
,GERMANY,"20,371",897,457,"11,981",9,"33,715",44,"1,160",95,10,14,312,0,"1,635","5,954",35,20,"1,076","2,082","9,167","44,517"
,GHANA,3,0,11,3,0,17,0,0,0,0,0,0,0,0,0,1,0,1,0,2,19
,GREECE,8,341,30,23,0,402,0,0,1,0,0,0,0,1,1,81,0,0,0,82,485
,GREENLAND,0,0,0,163,0,163,0,0,0,0,0,0,0,0,0,0,0,1,0,1,164
,GUAM,161,"1,796",21,"2,342",0,"4,320","1,092",0,6,0,355,281,0,"1,734",124,"1,288",1,114,588,"2,115","8,169"
,GUATEMALA,23,1,7,1,0,32,0,0,0,0,0,0,0,0,3,1,0,0,0,4,36
,GUINEA,4,0,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,GUYANA,1,1,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,HAITI,4,0,9,0,2,15,0,0,0,0,0,0,0,0,1,2,0,0,0,3,18
,HONDURAS,234,2,11,146,0,393,0,0,0,0,0,0,0,0,19,1,0,0,0,20,413
,HONG KONG,3,10,7,13,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
,HUNGARY,7,142,7,59,0,215,0,0,0,0,1,0,0,1,3,0,0,0,0,3,219
,ICELAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
,INDIA,6,7,19,5,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
,INDONESIA,4,11,4,2,0,21,0,0,0,0,1,0,0,1,1,2,0,1,0,4,26
,IRAQ,"3,820",329,"1,221",778,0,"6,148",877,481,38,24,26,19,0,"1,465",472,20,11,27,41,571,"8,184"
,IRELAND,1,0,7,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,ISRAEL,9,5,23,13,0,50,0,0,0,0,0,0,0,0,14,0,0,1,5,20,70
,ITALY,"4,314","3,513",211,"3,793",2,"11,833",1,87,77,0,0,29,0,194,642,810,0,142,308,"1,902","13,929"
,JAMAICA,1,1,8,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,JAPAN,"2,608","11,613","17,586","11,818",16,"43,641",0,123,94,66,0,74,0,357,731,"1,634",579,729,"1,388","5,061","49,059"
,JORDAN,477,22,212,"1,123",0,"1,834",421,52,11,38,91,12,0,625,5,0,0,4,1,10,"2,469"
,KAZAKHSTAN,6,1,15,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
,KENYA,22,5,13,105,0,145,0,1,0,0,0,0,0,1,2,1,0,0,0,3,149
,"KOREA, SOUTH","15,119",296,206,"7,736",1,"23,358",0,220,12,4,0,58,0,294,"1,970",33,4,226,405,"2,638","26,290"
,KOSOVO,328,3,14,20,0,365,317,4,0,0,0,0,0,321,1,0,0,0,0,1,687
,KUWAIT,"4,864",68,"2,114",63,0,"7,109","3,707","2,245",86,52,533,579,0,"7,202",467,16,2,23,90,598,"14,909"
,KYRGYZSTAN,1,5,64,0,0,70,2,2,0,6,0,0,0,10,1,0,0,0,0,1,81
,LAOS,4,2,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15
,LATVIA,2,0,8,2,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,3,15
,LEBANON,60,4,30,2,0,96,0,1,0,0,0,0,0,1,2,0,0,0,0,2,99
,LIBERIA,3,0,10,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,LIBYA,1,0,127,0,0,128,0,0,0,0,0,0,0,0,0,1,0,0,0,1,129
,LITHUANIA,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,LUXEMBOURG,0,0,7,0,0,7,0,0,0,0,0,0,0,0,16,0,0,0,0,16,23
,MACEDONIA,1,0,8,2,0,11,0,0,0,0,1,0,0,1,0,0,0,0,0,0,12
,MADAGASCAR,0,2,8,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,MALAWI,2,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,MALAYSIA,3,5,10,4,0,22,0,0,0,0,0,0,0,0,0,1,0,0,2,3,25
,MALI,4,0,19,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
,MALTA,0,2,8,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,MARSHALL ISLANDS,19,0,0,0,0,19,0,0,0,0,0,0,0,0,60,0,0,0,0,60,79
,MAURITANIA,0,0,23,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
,MAURITIUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
,MEXICO,16,7,43,4,2,72,0,0,0,0,0,0,0,0,1,0,0,7,0,8,80
,MOLDOVA,0,0,8,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,MONGOLIA,4,0,10,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,MONTENEGRO,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10
,MOROCCO,6,3,20,9,0,38,0,0,0,0,0,0,0,0,3,2,0,1,0,6,44
,MOZAMBIQUE,0,0,8,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,NAMIBIA,1,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,NEPAL,4,0,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,NETHERLANDS,129,30,18,219,33,429,0,0,0,0,0,0,0,0,57,0,0,2,58,117,546
,NEW ZEALAND,2,2,6,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1,2,3,14
,NICARAGUA,9,1,8,0,0,18,0,0,1,0,0,0,0,1,1,0,0,0,0,1,20
,NIGER,4,0,14,5,0,23,0,0,0,0,0,0,0,0,0,2,0,1,0,3,26
,NIGERIA,2,2,25,3,0,32,0,0,0,0,0,0,0,0,1,0,0,0,0,1,33
,NORTHERN MARIANA ISLANDS,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,5,6
,NORWAY,33,5,267,37,0,342,0,0,0,0,0,0,0,0,1,1,0,3,0,5,347
,OMAN,3,2,11,9,0,25,1,0,1,0,0,1,0,3,1,0,0,2,1,4,32
,PAKISTAN,13,4,59,28,0,104,0,1,3,0,1,0,0,5,0,1,0,1,1,3,112
,PANAMA,23,5,8,0,2,38,0,0,0,0,0,0,0,0,6,1,0,1,0,8,46
,PARAGUAY,4,0,7,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12
,PERU,17,15,13,3,0,48,0,0,0,0,0,0,0,0,5,4,0,0,0,9,57
,PHILIPPINES,11,12,142,11,1,177,0,0,0,0,0,1,0,1,1,10,0,3,1,15,193
,POLAND,28,55,8,26,0,117,0,0,0,0,0,0,0,0,10,0,0,0,2,12,129
,PORTUGAL,2,11,17,185,0,215,0,0,0,0,0,0,0,0,3,2,0,3,0,8,223
,PUERTO RICO,103,25,18,21,0,167,"6,198",0,0,0,"1,151",0,0,"7,349","1,058",27,0,292,608,"1,985","9,501"
,QATAR,652,4,72,336,0,"1,064",482,139,48,9,667,646,0,"1,991",44,3,1,40,21,109,"3,164"
,ROMANIA,11,77,320,13,0,421,0,0,0,0,0,0,0,0,32,10,0,1,0,43,464
,RUSSIA,8,6,27,5,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
,RWANDA,1,0,8,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,SAUDI ARABIA,252,20,93,73,0,438,17,56,0,0,2,0,0,75,173,4,0,19,21,217,730
,SENEGAL,4,3,36,1,0,44,0,0,0,0,0,0,0,0,0,1,0,0,0,1,45
,SERBIA,0,0,9,1,0,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,11
,SIERRA LEONE,1,0,8,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,SINGAPORE,6,153,16,29,7,211,0,0,0,0,0,1,0,1,1,143,0,0,21,165,377
,SLOVAKIA,1,0,7,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,SLOVENIA,0,0,8,2,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11
,SOMALIA,55,30,21,3,0,109,0,1,5,0,0,0,0,6,0,0,0,0,0,0,115
,SOUTH AFRICA,5,3,36,3,0,47,0,0,0,0,0,0,0,0,0,1,0,0,1,2,49
,SOUTH SUDAN,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,SPAIN,27,"2,637",628,400,0,"3,692",0,0,34,0,0,0,0,34,3,243,1,11,46,304,"4,030"
,SRI LANKA,1,3,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,SUDAN,3,0,14,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
,SURINAME,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,SWAZILAND,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,SWEDEN,2,1,6,5,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,SWITZERLAND,1,0,17,3,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,1,22
,SYRIA,455,30,483,135,0,"1,103",103,29,1,0,10,3,0,146,2,0,0,0,0,2,"1,251"
,TAIWAN,0,2,1,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15
,TAJIKISTAN,5,0,7,1,0,13,0,0,0,0,0,1,0,1,0,0,0,1,0,1,15
,TANZANIA,4,2,9,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,THAILAND,46,8,43,29,0,126,0,0,1,0,0,0,0,1,5,3,0,2,2,12,139
,TIMOR-LESTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
,TOGO,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,TRINIDAD AND TOBAGO,1,1,7,0,0,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,10
,TUNISIA,4,3,31,1,0,39,0,0,0,0,1,0,0,1,0,0,0,0,0,0,40
,TURKEY,254,11,466,655,0,"1,386",1,0,0,1,1,11,0,14,7,1,0,30,19,57,"1,457"
,TURKMENISTAN,0,0,9,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,UGANDA,14,1,44,4,0,63,9,0,0,0,0,0,0,9,1,0,0,1,0,2,74
,UKRAINE,7,1,12,6,0,26,0,0,0,0,0,0,0,0,3,0,0,1,2,6,32
,UNITED ARAB EMIRATES,257,11,490,103,0,861,94,17,9,8,414,74,0,616,8,7,0,10,2,27,"1,504"
,UNITED KINGDOM,191,206,51,"7,687",36,"8,171",0,34,41,0,0,85,0,160,42,27,0,483,348,900,"9,231"
,URUGUAY,2,4,9,2,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,1,18
,UZBEKISTAN,2,0,7,3,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13
,VENEZUELA,0,0,8,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
