Number of Military and DoD Appropriated Fund (APF) Civilian Personnel Permanently Assigned,,,,,,,,,,,,,,,,,,,,,,
By Duty Location and Service/Component,,,,,,,,,,,,,,,,,,,,,,
"As of March 31, 2018",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, Reserve Common Components Personnel Data System (RCCPDS) File, Appropriated Fund (APF) Civilian Master File",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,DUTY STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,CONNECTICUT,110,"5,387",61,36,648,"6,242","3,523","1,173",401,271,"1,187",1,80,"6,636",526,"1,114",0,244,637,"2,521","15,399"
,DELAWARE,67,18,14,"3,351",40,"3,490","1,527",515,124,164,"1,114","1,549",9,"5,002",208,3,2,"1,047",115,"1,375","9,867"
,DISTRICT OF COLUMBIA,"1,599","2,576","2,155","1,758","1,711","9,799","1,312",500,125,648,"1,309",257,137,"4,288","1,347","10,219",25,329,752,"12,672","26,759"
,FLORIDA,"5,802","25,458","4,179","23,118","4,899","63,456","9,299","10,098","5,752","1,667","2,125","6,520",807,"36,268","3,731","12,325",265,"12,194","2,195","30,710","130,434"
,GEORGIA,"46,939","5,585","1,304","9,331",486,"63,645","10,877","7,476","1,428",755,"2,769","3,084",76,"26,465","11,661","2,392","1,788","14,345","2,960","33,146","123,256"
,HAWAII,"16,472","13,813","7,001","5,040","1,214","43,540","2,975","2,539",610,288,"2,267",708,130,"9,517","5,224","10,187",591,"1,608","1,223","18,833","71,890"
,IDAHO,52,39,32,"3,371",4,"3,498","3,065",732,167,117,"1,351",26,0,"5,458",684,70,0,718,50,"1,522","10,478"
,ILLINOIS,947,"14,204",386,"4,366",135,"20,038","9,863","6,505","1,878","1,297","2,992","1,457",62,"24,054","6,790","1,029",31,"3,419","1,181","12,450","56,542"
,INDIANA,554,96,188,81,40,959,"11,563","2,742",384,632,"1,912","1,585",7,"18,825","1,937","3,558",252,868,"4,362","10,977","30,761"
,IOWA,98,18,65,30,35,246,"6,728","2,016",148,140,"1,804",0,0,"10,836",921,6,1,439,61,"1,428","12,510"
,KANSAS,"18,609",58,85,"3,158",102,"22,012","4,526","2,645",118,198,"2,073",706,20,"10,286","5,457",5,1,"1,008",327,"6,798","39,096"
,KENTUCKY,"31,608",9,81,223,160,"32,081","6,666","4,341",260,257,"1,268",4,51,"12,847","8,658",20,3,287,"1,021","9,989","54,917"
,LOUISIANA,"8,066",380,706,"5,306","1,232","15,690","9,782","1,990","1,166","1,261","1,529","1,385",126,"17,239","3,217",527,223,"1,596",251,"5,814","38,743"
,MAINE,43,405,27,8,690,"1,173","1,949",366,103,170,"1,140",0,66,"3,794",288,"6,353",0,276,777,"7,694","12,661"
,MARYLAND,"8,388","9,739","1,744","8,288",959,"29,118","4,618","6,001","3,462",577,"1,879","1,786",168,"18,491","16,339","16,626",102,"3,061","8,187","44,315","91,924"
,MASSACHUSETTS,391,354,180,"1,065","1,674","3,664","5,920","3,528",262,819,"2,227","2,059",376,"15,191","2,185",150,4,"3,148",789,"6,276","25,131"
,MICHIGAN,436,199,231,110,"1,153","2,129","8,021","2,829",870,971,"2,428",1,101,"15,221","6,869",32,9,817,"1,618","9,345","26,695"
,MINNESOTA,157,134,114,48,132,585,"10,813","2,989",610,450,"2,278","1,362",24,"18,526","1,359",16,1,864,164,"2,404","21,515"
,MISSISSIPPI,466,"4,767",564,"5,709",327,"11,833","9,540","1,768",691,87,"2,670","1,526",108,"16,390","3,540","2,409",0,"2,326",314,"8,589","36,812"
,MISSOURI,"8,532",319,"1,855","4,179",199,"15,084","9,321","4,638","1,086",721,"2,286","1,076",85,"19,213","5,499",52,116,"1,150",659,"7,476","41,773"
,MONTANA,59,7,24,"3,220",0,"3,310","2,484",694,119,72,975,24,0,"4,368",466,0,0,811,46,"1,323","9,001"
,NEBRASKA,161,392,76,"5,659",18,"6,306","3,267","1,245",258,145,"1,010",298,0,"6,223","1,297",44,4,"2,622",105,"4,072","16,601"
,NEVADA,153,947,61,"9,891",0,"11,052","3,196","1,449",425,195,"1,148","1,264",0,"7,677",423,283,0,"1,533",160,"2,399","21,128"
,NEW HAMPSHIRE,48,879,64,149,181,"1,321","1,572",949,259,196,"1,101",0,8,"4,085",460,11,3,364,178,"1,016","6,422"
,NEW JERSEY,598,459,366,"4,677","1,708","7,808","5,762","4,010","1,209","1,196","2,401","2,298",195,"17,071","5,174","2,340",9,"1,928",581,"10,032","34,911"
,NEW MEXICO,373,77,61,"11,974",4,"12,489","2,789",762,215,83,995,215,0,"5,059","2,210",102,1,"3,490",380,"6,183","23,731"
,NEW YORK,"17,161","2,164",673,375,"1,054","21,427","9,914","8,280","1,656","1,837","5,720","1,294",366,"29,067","6,767",104,31,"2,116","1,943","10,961","61,455"
,NORTH CAROLINA,"44,989","4,370","42,837","6,638","1,772","100,606","9,887","5,896","1,155","1,070","1,447","1,637",184,"21,276","10,391","4,565","2,700","1,189","2,491","21,336","143,218"
,NORTH DAKOTA,22,4,17,"7,352",1,"7,396","2,968",225,61,57,"1,075",30,0,"4,416",467,4,1,"1,109",70,"1,651","13,463"
,OHIO,512,272,266,"5,492",416,"6,958","11,500","5,442","1,206","1,019","5,124","3,582",255,"28,128","1,493",98,3,"14,544","9,523","25,661","60,747"
,OKLAHOMA,"11,175","1,337",688,"7,045",29,"20,274","6,651","2,109",448,310,"2,228","1,829",0,"13,575","5,279",123,5,"17,220","1,757","24,384","58,233"
,OREGON,120,149,111,157,"1,099","1,636","5,584",564,470,371,"2,294",115,97,"9,495","2,285",19,2,586,17,"2,909","14,040"
,PENNSYLVANIA,961,623,377,220,345,"2,526","15,237","7,498",859,"1,368","4,060","1,318",113,"30,453","8,031","6,668",19,"1,102","7,881","23,701","56,680"
,RHODE ISLAND,144,"2,614",256,70,333,"3,417","1,947",511,573,108,"1,056",2,46,"4,243",203,"4,175",1,204,104,"4,687","12,347"
,SOUTH CAROLINA,"8,965","6,690","8,091","8,200",876,"32,822","9,210","3,913",567,396,"1,289","2,203",142,"17,720","3,396","3,328",708,"1,985",747,"10,164","60,706"
,SOUTH DAKOTA,65,4,9,"3,336",0,"3,414","3,162",317,85,0,"1,085",21,0,"4,670",483,1,0,787,48,"1,319","9,403"
,TENNESSEE,346,"1,352",145,164,162,"2,169","9,037","3,610","1,193",726,"3,371",4,43,"17,984","3,033","1,198",3,"1,138",539,"5,911","26,064"
,TEXAS,"71,898","6,336","2,164","37,089","1,785","119,272","17,911","17,880","4,998","3,347","3,316","5,850",330,"53,632","25,003","1,335",33,"15,944","4,462","46,777","219,681"
,UTAH,184,26,93,"3,925",0,"4,228","5,468","2,983",381,233,"1,426","1,374",0,"11,865","1,780",43,2,"11,863","1,093","14,781","30,874"
,VERMONT,51,5,9,63,37,165,"2,483",113,46,0,972,0,0,"3,614",264,2,0,273,27,566,"4,345"
,VIRGINIA,"22,730","73,368","10,925","12,109","4,209","123,341","7,133","7,640","5,973","1,965","1,348","1,925",448,"26,432","17,749","40,469","5,048","5,977","24,240","93,483","243,256"
,WASHINGTON,"26,884","24,903",669,"6,238","2,100","60,794","5,684","5,668","2,091",635,"2,007","1,871",312,"18,268","9,353","19,139",3,"1,457","1,221","31,173","110,235"
,WEST VIRGINIA,58,5,44,21,68,196,"4,200","1,901",73,85,"2,143",0,13,"8,415","1,227",3,1,513,39,"1,783","10,394"
,WISCONSIN,454,44,108,88,297,991,"7,191","4,037",381,488,"2,294",0,76,"14,467","1,834",64,1,534,116,"2,549","18,007"
,WYOMING,34,3,9,"3,102",0,"3,148","1,500",71,64,0,"1,201",40,0,"2,876",230,2,0,780,37,"1,049","7,073"
,UNKNOWN,"5,989",0,0,0,0,"5,989",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,989"
UNITED STATES TOTAL,,"416,667","285,141","153,107","266,167","39,960","1,161,042","328,641","183,052","54,753","34,839","104,731","67,333","6,038","779,387","234,492","184,161","16,739","164,180","97,966","697,538","2,637,967"
OVERSEAS,AFGHANISTAN*, , , , , , , , , , , , , , , , , , , , , 
,AKROTIRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,1,2,62,62
,ALBANIA,1,1,1,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,ALGERIA,2,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,AMERICAN SAMOA,1,0,1,0,0,2,0,0,0,0,0,0,0,0,19,0,0,0,0,19,21
,ANGOLA,2,0,9,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,ARGENTINA,1,6,8,8,0,23,0,0,1,0,1,0,0,2,2,0,0,0,0,2,27
,ARMENIA,1,0,2,1,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5
,AUSTRALIA,35,62,46,85,0,228,0,0,0,0,0,0,0,0,2,7,0,4,2,15,243
,AUSTRIA,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,AZERBAIJAN,1,1,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,"BAHAMAS, THE",1,46,6,0,11,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
,BAHRAIN,19,"3,197",694,24,239,"4,173",0,0,331,0,0,0,0,331,15,329,0,0,159,503,"5,007"
,BANGLADESH,3,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,BARBADOS,2,0,7,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,BELGIUM,617,42,5,231,1,896,0,1,0,0,0,7,0,8,382,1,0,12,333,728,"1,632"
,BELIZE,1,1,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,BOLIVIA,2,0,8,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,BOSNIA AND HERZEGOVINA,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
,BOTSWANA,3,0,9,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17
,BRAZIL,9,11,27,9,1,57,0,0,0,0,0,0,0,0,6,3,0,1,0,10,67
,BRITISH ATLANTIC OCEAN TERRITORY,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,BRITISH INDIAN OCEAN TERRITORY,0,253,0,39,0,292,0,0,0,0,0,0,0,0,0,3,0,0,0,3,295
,BRUNEI,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,BULGARIA,3,4,0,4,0,11,0,0,0,0,0,0,0,0,15,0,0,2,0,17,28
,BURKINA FASO,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,BURMA,3,0,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,BURUNDI,1,0,7,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,CAMBODIA,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,CAMEROON,7,0,8,1,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17
,CANADA,6,39,13,73,4,135,0,0,0,0,0,0,0,0,0,3,0,0,25,28,163
,CENTRAL AFRICAN REPUBLIC,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,CHAD,5,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,CHILE,4,8,12,12,0,36,0,0,0,0,1,0,0,1,2,1,0,2,0,5,42
,CHINA,7,6,10,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
,COLOMBIA,24,4,19,17,3,67,0,0,2,0,0,0,0,2,15,1,0,1,1,18,87
,CONGO (BRAZZAVILLE),3,0,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,CONGO (KINSHASA),2,0,11,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,COSTA RICA,1,1,6,0,1,9,0,0,1,0,0,0,0,1,1,0,0,0,0,1,11
,COTE DIVOIRE,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,CROATIA,1,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4
,CUBA,144,533,148,0,6,831,0,0,148,0,0,0,0,148,10,179,0,0,73,262,"1,241"
,CYPRUS,5,0,0,10,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,16
,CZECHIA,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7
,DENMARK,2,3,1,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,DJIBOUTI,1,0,50,1,0,52,0,0,381,0,0,0,0,381,0,1,0,0,1,2,435
,DOMINICAN REPUBLIC,9,1,11,2,2,25,0,0,0,0,0,0,0,0,5,0,0,0,0,5,30
,ECUADOR,11,2,10,2,1,26,0,0,0,0,0,0,0,0,1,0,0,0,0,1,27
,EGYPT,231,18,1,24,0,274,0,0,0,0,0,0,0,0,5,3,0,7,0,15,289
,EL SALVADOR,7,32,12,2,0,53,0,0,6,0,0,0,0,6,2,1,0,0,0,3,62
,ESTONIA,2,0,0,2,0,4,0,0,1,0,0,0,0,1,2,0,0,0,0,2,7
,ETHIOPIA,4,2,8,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
,FIJI,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,FINLAND,3,5,2,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,FRANCE,23,11,4,18,0,56,0,0,0,0,0,0,0,0,5,2,0,4,0,11,67
,GABON,2,1,6,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,"GAMBIA, THE",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,GEORGIA,1,0,22,1,0,24,0,0,0,0,0,0,0,0,2,1,0,1,0,4,28
,GERMANY,"20,435",412,"1,236","12,727",11,"34,821",0,"1,119",75,113,12,312,0,"1,631","5,843",34,23,"1,031","4,109","11,040","47,492"
,GHANA,3,0,2,3,0,8,0,0,0,0,0,0,0,0,0,1,0,1,0,2,10
,GREECE,9,358,1,20,0,388,0,0,0,0,0,0,0,0,2,81,0,0,0,83,471
,GREENLAND,0,0,0,149,0,149,0,0,0,0,0,0,0,0,0,0,0,1,0,1,150
,GUAM,170,"3,172",34,"2,075",0,"5,451","1,091",0,9,0,392,258,0,"1,750",126,"1,304",5,113,601,"2,149","9,350"
,GUATEMALA,21,1,8,2,0,32,0,0,0,0,0,0,0,0,3,1,0,0,0,4,36
,GUINEA,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,GUYANA,1,0,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,HAITI,3,0,7,0,2,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13
,HONDURAS,204,3,13,146,0,366,0,0,0,0,0,0,0,0,18,1,0,0,0,19,385
,HONG KONG,2,8,2,12,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
,HUNGARY,6,144,0,58,0,208,0,0,0,0,1,0,0,1,4,0,0,1,0,5,214
,ICELAND,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
,INDIA,6,8,1,7,0,22,0,0,0,0,0,0,0,0,0,0,0,1,0,1,23
,INDONESIA,3,10,3,2,0,18,0,0,0,0,0,0,0,0,3,1,0,0,0,4,22
,IRAQ*,,,,,, ,,,,,,,, ,,,,,, , 
,IRELAND,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,ISRAEL,18,6,309,15,0,348,0,0,0,0,0,0,0,0,14,1,0,1,5,21,369
,ITALY,"4,289","3,905",372,"4,198",2,"12,766",0,80,65,0,0,33,0,178,623,789,0,141,862,"2,415","15,359"
,JAMAICA,1,1,10,0,2,14,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
,JAPAN,"2,594","20,345","20,001","12,086",17,"55,043",0,108,78,72,0,79,0,337,723,"1,620",603,696,"2,962","6,604","61,984"
,JORDAN,13,2,59,2,0,76,0,0,16,0,0,0,0,16,2,1,0,2,0,5,97
,KAZAKHSTAN,5,1,1,14,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
,KENYA,21,4,17,7,0,49,0,0,0,0,0,0,0,0,1,1,0,0,0,2,51
,"KOREA, SOUTH","16,413",309,247,"7,945",1,"24,915",0,245,12,4,0,55,0,316,"1,828",36,5,207,880,"2,956","28,187"
,KOSOVO,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,KUWAIT,698,5,"1,296",37,0,"2,036",0,1,74,0,1,0,0,76,171,0,0,8,20,199,"2,311"
,KYRGYZSTAN,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,LAOS,3,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6
,LATVIA,4,0,1,2,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,4,11
,LEBANON,3,0,6,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,LIBERIA,3,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,LIBYA,1,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,LITHUANIA,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,LUXEMBOURG,0,0,1,0,0,1,0,0,0,0,0,0,0,0,19,0,0,0,0,19,20
,MACEDONIA,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,MADAGASCAR,0,2,8,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,MALAWI,2,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,MALAYSIA,3,4,1,4,0,12,0,0,0,0,0,0,0,0,0,1,0,0,2,3,15
,MALI,5,0,5,2,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13
,MALTA,0,3,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,MARSHALL ISLANDS,17,0,0,0,0,17,0,0,0,0,0,0,0,0,69,0,0,0,0,69,86
,MAURITANIA,1,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,MEXICO,13,6,37,5,3,64,0,0,0,0,0,0,0,0,1,0,0,9,0,10,74
,MOLDOVA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,MONGOLIA,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,MOROCCO,3,3,1,7,0,14,0,0,0,0,0,0,0,0,3,1,0,1,1,6,20
,MOZAMBIQUE,0,0,7,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,NAMIBIA,1,0,10,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,NEPAL,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,NETHERLANDS,124,30,2,215,31,402,0,0,0,0,0,0,0,0,77,0,0,2,130,209,611
,NEW ZEALAND,1,2,1,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,2,3,8
,NICARAGUA,7,1,9,1,0,18,0,0,1,0,0,0,0,1,1,0,0,0,0,1,20
,NIGER,3,0,188,3,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194
,NIGERIA,3,2,3,5,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,1,14
,NORTHERN MARIANA ISLANDS,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,5,6
,NORWAY,32,5,259,34,0,330,0,0,0,0,0,0,0,0,0,1,0,4,0,5,335
,OMAN,3,4,4,6,0,17,0,0,2,0,0,0,0,2,1,1,0,0,2,4,23
,PAKISTAN,5,3,4,16,0,28,0,0,3,0,0,0,0,3,0,0,0,0,0,0,31
,PANAMA,20,5,9,0,3,37,0,0,0,0,0,0,0,0,4,1,0,1,0,6,43
,PARAGUAY,5,0,8,1,0,14,0,0,0,0,0,0,0,0,2,0,0,0,0,2,16
,PERU,16,18,14,5,0,53,0,0,0,0,0,0,0,0,6,4,0,0,0,10,63
,PHILIPPINES,11,7,83,8,1,110,0,0,0,0,0,0,0,0,1,10,0,2,1,14,124
,POLAND,36,80,4,27,0,147,0,0,3,0,0,0,0,3,9,8,0,0,1,18,168
,PORTUGAL,2,43,3,179,0,227,0,0,0,0,0,0,0,0,3,3,0,2,0,8,235
,PUERTO RICO,96,22,24,20,0,162,"6,213",0,0,0,"1,132",0,0,"7,345","1,068",21,0,315,592,"1,996","9,503"
,QATAR,260,5,36,247,0,548,0,0,44,0,0,0,0,44,50,0,0,4,2,56,648
,ROMANIA,7,79,157,14,0,257,0,0,0,0,0,0,0,0,32,10,0,1,0,43,300
,RUSSIA,4,4,4,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,RWANDA,3,0,6,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,SAUDI ARABIA,209,20,19,57,0,305,0,0,0,0,0,0,0,0,161,2,0,14,25,202,507
,SENEGAL,3,3,14,1,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0,1,22
,SERBIA,1,0,2,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,SIERRA LEONE,2,0,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,SINGAPORE,9,160,4,16,7,196,0,0,0,0,0,0,0,0,2,140,0,0,20,162,358
,SLOVAKIA,1,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,SLOVENIA,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
,SOMALIA,0,2,58,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
,SOUTH AFRICA,5,3,39,3,0,50,0,0,0,0,0,0,0,0,0,1,0,0,1,2,52
,SOUTH SUDAN,1,0,15,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,SPAIN,27,"2,357",906,390,0,"3,680",0,0,9,0,0,2,0,11,1,250,0,8,169,428,"4,119"
,SRI LANKA,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,SUDAN,2,0,15,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
,SURINAME,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,SWAZILAND,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,SWEDEN,1,1,0,5,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,SWITZERLAND,21,0,0,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
,SYRIA*,,,,,, ,,,,,,,, ,,,,,, , 
,TAIWAN,0,2,1,7,0,10,0,0,0,0,0,0,0,0,0,1,0,0,10,11,21
,TAJIKISTAN,4,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,TANZANIA,3,2,13,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
,THAILAND,45,8,380,28,0,461,0,0,1,0,0,0,0,1,5,3,0,2,2,12,474
,TRINIDAD AND TOBAGO,1,1,6,0,0,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9
,TUNISIA,4,4,24,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
,TURKEY,133,6,3,"1,481",0,"1,623",0,0,0,0,0,2,0,2,7,0,0,28,41,76,"1,701"
,TURKMENISTAN,0,0,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,UGANDA,7,0,25,1,0,33,0,0,0,0,0,0,0,0,1,0,0,1,0,2,35
,UKRAINE,10,2,5,5,0,22,0,0,0,0,0,0,0,0,2,0,0,0,3,5,27
,UNITED ARAB EMIRATES,32,11,270,90,0,403,0,1,9,0,0,0,0,10,6,7,0,4,3,20,433
,UNITED KINGDOM,270,200,12,"8,663",39,"9,184",0,40,23,7,0,81,0,151,32,25,0,486,647,"1,190","10,525"
,URUGUAY,2,4,9,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
,UZBEKISTAN,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,VENEZUELA,0,0,10,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,VIETNAM,0,3,4,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10
,"VIRGIN ISLANDS, U.S.",4,0,0,0,0,4,674,0,0,0,55,0,0,729,119,0,0,2,0,121,854
,WAKE ISLAND,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,YEMEN,5,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,ZAMBIA,1,0,8,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,ZIMBABWE,3,0,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
