Counts of Active Duty and Reserve Service Members and APF Civilians,,,,,,,,,,,,,,,,,,,,,,
"By Location Country, Personnel Category, Service and Component",,,,,,,,,,,,,,,,,,,,,,
"As of September 30, 2017",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, RCCPDS, APF Civilian Master, CTS Deployment File, Civilian Deployment",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,LOCATION STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,MARYLAND,"8,341","9,741","1,780","8,088",938,"28,888","4,489","6,206","3,497",570,"1,843","1,826",165,"18,596","16,258","16,467",105,"3,060","8,192","44,082","91,566"
,MASSACHUSETTS,372,386,167,"1,001","1,647","3,573","5,897","3,298",269,823,"2,216","2,187",369,"15,059","2,224",159,4,"3,098",807,"6,292","24,924"
,MICHIGAN,434,206,228,113,"1,107","2,088","8,022","2,853",859,963,"2,142",1,94,"14,934","6,775",32,7,718,"1,623","9,155","26,177"
,MINNESOTA,160,142,116,50,129,597,"10,913","3,176",593,454,"2,041","1,338",26,"18,541","1,320",16,1,781,168,"2,286","21,424"
,MISSISSIPPI,442,"4,569",424,"5,788",331,"11,554","9,471","1,795",598,76,"2,647","1,522",91,"16,200","3,715","2,413",0,"2,393",319,"8,840","36,594"
,MISSOURI,"11,369",320,"1,249","3,934",200,"17,072","8,364","4,757","1,134",749,"2,263","1,112",88,"18,467","5,352",54,117,"1,235",666,"7,424","42,963"
,MONTANA,59,4,24,"3,121",0,"3,208","2,552",699,104,67,989,23,0,"4,434",454,1,0,787,48,"1,290","8,932"
,NEBRASKA,162,382,76,"5,212",17,"5,849","3,344","1,231",274,148,"1,002",297,0,"6,296","1,308",44,4,"2,623",102,"4,081","16,226"
,NEVADA,146,885,51,"9,240",0,"10,322","3,266","1,430",393,192,"1,118","1,249",0,"7,648",436,295,0,"1,503",167,"2,401","20,371"
,NEW HAMPSHIRE,55,223,77,126,276,757,"1,622","1,066",241,198,962,1,7,"4,097",451,11,3,309,179,953,"5,807"
,NEW JERSEY,631,446,370,"4,274","1,948","7,669","5,927","3,935","1,201","1,212","2,207","2,303",188,"16,973","5,172","2,310",9,"1,907",587,"9,985","34,627"
,NEW MEXICO,299,76,64,"11,042",4,"11,485","2,871",761,211,79,988,222,1,"5,133","2,245",98,1,"3,531",388,"6,263","22,881"
,NEW YORK,"16,427","2,148",637,352,"1,024","20,588","10,082","7,635","1,655","1,773","5,571","1,323",347,"28,386","6,502",106,31,"2,103","1,917","10,659","59,633"
,NORTH CAROLINA,"39,322","4,296","39,924","5,912","1,721","91,175","10,276","5,938","1,143","1,056","1,479","1,707",177,"21,776","10,240","4,566","2,769","1,166","2,392","21,133","134,084"
,NORTH DAKOTA,21,5,15,"6,541",1,"6,583","2,927",241,62,53,900,29,0,"4,212",449,4,1,"1,060",75,"1,589","12,384"
,OHIO,495,274,258,"5,358",408,"6,793","10,810","5,406","1,199","1,026","4,916","3,602",249,"27,208","1,444",103,2,"14,379","9,582","25,510","59,511"
,OKLAHOMA,"11,447","1,338",434,"6,551",32,"19,802","6,457","2,007",453,325,"2,158","1,630",1,"13,031","5,112",116,5,"16,883","1,715","23,831","56,664"
,OREGON,119,164,114,141,"1,034","1,572","5,609",567,459,372,"2,253",74,98,"9,432","2,254",21,3,625,19,"2,922","13,926"
,PENNSYLVANIA,961,690,379,223,327,"2,580","15,514","7,526",868,"1,379","3,848",996,113,"30,244","8,018","6,549",20,"1,008","7,942","23,537","56,361"
,RHODE ISLAND,152,"2,597",222,72,328,"3,371","1,994",489,590,108,"1,044",2,46,"4,273",214,"4,203",1,209,101,"4,728","12,372"
,SOUTH CAROLINA,"11,838","6,823","10,582","7,407",857,"37,507","9,253","4,091",604,412,"1,307","2,050",145,"17,862","3,360","3,263",738,"1,952",731,"10,044","65,413"
,SOUTH DAKOTA,62,1,9,"2,737",0,"2,809","3,154",342,86,0,951,22,0,"4,555",474,1,0,758,45,"1,278","8,642"
,TENNESSEE,352,"1,294",128,163,158,"2,095","9,438","3,522","1,176",733,"3,302",3,32,"18,206","2,974","1,211",3,"1,042",533,"5,763","26,064"
,TEXAS,"63,846","6,170","2,035","37,116","1,746","110,913","17,519","18,144","5,026","3,316","3,269","5,676",371,"53,321","24,830","1,355",31,"16,003","4,447","46,666","210,900"
,UTAH,179,26,96,"3,678",0,"3,979","5,312","3,048",377,253,"1,386","1,359",0,"11,735","1,797",48,1,"11,968","1,062","14,876","30,590"
,VERMONT,50,10,12,58,38,168,"2,511",161,48,0,987,0,0,"3,707",271,2,0,272,29,574,"4,449"
,VIRGINIA,"23,581","39,400","10,799","11,368","4,155","89,303","7,248","7,609","5,467","1,987","1,254","1,924",488,"25,977","17,739","40,466","5,043","5,899","23,672","92,819","208,099"
,WASHINGTON,"25,642","11,191",684,"5,771","2,055","45,343","6,040","5,812","2,163",630,"1,953","1,789",336,"18,723","9,316","19,020",3,"1,461","1,218","31,018","95,084"
,WEST VIRGINIA,55,5,44,27,66,197,"4,195","1,536",73,78,"1,985",0,15,"7,882","1,212",2,1,474,46,"1,735","9,814"
,WISCONSIN,466,44,105,68,293,976,"7,198","3,920",376,489,"1,944",0,73,"14,000","1,857",65,1,392,109,"2,424","17,400"
,WYOMING,35,1,8,"3,058",0,"3,102","1,541",81,68,0,"1,186",32,0,"2,908",220,2,0,804,38,"1,064","7,074"
,ZZ-UNKNOWN,"5,490",0,0,0,0,"5,490",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,490"
UNITED STATES TOTAL,,"400,876","280,161","148,123","251,250","39,463","1,119,873","328,164","182,919","54,520","34,610","100,630","66,103","6,135","773,081","233,129","183,709","16,921","162,649","97,276","693,684","2,586,638"
OVERSEAS,AFGHANISTAN,"9,371",239,"1,212","2,504",3,"13,329",799,620,201,123,102,124,0,"1,969",774,84,7,170,167,"1,202","16,500"
,AKROTIRI,0,0,0,73,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
,ALGERIA,3,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,AMERICAN SAMOA,0,0,1,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,13,14
,ANGOLA,3,0,8,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,ARGENTINA,1,4,11,8,0,24,0,0,1,0,1,0,0,2,2,0,0,0,0,2,28
,ARMENIA,1,0,1,1,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4
,AUSTRALIA,31,68,"1,059",81,0,"1,239",0,0,0,0,0,0,0,0,3,7,0,4,2,16,"1,255"
,AUSTRIA,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,AZERBAIJAN,1,1,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6
,"BAHAMAS, THE",1,48,7,0,10,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
,BAHRAIN,173,"6,920","1,290",34,193,"8,610",35,16,582,82,3,6,0,724,11,329,0,1,163,504,"9,838"
,BANGLADESH,4,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,BARBADOS,2,0,7,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,BELGIUM,585,37,3,242,0,867,0,1,0,0,0,6,0,7,361,1,0,10,307,679,"1,553"
,BELIZE,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,BENIN,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,BOLIVIA,3,0,11,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,BOSNIA AND HERZEGOVINA,0,0,0,5,0,5,0,0,0,0,1,1,0,2,1,0,0,0,0,1,8
,BOTSWANA,4,0,8,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,BRAZIL,8,11,31,8,1,59,0,0,0,0,0,0,0,0,6,3,0,2,0,11,70
,BRITISH ATLANTIC OCEAN TERRITORY,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,BRITISH INDIAN OCEAN TERRITORY,0,224,0,40,0,264,0,0,0,0,0,0,0,0,0,1,0,0,0,1,265
,BRUNEI,0,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,BULGARIA,2,4,0,4,0,10,0,0,1,0,0,0,0,1,16,0,0,2,0,18,29
,BURKINA FASO,0,0,1,23,0,24,0,0,0,0,2,3,0,5,1,0,0,0,0,1,30
,BURMA,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,BURUNDI,1,0,8,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,CAMBODIA,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6
,CAMEROON,7,0,23,11,0,41,0,0,0,0,0,6,0,6,0,2,0,0,0,2,49
,CANADA,6,37,13,69,4,129,0,0,0,0,0,0,0,0,0,3,0,0,26,29,158
,CENTRAL AFRICAN REPUBLIC,0,0,0,1,0,1,11,0,0,0,0,0,0,11,0,0,0,0,0,0,12
,CHAD,5,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,CHILE,5,7,11,10,0,33,0,0,0,0,1,0,0,1,2,2,0,2,0,6,40
,CHINA,5,6,4,0,1,16,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17
,COLOMBIA,26,4,23,20,4,77,0,0,0,0,0,0,0,0,15,2,0,1,0,18,95
,CONGO (BRAZZAVILLE),3,0,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,CONGO (KINSHASA),2,0,14,2,0,18,7,0,0,0,0,0,0,7,0,0,0,0,0,0,25
,COSTA RICA,0,2,7,0,1,10,0,0,0,0,0,0,0,0,2,0,0,0,0,2,12
,COTE DIVOIRE,3,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,CROATIA,1,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4
,CUBA,131,499,117,0,6,753,0,0,139,0,0,0,8,147,11,173,0,0,70,254,"1,154"
,CURACAO,0,0,0,21,0,21,0,0,0,0,4,1,0,5,0,0,0,0,0,0,26
,CYPRUS,3,0,2,9,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
,CZECHIA,2,0,0,3,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6
,DENMARK,2,3,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,DJIBOUTI,570,626,"1,320",616,0,"3,132",682,166,644,6,56,5,3,"1,562",4,12,1,2,2,21,"4,715"
,DOMINICAN REPUBLIC,7,0,11,2,2,22,0,0,0,0,0,0,0,0,4,0,0,0,0,4,26
,ECUADOR,11,2,8,2,1,24,0,0,0,0,0,0,0,0,2,0,0,0,0,2,26
,EGYPT,333,15,5,22,0,375,62,3,0,0,0,0,0,65,6,3,0,6,0,15,455
,EL SALVADOR,7,33,13,2,0,55,0,0,3,0,0,0,0,3,2,1,0,0,0,3,61
,ESTONIA,2,1,0,2,0,5,0,0,1,0,0,0,0,1,2,0,0,0,0,2,8
,ETHIOPIA,4,2,9,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
,FIJI,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,FINLAND,2,5,1,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,FRANCE,21,9,3,16,0,49,0,0,0,0,0,0,0,0,5,2,0,2,0,9,58
,GABON,1,1,8,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,GEORGIA,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,6,7
,GERMANY,"20,150",888,"1,243","12,224",11,"34,516",43,"1,138",60,115,32,322,0,"1,710","5,862",35,22,"1,023","3,968","10,910","47,136"
,GHANA,2,0,5,3,0,10,0,0,0,0,0,0,0,0,0,1,0,1,0,2,12
,GREECE,8,340,0,85,0,433,0,0,0,0,0,0,0,0,1,73,0,0,0,74,507
,GREENLAND,0,0,0,154,0,154,0,0,0,0,0,0,0,0,0,0,0,1,0,1,155
,GUAM,169,"1,935",21,"2,465",0,"4,590","1,098",0,8,0,474,288,0,"1,868",126,"1,297",2,144,581,"2,150","8,608"
,GUATEMALA,18,1,6,4,0,29,0,0,0,0,0,0,0,0,2,1,0,0,0,3,32
,GUINEA,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,GUYANA,1,1,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,HAITI,3,0,9,1,1,14,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
,HONDURAS,215,1,114,175,0,505,0,0,0,0,4,2,0,6,17,1,0,0,0,18,529
,HONG KONG,3,10,2,11,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
,HUNGARY,7,148,0,60,0,215,0,0,0,0,1,0,0,1,3,0,0,0,0,3,219
,ICELAND,0,0,0,19,1,20,0,0,0,0,7,0,0,7,0,1,0,2,0,3,30
,INDIA,5,6,0,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,INDONESIA,4,10,3,2,0,19,0,0,0,0,0,0,0,0,1,2,0,1,0,4,23
,IRAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3
,IRAQ,"4,918",396,"1,296",792,0,"7,402",763,533,45,26,69,54,0,"1,490",185,12,4,17,13,231,"9,123"
,IRELAND,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,ISRAEL,18,5,2,16,0,41,0,0,0,0,0,1,0,1,15,1,0,1,5,22,64
,ITALY,"4,216","3,488",307,"3,743",2,"11,756",0,86,41,0,0,31,0,158,601,796,0,140,806,"2,343","14,257"
,JAMAICA,1,1,8,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,JAPAN,"2,581","11,602","18,585","11,777",17,"44,562",0,123,76,63,26,75,0,363,695,"1,596",578,689,"2,969","6,527","51,452"
,JORDAN,447,28,177,"1,210",0,"1,862",454,108,15,34,190,55,0,856,5,1,0,4,2,12,"2,730"
,KAZAKHSTAN,6,1,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,KENYA,19,3,15,171,0,208,0,0,0,0,0,0,0,0,3,1,0,0,0,4,212
,"KOREA, SOUTH","15,337",290,221,"7,786",1,"23,635",0,221,8,4,242,58,0,533,"1,873",35,4,219,824,"2,955","27,123"
,KOSOVO,331,10,13,30,0,384,317,9,0,0,0,0,0,326,0,0,0,0,0,0,710
,KUWAIT,"5,302",8,"1,969","1,962",0,"9,241","3,302","2,179",69,63,683,660,0,"6,956",429,6,2,26,52,515,"16,712"
,KYRGYZSTAN,4,5,56,0,0,65,2,1,0,5,0,0,0,8,0,0,0,0,0,0,73
,LAOS,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7
,LATVIA,2,0,0,4,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9
,LEBANON,27,4,25,2,0,58,51,1,0,0,0,0,0,52,0,0,0,0,0,0,110
,LIBERIA,3,0,2,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,LIBYA,1,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,LITHUANIA,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
,LUXEMBOURG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,18
,MACEDONIA,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,MADAGASCAR,0,2,9,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,MALAWI,2,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,MALAYSIA,2,4,1,4,0,11,0,0,0,0,0,0,0,0,0,1,0,0,2,3,14
,MALI,5,0,3,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,MALTA,0,2,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,MARSHALL ISLANDS,18,0,0,0,0,18,0,0,0,0,0,0,0,0,66,0,0,0,0,66,84
,MARTINIQUE,0,0,0,53,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
,MAURITANIA,0,0,3,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,MAURITIUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
,MEXICO,15,6,34,4,2,61,0,0,0,0,0,0,0,0,1,0,0,8,0,9,70
,MOLDOVA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,MONGOLIA,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,MONTENEGRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
,MOROCCO,2,4,2,8,0,16,0,0,0,0,0,0,0,0,3,1,0,1,0,5,21
,MOZAMBIQUE,0,0,8,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,NAMIBIA,1,0,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,NEPAL,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,NETHERLANDS,124,28,3,221,31,407,0,0,0,0,0,0,0,0,69,0,0,2,130,201,608
,NEW ZEALAND,1,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,2,3,7
,NICARAGUA,8,1,8,0,0,17,0,0,1,0,0,0,0,1,1,0,0,0,0,1,19
,NIGER,4,0,1,505,0,510,0,0,0,0,37,0,0,37,0,1,0,6,0,7,554
,NIGERIA,1,2,1,4,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9
,NORTHERN MARIANA ISLANDS,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,4,6
,NORWAY,31,5,277,31,0,344,0,0,0,0,0,0,0,0,0,1,0,3,0,4,348
,OMAN,3,2,15,8,0,28,1,0,1,0,0,0,0,2,1,1,0,2,1,5,35
,PAKISTAN,10,4,62,35,0,111,0,2,3,0,1,0,0,6,0,0,0,1,0,1,118
,PANAMA,22,5,8,2,3,40,0,0,0,0,0,0,0,0,4,1,0,1,0,6,46
,PARAGUAY,5,0,10,1,0,16,0,0,0,0,0,0,0,0,2,0,0,0,0,2,18
,PERU,18,16,19,6,0,59,0,0,0,0,10,0,0,10,5,3,0,0,0,8,77
,PHILIPPINES,11,7,70,12,1,101,0,0,0,0,0,0,0,0,1,8,0,2,1,12,113
,POLAND,32,67,4,70,0,173,0,0,1,0,0,0,0,1,10,7,0,0,1,18,192
,PORTUGAL,1,11,2,178,0,192,0,0,0,0,0,0,0,0,3,3,0,3,0,9,201
,PUERTO RICO,109,27,19,21,0,176,"6,191",0,0,0,"1,148",23,0,"7,362","1,066",27,0,302,604,"1,999","9,537"
,QATAR,636,25,77,"3,928",0,"4,666",468,92,51,8,801,481,0,"1,901",47,3,0,35,19,104,"6,671"
,ROMANIA,7,82,346,16,0,451,0,0,0,0,0,0,0,0,38,7,0,1,1,47,498
,RUSSIA,5,3,1,20,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
,RWANDA,1,0,8,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,SAUDI ARABIA,248,21,43,90,0,402,17,214,0,0,0,1,0,232,172,4,0,19,21,216,850
,SENEGAL,4,4,15,0,0,23,0,0,0,0,0,0,0,0,0,1,0,0,0,1,24
,SERBIA,0,0,10,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,SIERRA LEONE,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,SINGAPORE,6,157,7,29,7,206,0,0,0,0,0,0,0,0,2,141,0,0,21,164,370
,SINT MAARTEN,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,SLOVAKIA,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,SLOVENIA,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
,SOMALIA,44,206,26,9,0,285,0,2,2,0,0,0,0,4,0,0,0,0,0,0,289
,SOUTH AFRICA,5,3,37,3,0,48,0,0,0,0,0,0,0,0,0,1,0,0,1,2,50
,SOUTH SUDAN,0,0,14,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,SPAIN,27,"2,638",760,515,0,"3,940",0,0,52,0,0,8,0,60,3,251,1,9,151,415,"4,415"
,SRI LANKA,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,SUDAN,1,0,13,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,SURINAME,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,SWAZILAND,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,SWEDEN,1,0,1,4,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,SWITZERLAND,1,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,SYRIA,704,31,618,194,0,"1,547",131,40,0,0,1,1,0,173,2,0,0,1,0,3,"1,723"
,TAIWAN,0,2,1,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,7,17
,TAJIKISTAN,3,0,0,1,0,4,1,0,0,0,0,1,0,2,0,0,0,1,0,1,7
,TANZANIA,2,2,10,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,THAILAND,44,9,229,27,0,309,0,0,1,0,0,0,0,1,5,3,0,2,2,12,322
,TIMOR-LESTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
,TRINIDAD AND TOBAGO,1,0,8,0,0,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,10
,TUNISIA,3,3,19,73,0,98,0,0,0,0,8,0,0,8,0,0,0,0,0,0,106
,TURKEY,238,10,408,"1,294",0,"1,950",3,0,0,2,41,178,0,224,6,1,0,44,48,99,"2,273"
,TURKMENISTAN,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,UGANDA,8,0,50,3,0,61,5,0,0,0,0,0,0,5,3,0,0,1,0,4,70
,UKRAINE,10,2,3,5,0,20,0,0,0,0,0,0,0,0,3,0,0,1,3,7,27
,UNITED ARAB EMIRATES,603,704,102,"2,046",0,"3,455",18,27,9,8,565,122,0,749,10,8,0,16,2,36,"4,240"
,UNITED KINGDOM,185,194,11,"7,909",42,"8,341",0,34,23,8,1,84,0,150,39,25,0,466,632,"1,162","9,653"
,URUGUAY,2,5,10,2,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20
