Number of Military and DoD Appropriated Fund (APF) Civilian Personnel Permanently Assigned,,,,,,,,,,,,,,,,,,,,,,
By Duty Location and Service/Component,,,,,,,,,,,,,,,,,,,,,,
"As of June 30, 2019",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, Reserve Common Components Personnel Data System (RCCPDS) File, Appropriated Fund (APF) Civilian Master File",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,DUTY STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,ITALY,"3,909","4,008",328,"4,600",2,"12,847",0,0,39,0,1,32,0,72,625,807,0,187,833,"2,452","15,371"
,JAMAICA,1,1,9,0,2,13,0,0,0,0,0,0,0,0,2,0,0,0,0,2,15
,JAPAN,"2,671","20,845","19,348","12,447",16,"55,327",0,0,82,88,2,90,0,262,776,"1,778",584,827,"3,024","6,989","62,578"
,JORDAN,12,2,63,2,0,79,0,0,0,0,0,0,0,0,2,1,0,2,0,5,84
,KAZAKHSTAN,6,1,1,14,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
,KENYA,16,3,13,7,0,39,0,0,1,0,0,0,0,1,0,1,0,0,0,1,41
,"KOREA, SOUTH","17,471",256,191,"8,167",1,"26,086",0,0,3,3,0,58,0,64,"1,911",37,7,259,829,"3,043","29,193"
,KUWAIT,732,3,"1,103",47,0,"1,885",0,0,1,0,1,0,0,2,161,0,0,11,18,190,"2,077"
,KYRGYZSTAN,0,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,LAOS,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5
,LATVIA,2,0,4,2,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,3,11
,LEBANON,2,0,16,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
,LIBERIA,3,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,LIBYA,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,LITHUANIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,3
,LUXEMBOURG,0,0,1,0,0,1,0,0,0,0,0,0,0,0,26,0,0,0,0,26,27
,MACEDONIA,4,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,MADAGASCAR,0,2,8,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,MALAWI,2,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,MALAYSIA,2,3,1,3,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,2,11
,MALI,5,0,2,3,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11
,MALTA,0,3,1,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,MARSHALL ISLANDS,18,0,0,0,0,18,0,0,0,0,0,0,0,0,73,0,0,0,0,73,91
,MAURITANIA,1,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,MAURITIUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
,MEXICO,13,6,50,5,2,76,0,0,0,0,0,0,0,0,1,0,0,10,0,11,87
,MOLDOVA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,MONGOLIA,4,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6
,MONTENEGRO,1,0,15,67,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
,MOROCCO,3,3,1,6,0,13,0,0,0,0,0,0,0,0,3,1,0,1,1,6,19
,MOZAMBIQUE,0,0,8,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,NAMIBIA,1,0,9,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,NEPAL,3,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,NETHERLANDS,128,27,2,217,32,406,0,0,0,0,0,0,0,0,83,0,0,3,128,214,620
,NEW ZEALAND,2,2,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,2,3,10
,NICARAGUA,5,0,8,1,0,14,0,0,0,0,0,0,0,0,2,0,0,0,0,2,16
,NIGER,3,0,1,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,NIGERIA,2,2,0,5,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,2,11
,NORTHERN MARIANA ISLANDS,1,0,1,0,0,2,0,77,0,0,0,0,0,77,2,3,0,0,0,5,84
,NORWAY,24,5,619,38,1,687,0,0,0,0,0,0,0,0,1,1,0,4,0,6,693
,OMAN,3,3,3,4,0,13,0,0,0,0,0,0,0,0,0,1,0,2,1,4,17
,PAKISTAN,7,2,3,17,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
,PANAMA,16,4,9,0,2,31,0,0,0,0,0,0,0,0,6,2,0,1,0,9,40
,PARAGUAY,5,0,8,1,0,14,0,0,0,0,0,0,0,0,2,0,0,0,0,2,16
,PERU,6,18,18,5,0,47,0,0,0,0,0,0,0,0,5,5,0,0,0,10,57
,PHILIPPINES,10,12,158,10,1,191,0,0,0,0,0,0,0,0,1,10,0,3,2,16,207
,POLAND,48,82,3,29,0,162,0,0,0,0,0,0,0,0,11,8,0,0,1,20,182
,PORTUGAL,2,47,1,179,0,229,0,0,0,0,0,0,0,0,3,2,0,3,0,8,237
,PUERTO RICO,94,25,21,19,0,159,"5,824","4,307",240,0,"1,085",0,0,"11,456","1,157",22,0,265,573,"2,017","13,632"
,QATAR,286,4,31,254,0,575,0,0,0,0,0,0,0,0,53,0,0,5,3,61,636
,ROMANIA,7,78,2,11,0,98,0,0,0,0,0,0,0,0,39,9,0,1,0,49,147
,RUSSIA,3,2,1,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,RWANDA,6,0,5,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,SAUDI ARABIA,206,21,10,51,10,298,0,0,0,0,0,0,0,0,189,2,0,17,29,237,535
,SENEGAL,3,3,3,1,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11
,SERBIA,1,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,SIERRA LEONE,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,SINGAPORE,9,160,2,19,8,198,0,0,1,0,0,0,0,1,2,151,0,0,19,172,371
,SLOVAKIA,1,0,1,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,SLOVENIA,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
,SOMALIA,0,1,68,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
,SOUTH AFRICA,5,3,33,3,0,44,0,0,0,0,0,0,0,0,0,1,0,0,1,2,46
,SOUTH SUDAN,1,0,14,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,SPAIN,24,"2,527",814,366,0,"3,731",0,0,5,0,0,2,0,7,3,246,0,10,150,409,"4,147"
,SRI LANKA,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,SUDAN,1,0,12,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,SURINAME,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,SWAZILAND,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,SWEDEN,1,2,1,4,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,SWITZERLAND,27,0,0,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
,SYRIA*,,,,,,,,,,,,,,,,,,,,,
,TAIWAN,0,3,1,4,0,8,0,0,0,0,0,0,0,0,0,1,0,0,15,16,24
,TAJIKISTAN,4,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,TANZANIA,4,2,9,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,1,16
,THAILAND,40,9,215,30,0,294,0,0,0,0,0,0,0,0,4,3,0,2,3,12,306
,TOGO,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,TRINIDAD AND TOBAGO,1,1,7,0,0,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,10
,TUNISIA,5,3,11,1,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,1,21
,TURKEY,146,6,2,"1,524",0,"1,678",0,0,0,0,0,2,0,2,6,0,0,24,40,70,"1,750"
,TURKMENISTAN,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,UGANDA,6,0,41,0,0,47,0,0,0,0,0,0,0,0,1,0,0,1,0,2,49
,UKRAINE,12,2,3,5,0,22,0,0,0,0,0,0,0,0,2,0,0,0,3,5,27
,UNITED ARAB EMIRATES,31,13,218,90,0,352,0,0,0,0,0,0,0,0,6,9,0,4,3,22,374
,UNITED KINGDOM,293,213,28,"8,762",16,"9,312",0,0,0,2,1,90,0,93,34,28,0,540,645,"1,247","10,652"
,URUGUAY,2,5,9,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
,UZBEKISTAN,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,VENEZUELA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,VIETNAM,0,3,5,0,1,9,0,0,0,0,0,0,0,0,0,1,0,0,3,4,13
,"VIRGIN ISLANDS, U.S.",3,0,1,1,0,5,617,24,0,0,55,0,0,696,116,0,0,1,0,117,818
,WAKE ISLAND,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,YEMEN,3,0,16,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
,ZAMBIA,1,0,7,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,ZIMBABWE,3,0,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
