Counts of Active Duty and Reserve Service Members and APF Civilians,,,,,,,,,,,,,,,,,,,,,,
"By Location Country, Personnel Category, Service and Component",,,,,,,,,,,,,,,,,,,,,,
"As of March 31, 2016",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, RCCPDS, APF Civilian Master, CTS Deployment File (as of November 2016), Civilian Deployment (as of November 2016)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,LOCATION STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,MICHIGAN,451,247,234,102,"1,084","2,118","7,515","3,193",871,954,"2,300",1,136,"14,970","6,550",32,9,844,"1,633","9,068","26,156"
,MINNESOTA,160,175,115,50,127,627,"10,949","3,097",609,465,"2,210","1,330",31,"18,691","1,306",19,2,847,165,"2,339","21,657"
,MISSISSIPPI,496,"2,441",571,"5,328",275,"9,111","9,670","1,862",622,66,"2,603","1,381",145,"16,349","3,450","2,462",0,"2,375",297,"8,584","34,044"
,MISSOURI,"9,296",334,"1,733","3,904",196,"15,463","9,468","4,694","1,086",764,"2,178","1,060",90,"19,340","5,407",54,129,"1,223",671,"7,484","42,287"
,MONTANA,59,8,15,"3,091",0,"3,173","2,630",669,97,56,960,26,0,"4,438",480,1,0,788,46,"1,315","8,926"
,NEBRASKA,176,429,65,"5,248",19,"5,937","3,410","1,264",304,129,905,246,0,"6,258","1,323",45,3,"2,671",103,"4,145","16,340"
,NEVADA,145,965,52,"8,921",3,"10,086","2,886","1,589",385,194,"1,138","1,137",0,"7,329",402,297,1,"1,546",167,"2,413","19,828"
,NEW HAMPSHIRE,53,274,57,142,272,798,"1,711",831,251,195,"1,116",1,17,"4,122",460,12,3,327,190,992,"5,912"
,NEW JERSEY,651,469,297,"4,189","1,493","7,099","6,214","4,103","1,184","1,083","2,371","2,252",187,"17,394","5,164","2,191",9,"2,018",627,"10,009","34,502"
,NEW MEXICO,295,63,59,"10,835",6,"11,258","2,782",835,195,91,962,226,1,"5,092","2,349",80,0,"3,553",390,"6,372","22,722"
,NEW YORK,"14,927","2,180",704,362,"1,037","19,210","10,312","8,020","1,651","1,887","5,516","1,195",427,"29,008","6,746",110,31,"2,175","2,018","11,080","59,298"
,NORTH CAROLINA,"44,167","4,142","42,492","5,844","1,654","98,299","9,912","6,504","1,084",786,"1,340","2,004",207,"21,837","10,222","4,624","2,874","1,331","2,575","21,626","141,762"
,NORTH DAKOTA,19,8,15,"6,770",0,"6,812","2,988",365,70,59,993,28,0,"4,503",468,3,1,"1,091",74,"1,637","12,952"
,OHIO,478,307,262,"5,270",390,"6,707","11,255","5,653","1,229",976,"4,707","3,606",250,"27,676","1,481",105,3,"14,262","9,341","25,192","59,575"
,OKLAHOMA,"9,607","1,309",540,"6,451",44,"17,951","6,762","2,346",460,338,"2,154","1,727",1,"13,788","5,295",103,7,"16,244","1,662","23,311","55,050"
,OREGON,114,170,105,138,972,"1,499","5,847",591,492,316,"2,240",112,122,"9,720","2,218",25,2,633,18,"2,896","14,115"
,PENNSYLVANIA,985,680,374,218,324,"2,581","15,757","8,333",868,"1,331","3,844","1,201",123,"31,457","8,018","6,107",23,"1,122","7,945","23,215","57,253"
,RHODE ISLAND,148,"2,502",238,66,291,"3,245","2,050",516,690,102,"1,063",2,42,"4,465",244,"3,972",3,216,98,"4,533","12,243"
,SOUTH CAROLINA,"8,716","6,896","8,055","6,814",727,"31,208","9,265","4,125",594,412,"1,192","2,260",173,"18,021","3,451","3,218",739,"2,051",833,"10,292","59,521"
,SOUTH DAKOTA,62,7,7,"2,890",0,"2,966","2,996",360,87,0,"1,026",26,0,"4,495",483,1,0,813,49,"1,346","8,807"
,TENNESSEE,316,"1,364",146,153,157,"2,136","9,552","3,942","1,233",713,"3,180",2,48,"18,670","3,169","1,216",3,"1,167",748,"6,303","27,109"
,TEXAS,"71,658","5,589","1,990","34,278","1,692","115,207","18,286","17,568","4,922","3,244","3,275","5,463",362,"53,120","25,714","1,373",31,"15,765","4,584","47,467","215,794"
,UTAH,168,29,94,"3,554",0,"3,845","5,177","3,062",333,238,"1,275","1,178",0,"11,263","1,817",49,2,"11,716","1,045","14,629","29,737"
,VERMONT,46,4,9,52,29,140,"2,802",139,43,0,"1,058",0,2,"4,044",295,1,0,280,29,605,"4,789"
,VIRGINIA,"22,964","39,570","11,276","11,701","4,171","89,682","6,893","7,877","5,054","1,374","1,323","1,865",473,"24,859","18,175","39,935","5,118","5,910","23,578","92,716","207,257"
,WASHINGTON,"26,663","9,859",657,"5,804","1,988","44,971","5,879","6,090","2,099",553,"1,977","1,983",407,"18,988","9,428","18,892",3,"1,512","1,208","31,043","95,002"
,WEST VIRGINIA,63,5,44,31,67,210,"3,968","1,695",80,91,"2,129",0,22,"7,985","1,132",5,1,502,47,"1,687","9,882"
,WISCONSIN,413,32,123,75,298,941,"7,404","3,888",355,447,"2,225",0,73,"14,392","1,773",63,2,533,112,"2,483","17,816"
,WYOMING,38,1,7,"3,069",0,"3,115","1,483",79,70,0,"1,172",29,0,"2,833",234,2,0,793,38,"1,067","7,015"
,UNKNOWN,"5,863",0,0,0,0,"5,863",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,863"
UNITED STATES TOTAL,,"405,736","285,834","149,175","246,749","38,002","1,125,496","333,591","188,743","54,339","34,464","99,828","66,156","6,733","783,854","235,612","180,358","17,418","163,083","97,687","694,158","2,603,508"
OVERSEAS,AFGHANISTAN,"7,058",187,972,707,3,"8,927",584,927,265,134,64,36,0,"2,010",999,174,36,212,222,"1,643","12,580"
,ALGERIA,4,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,AMERICAN SAMOA,0,0,1,0,3,4,0,0,0,0,0,0,0,0,7,0,0,0,0,7,11
,ANGOLA,2,0,7,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,ARGENTINA,0,6,17,7,0,30,0,0,0,0,0,0,0,0,2,0,0,0,0,2,32
,ARMENIA,2,0,0,1,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4
,AUSTRALIA,31,73,46,56,0,206,0,0,0,0,0,0,0,0,4,6,0,5,1,16,222
,AUSTRIA,1,1,1,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,2,6
,AZERBAIJAN,1,2,2,4,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10
,"BAHAMAS, THE",1,41,6,0,9,57,0,0,1,0,0,0,0,1,0,1,0,0,0,1,59
,BAHRAIN,283,"3,586",927,39,89,"4,924",43,20,405,35,6,3,0,512,14,329,0,1,160,504,"5,940"
,BANGLADESH,3,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,BARBADOS,2,0,6,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,BELGIUM,562,46,1,255,0,864,0,3,0,0,0,5,0,8,358,0,0,8,291,657,"1,529"
,BELIZE,1,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,BENIN,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,BOLIVIA,3,0,9,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,BOSNIA AND HERZEGOVINA,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,2,4
,BOTSWANA,4,0,9,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
,BRAZIL,9,10,20,7,0,46,0,0,0,0,0,0,0,0,5,2,0,2,0,9,55
,BRITISH ATLANTIC OCEAN TERRITORY,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,BRITISH INDIAN OCEAN TERRITORY,0,243,0,38,0,281,0,0,0,0,0,0,0,0,0,2,0,0,0,2,283
,BULGARIA,2,3,152,3,0,160,0,0,0,0,0,0,0,0,6,0,0,1,0,7,167
,BURKINA FASO,0,0,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,BURMA,3,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,BURUNDI,1,0,8,2,0,11,0,0,1,0,0,0,0,1,0,0,0,0,0,0,12
,CAMBODIA,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
,CAMEROON,2,5,9,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17
,CANADA,6,38,12,85,5,146,0,0,0,0,0,0,0,0,0,4,0,1,19,24,170
,CHAD,5,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,CHILE,4,6,13,13,0,36,0,0,0,0,1,0,0,1,2,3,0,2,0,7,44
,CHINA,5,4,9,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
,COLOMBIA,22,4,16,17,4,63,0,0,1,0,0,0,0,1,13,4,0,1,0,18,82
,CONGO (BRAZZAVILLE),3,0,9,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,CONGO (KINSHASA),2,0,16,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
,COSTA RICA,1,2,7,0,1,11,0,0,0,0,0,0,0,0,2,0,0,0,0,2,13
,COTE DIVOIRE,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,CROATIA,3,1,1,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7
,CUBA,134,514,140,0,6,794,0,0,133,0,0,0,0,133,12,182,0,1,76,271,"1,198"
,CYPRUS,2,0,1,11,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
,CZECH REPUBLIC,4,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,DENMARK,2,3,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,DJIBOUTI,264,578,95,496,0,"1,433",733,158,558,15,30,37,2,"1,533",2,44,0,4,4,54,"3,020"
,DOMINICAN REPUBLIC,6,1,8,2,2,19,0,0,0,0,0,0,0,0,4,0,0,0,0,4,23
,ECUADOR,14,2,5,2,1,24,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25
,EGYPT,585,24,1,24,0,634,88,2,1,0,0,0,0,91,5,2,0,10,0,17,742
,EL SALVADOR,6,17,12,2,0,37,0,0,14,0,0,0,0,14,3,1,0,0,0,4,55
,ESTONIA,3,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5
,ETHIOPIA,4,2,9,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
,FIJI,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,FINLAND,3,5,2,3,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,FRANCE,22,9,3,19,0,53,0,0,0,0,0,0,0,0,4,2,0,1,0,7,60
,GABON,2,0,6,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,"GAMBIA, THE",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,GEORGIA,9,0,2,1,0,12,0,0,0,0,0,0,0,0,5,0,0,1,0,6,18
,GERMANY,"20,966",873,"1,079","12,856",10,"35,784",4,"1,095",77,6,17,298,0,"1,497","5,912",38,25,"1,121","4,294","11,390","48,671"
,GHANA,4,6,2,4,0,16,0,0,0,0,0,0,0,0,0,1,0,1,0,2,18
,GREECE,9,328,0,24,0,361,0,0,3,0,0,0,0,3,2,82,0,0,0,84,448
,GREENLAND,0,0,0,163,0,163,0,0,0,0,0,0,0,0,0,0,0,2,0,2,165
,GUAM,107,"2,386",62,"1,995",0,"4,550",0,0,13,0,333,276,0,622,124,"1,317",1,105,612,"2,159","7,331"
,GUATEMALA,22,1,5,1,0,29,0,0,0,0,0,0,0,0,4,1,0,0,0,5,34
,GUINEA,4,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,GUYANA,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,HAITI,3,0,8,0,2,13,0,0,0,0,0,0,0,0,0,4,0,0,0,4,17
,HONDURAS,233,3,7,155,0,398,0,0,0,0,0,0,0,0,21,1,0,0,0,22,420
,HONG KONG,3,9,6,9,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
,HUNGARY,4,0,1,56,0,61,0,0,0,0,1,0,0,1,3,0,0,1,0,4,66
,ICELAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
,INDIA,6,7,1,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
,INDONESIA,3,11,2,2,0,18,0,0,0,0,1,0,0,1,1,1,0,0,1,3,22
,IRAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2
,IRAQ,"2,772",288,996,312,0,"4,368",457,213,11,12,11,15,0,719,488,32,10,31,34,595,"5,682"
,IRELAND,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,ISRAEL,16,5,4,17,0,42,3,0,0,0,0,0,0,3,13,2,0,1,5,21,66
,ITALY,"4,522","3,701",302,"3,691",2,"12,218",1,91,40,0,0,28,0,160,614,793,0,153,845,"2,405","14,783"
,JAMAICA,1,0,7,0,2,10,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11
,JAPAN,"2,764","12,234","21,062","11,346",16,"47,422",0,105,98,7,2,76,0,288,623,"1,559",559,773,"3,091","6,605","54,315"
,JORDAN,858,42,192,738,0,"1,830",157,43,11,29,21,33,0,294,5,2,0,4,1,12,"2,136"
,KAZAKHSTAN,7,1,1,4,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,1,14
,KENYA,17,6,13,16,0,52,30,2,7,0,0,0,0,39,2,4,0,0,0,6,97
,"KOREA, SOUTH","16,465",255,181,"7,968",1,"24,870",0,195,12,0,0,56,0,263,"1,965",32,5,231,960,"3,193","28,326"
,KOSOVO,321,6,21,32,0,380,734,142,0,2,0,0,0,878,1,1,0,0,2,4,"1,262"
,KUWAIT,"5,797",6,"1,262","1,180",0,"8,245","2,523","1,068",28,31,502,386,0,"4,538",317,8,8,22,89,444,"13,227"
,KYRGYZSTAN,1,5,67,3,0,76,2,1,0,5,0,1,0,9,1,0,0,3,0,4,89
,LAOS,2,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6
,LATVIA,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,LEBANON,75,0,20,2,0,97,0,0,1,0,0,0,0,1,0,0,0,0,0,0,98
,LIBERIA,4,0,2,0,1,7,0,0,0,0,0,0,0,0,0,1,0,0,1,2,9
,LIBYA,3,1,1,0,0,5,3,0,0,14,1,0,0,18,0,0,0,0,0,0,23
,LITHUANIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2
,LUXEMBOURG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,15
,MACEDONIA,1,0,0,2,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4
,MADAGASCAR,0,1,7,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,MALAWI,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,MALAYSIA,3,4,0,3,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11
,MALI,3,0,5,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,MALTA,0,3,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,MARSHALL ISLANDS,19,0,0,0,0,19,0,0,0,0,0,0,0,0,58,0,0,0,0,58,77
,MAURITANIA,0,0,3,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,MAURITIUS,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
,MEXICO,13,8,20,5,2,48,0,0,0,0,0,0,0,0,0,0,0,10,0,10,58
,MOLDOVA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,MONGOLIA,3,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,MONTENEGRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
,MOROCCO,2,3,16,8,0,29,0,0,0,0,0,0,0,0,1,1,0,1,0,3,32
,MOZAMBIQUE,0,0,7,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,NAMIBIA,2,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,NEPAL,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,NETHERLANDS,123,26,2,195,30,376,0,0,0,0,0,0,0,0,46,0,0,3,147,196,572
,NETHERLANDS ANTILLES (1991 - 2010),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
,NEW ZEALAND,3,1,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,2,3,10
,NICARAGUA,11,1,8,1,0,21,0,0,0,0,0,0,0,0,19,0,1,6,3,29,50
,NIGER,3,0,0,6,0,9,0,0,0,0,1,0,0,1,0,1,0,0,0,1,11
,NIGERIA,2,2,0,3,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8
,NORTHERN MARIANA ISLANDS,0,0,2,0,3,5,0,0,0,0,0,0,0,0,3,0,0,0,0,3,8
,NORWAY,40,5,6,34,0,85,0,0,0,0,0,0,0,0,2,1,0,3,0,6,91
,OMAN,4,0,14,7,0,25,23,0,1,1,1,0,0,26,4,0,0,3,2,9,60
,PAKISTAN,18,3,56,38,0,115,0,1,2,1,2,1,0,7,2,1,0,1,2,6,128
,PANAMA (1980 - PRESENT),21,4,5,0,3,33,0,0,0,0,0,0,0,0,5,1,0,1,0,7,40
,PARAGUAY,5,0,6,1,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13
,PERU,10,20,15,4,0,49,0,0,0,0,0,0,0,0,5,4,0,0,0,9,58
,PHILIPPINES,10,10,53,12,0,85,0,0,0,0,0,0,0,0,1,11,0,3,1,16,101
,POLAND,21,1,7,29,0,58,0,0,0,0,0,0,0,0,6,0,0,0,0,6,64
,PORTUGAL,1,10,0,241,0,252,0,0,0,0,0,0,0,0,3,3,0,2,3,11,263
,PUERTO RICO,99,0,17,19,9,144,0,0,0,0,"1,163",0,0,"1,163","1,060",26,0,291,630,"2,007","3,314"
,QATAR,803,4,57,"3,103",0,"3,967",563,275,50,13,"1,043",372,0,"2,316",39,2,1,74,15,131,"6,414"
,ROMANIA,4,13,556,5,0,578,0,0,0,0,0,0,0,0,20,6,0,1,0,27,605
,RUSSIA,8,6,1,6,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
,RWANDA,3,0,6,1,0,10,1,1,0,0,0,0,0,2,0,0,0,0,0,0,12
,SAUDI ARABIA,210,18,54,71,0,353,16,34,0,0,11,2,0,63,148,4,0,18,25,195,611
,SENEGAL,4,3,12,1,0,20,0,0,0,0,0,0,0,0,0,1,0,0,1,2,22
,SERBIA (2008 - PRESENT),0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,SEYCHELLES,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
,SIERRA LEONE,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,SINGAPORE,8,124,8,32,8,180,0,0,1,0,0,0,0,1,2,132,0,0,17,151,332
,SLOVAKIA,1,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,SLOVENIA,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4
,SOMALIA,17,179,12,1,0,209,0,0,4,1,0,0,0,5,4,1,0,0,0,5,219
,SOUTH AFRICA,5,2,35,3,0,45,0,0,0,0,0,0,0,0,0,1,0,0,1,2,47
,SOUTH SUDAN,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
,SPAIN,25,"1,462",936,461,0,"2,884",0,0,6,0,0,3,0,9,4,234,2,13,161,414,"3,307"
,SRI LANKA,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,SUDAN,2,0,14,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,SURINAME,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,SWAZILAND,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,SWEDEN,1,1,0,5,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,SWITZERLAND,1,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,SYRIA,3,32,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
,TAIWAN,0,2,1,4,0,7,0,0,0,0,0,0,0,0,1,1,0,0,4,6,13
,TAJIKISTAN,3,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6
,TANZANIA,3,2,10,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,THAILAND,44,10,208,30,0,292,0,0,1,0,0,0,0,1,5,4,0,3,3,15,308
,TIMOR-LESTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
,TRINIDAD AND TOBAGO,1,1,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,TUNISIA,5,2,25,1,0,33,0,0,0,0,0,0,0,0,1,0,0,0,0,1,34
,TURKEY,145,7,19,"2,160",0,"2,331",0,0,0,0,1,163,0,164,10,2,0,88,120,220,"2,715"
,TURKMENISTAN,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,UGANDA,5,0,12,5,0,22,1,1,1,0,0,0,0,3,1,0,0,1,0,2,27
,UKRAINE,7,1,3,5,0,16,0,0,0,0,0,0,0,0,0,1,0,0,1,2,18
,UNITED ARAB EMIRATES,307,9,114,"1,511",0,"1,941",254,5,9,2,763,77,0,"1,110",9,8,0,22,3,42,"3,093"
,UNITED KINGDOM,200,210,13,"8,206",22,"8,651",0,42,33,1,1,87,0,164,37,25,0,507,691,"1,260","10,075"
,URUGUAY,2,3,7,3,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,1,16
,UZBEKISTAN,3,0,0,1,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5
,VENEZUELA,0,1,10,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,VIETNAM,0,3,3,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,4,4,11
