Number of Military and DoD Appropriated Fund (APF) Civilian Personnel Permanently Assigned,,,,,,,,,,,,,,,,,,,,,,
By Duty Location and Service/Component,,,,,,,,,,,,,,,,,,,,,,
"As of December 31, 2018",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, Reserve Common Components Personnel Data System (RCCPDS) File, Appropriated Fund (APF) Civilian Master File",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,DUTY STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
UNITED STATES TOTAL,,"413,221","289,853","154,890","268,201","39,838","1,166,003","323,339","183,914","57,153","34,597","105,612","67,718","6,010","778,343","237,296","191,265","17,397","166,647","98,519","711,124","2,655,470"
OVERSEAS,AFGHANISTAN*, , , , , , , , , , , , , , , , , , , , , 
,AKROTIRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,73,73
,ALBANIA,1,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,ALGERIA,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,AMERICAN SAMOA,3,0,1,0,0,4,0,297,0,0,0,0,0,297,19,0,0,0,0,19,320
,ANGOLA,3,0,9,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,ARGENTINA,1,5,8,9,1,24,0,0,1,0,1,0,0,2,0,0,0,0,0,0,26
,ARMENIA,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,AUSTRALIA,37,66,52,93,0,248,0,0,0,0,0,0,0,0,2,9,0,7,2,20,268
,AUSTRIA,1,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,AZERBAIJAN,1,2,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,"BAHAMAS, THE",1,43,7,0,10,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
,BAHRAIN,20,"3,319",697,23,317,"4,376",0,0,16,1,0,0,0,17,18,314,0,1,154,487,"4,880"
,BANGLADESH,4,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,BARBADOS,1,0,7,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,BELGIUM,661,40,9,363,1,"1,074",0,0,0,0,0,6,0,6,387,1,0,11,334,733,"1,813"
,BELIZE,1,1,7,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,BOLIVIA,2,0,10,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,BOSNIA AND HERZEGOVINA,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
,BOTSWANA,4,0,8,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,BRAZIL,9,7,25,10,1,52,0,0,0,0,0,0,0,0,4,2,0,1,0,7,59
,BRITISH ATLANTIC OCEAN TERRITORY,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,BRITISH INDIAN OCEAN TERRITORY,0,260,0,37,0,297,0,0,0,0,0,0,0,0,0,3,0,0,0,3,300
,BRUNEI,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,BULGARIA,3,4,0,4,0,11,0,0,0,0,1,0,0,1,15,0,0,2,0,17,29
,BURKINA FASO,0,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,BURMA,4,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,BURUNDI,0,0,9,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,CAMBODIA,3,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,CAMEROON,8,0,10,1,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,1,20
,CANADA,7,42,13,76,4,142,0,0,0,0,0,0,0,0,2,4,0,1,24,31,173
,CENTRAL AFRICAN REPUBLIC,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,CHAD,4,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,CHILE,5,8,12,11,0,36,0,0,0,0,1,0,0,1,3,1,0,2,1,7,44
,CHINA,8,4,5,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
,COLOMBIA,23,5,17,15,3,63,0,0,0,0,0,0,0,0,15,2,0,1,1,19,82
,CONGO (BRAZZAVILLE),4,0,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,CONGO (KINSHASA),2,0,13,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,COSTA RICA,1,1,5,0,1,8,0,0,1,0,0,0,0,1,2,0,0,0,0,2,11
,COTE DIVOIRE,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,CROATIA,1,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4
,CUBA,155,572,93,0,7,827,0,0,0,0,0,0,0,0,13,192,0,0,72,277,"1,104"
,CYPRUS,6,0,1,10,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18
,CZECHIA,3,0,1,3,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8
,DENMARK,2,2,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,DJIBOUTI,1,0,20,1,0,22,0,0,0,0,0,0,0,0,0,2,0,0,1,3,25
,DOMINICAN REPUBLIC,9,1,9,2,2,23,0,0,0,0,0,0,0,0,5,0,0,0,0,5,28
,ECUADOR,13,2,15,3,1,34,0,0,0,0,0,0,0,0,2,0,0,0,0,2,36
,EGYPT,264,12,1,23,0,300,0,0,0,0,0,0,0,0,6,2,0,5,0,13,313
,EL SALVADOR,6,32,14,2,1,55,0,0,4,0,0,0,0,4,2,1,0,0,0,3,62
,ESTONIA,1,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4
,ETHIOPIA,5,2,8,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
,FIJI,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,FINLAND,4,4,2,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,FRANCE,24,9,4,18,0,55,0,0,0,0,0,0,0,0,4,2,0,6,0,12,67
,GABON,2,1,6,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,"GAMBIA, THE",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,GEORGIA,2,0,3,1,0,6,0,0,0,0,0,0,0,0,5,0,0,1,1,7,13
,GERMANY,"20,897",391,"1,216","12,703",12,"35,219",0,0,11,116,10,303,0,440,"5,733",31,25,"1,141","4,139","11,069","46,728"
,GHANA,4,3,3,2,0,12,0,0,0,0,0,0,0,0,0,1,0,1,0,2,14
,GREECE,9,378,1,22,0,410,0,0,0,0,0,0,0,0,3,80,0,0,0,83,493
,GREENLAND,0,0,0,147,0,147,0,0,0,0,0,1,0,1,0,0,0,1,0,1,149
,GUAM,192,"3,975",27,"2,048",0,"6,242","1,116",481,227,0,392,252,0,"2,468",151,"1,354",6,113,614,"2,238","10,948"
,GUATEMALA,20,1,8,2,0,31,0,0,0,0,0,0,0,0,3,1,0,0,0,4,35
,GUINEA,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,GUYANA,1,1,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,HAITI,3,0,9,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,HONDURAS,224,3,22,150,1,400,0,0,0,0,0,0,0,0,20,1,0,0,0,21,421
,HONG KONG,3,11,2,11,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
,HUNGARY,5,141,0,59,0,205,0,0,0,0,1,0,0,1,3,0,0,1,0,4,210
,ICELAND,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
,INDIA,5,7,0,8,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,21
,INDONESIA,2,11,2,2,0,17,0,0,0,0,1,0,0,1,1,1,0,0,0,2,20
,IRAQ*,,,,,,,,,,,,,,,,,,,,,
,IRELAND,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,ISRAEL,32,7,2,12,0,53,0,0,0,0,0,0,0,0,15,1,0,2,4,22,75
,ITALY,"4,067","4,031",436,"4,455",2,"12,991",0,0,36,0,0,32,0,68,623,792,0,153,883,"2,451","15,510"
,JAMAICA,1,1,7,0,2,11,0,0,0,0,0,0,0,0,2,0,0,0,0,2,13
,JAPAN,"2,659","20,722","20,827","11,988",17,"56,213",0,0,78,87,1,81,0,247,735,"1,687",582,759,"3,142","6,905","63,365"
,JORDAN,14,2,50,1,0,67,0,0,0,0,0,0,0,0,2,1,0,2,0,5,72
,KAZAKHSTAN,4,1,0,13,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
,KENYA,24,3,14,5,0,46,0,0,1,0,0,0,0,1,0,1,0,0,0,1,48
,"KOREA, SOUTH","17,676",290,186,"8,158",1,"26,311",0,0,3,4,0,54,0,61,"1,830",37,6,226,918,"3,017","29,389"
,KUWAIT,690,3,"1,110",37,0,"1,840",0,0,1,0,1,0,0,2,163,0,0,8,21,192,"2,034"
,KYRGYZSTAN,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,LAOS,3,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7
,LATVIA,2,0,2,2,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9
,LEBANON,2,0,11,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,LIBERIA,2,0,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,LIBYA,1,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,LITHUANIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2
,LUXEMBOURG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22,22
,MACEDONIA,4,0,1,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,MADAGASCAR,0,2,7,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,MALAWI,2,0,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,MALAYSIA,2,3,1,3,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,3,12
,MALI,5,0,5,2,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13
,MALTA,0,3,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,MARSHALL ISLANDS,17,0,0,0,0,17,0,0,0,0,0,0,0,0,72,0,0,0,0,72,89
,MAURITANIA,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,MAURITIUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
,MEXICO,13,5,40,5,2,65,0,0,0,0,0,0,0,0,1,0,0,10,0,11,76
,MOLDOVA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,MONGOLIA,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,MOROCCO,3,3,2,7,0,15,0,0,0,0,0,0,0,0,3,1,0,1,1,6,21
,MOZAMBIQUE,0,0,9,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,NAMIBIA,1,0,8,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,NEPAL,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,NETHERLANDS,136,29,2,213,31,411,0,0,0,0,0,0,0,0,80,0,0,2,129,211,622
,NEW ZEALAND,2,2,2,1,0,7,0,0,0,0,0,0,0,0,0,1,0,1,2,4,11
,NICARAGUA,2,0,6,1,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10
,NIGER,3,0,1,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,NIGERIA,3,2,0,4,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,2,11
,NORTHERN MARIANA ISLANDS,1,0,1,0,0,2,0,72,0,0,0,0,0,72,2,3,0,0,0,5,79
,NORWAY,27,5,549,37,1,619,0,0,0,0,0,0,0,0,1,1,0,3,0,5,624
,OMAN,3,3,6,5,0,17,0,0,1,0,0,0,0,1,1,0,0,2,1,4,22
,PAKISTAN,7,3,3,18,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
,PANAMA,17,4,8,0,3,32,0,0,0,0,0,0,0,0,5,1,0,1,0,7,39
,PAPUA NEW GUINEA,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,PARAGUAY,5,0,9,1,0,15,0,0,0,0,0,0,0,0,2,0,0,0,0,2,17
,PERU,7,18,16,5,0,46,0,0,0,0,0,0,0,0,5,5,0,0,0,10,56
,PHILIPPINES,9,10,123,9,1,152,0,0,0,0,0,0,0,0,1,9,0,4,1,15,167
,POLAND,45,82,4,27,0,158,0,0,0,0,0,0,0,0,8,7,0,0,1,16,174
,PORTUGAL,3,45,1,181,0,230,0,0,0,0,0,0,0,0,3,1,0,2,0,6,236
,PUERTO RICO,92,27,22,18,0,159,"5,908","4,273",235,0,"1,101",0,0,"11,517","1,164",24,0,306,587,"2,081","13,757"
,QATAR,257,3,25,236,0,521,0,0,0,0,0,0,0,0,50,0,0,5,3,58,579
,ROMANIA,5,90,4,12,0,111,0,0,0,0,0,0,0,0,34,7,0,2,0,43,154
,RUSSIA,3,2,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,RWANDA,2,0,8,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,SAUDI ARABIA,214,21,22,55,10,322,0,0,1,0,0,0,0,1,177,1,0,14,29,221,544
,SENEGAL,3,2,2,1,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9
,SERBIA,2,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,SIERRA LEONE,2,0,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,SINGAPORE,8,168,8,18,6,208,0,0,0,0,0,0,0,0,3,152,0,0,20,175,383
,SLOVAKIA,1,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,SLOVENIA,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
,SOMALIA,0,1,64,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
,SOUTH AFRICA,5,3,35,3,0,46,0,0,0,0,0,0,0,0,0,1,0,0,1,2,48
,SOUTH SUDAN,1,0,16,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
,SPAIN,27,"2,488",469,362,0,"3,346",0,0,3,0,0,2,0,5,2,239,0,9,162,412,"3,763"
,SRI LANKA,0,4,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,SUDAN,2,0,16,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
,SURINAME,1,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,SWAZILAND,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,SWEDEN,1,2,0,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,SWITZERLAND,24,0,1,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
,SYRIA*,,,,,,,,,,,,,,,,,,,,,
,TAIWAN,0,1,1,4,0,6,0,0,0,0,0,0,0,0,0,1,0,0,12,13,19
,TAJIKISTAN,4,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,TANZANIA,3,2,9,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
,THAILAND,43,8,225,29,0,305,0,0,0,0,0,0,0,0,5,3,0,1,3,12,317
,TRINIDAD AND TOBAGO,1,1,6,0,0,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9
,TUNISIA,5,3,15,1,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25
,TURKEY,139,6,4,"1,532",0,"1,681",0,0,0,0,0,2,0,2,6,0,0,30,42,78,"1,761"
,TURKMENISTAN,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,UGANDA,6,0,11,1,0,18,0,0,0,0,0,0,0,0,1,0,0,1,0,2,20
,UKRAINE,12,2,8,5,0,27,0,0,0,0,0,0,0,0,2,0,0,0,3,5,32
,UNITED ARAB EMIRATES,26,16,277,84,0,403,0,0,0,0,0,0,0,0,5,7,0,5,3,20,423
,UNITED KINGDOM,306,204,16,"8,570",23,"9,119",0,0,0,3,1,86,0,90,30,28,0,491,644,"1,193","10,402"
,URUGUAY,2,4,7,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,UZBEKISTAN,2,0,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,VENEZUELA,0,0,10,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,VIETNAM,0,3,4,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11
,"VIRGIN ISLANDS, U.S.",3,0,0,0,0,3,634,13,0,0,54,0,0,701,119,0,0,1,0,120,824
,WAKE ISLAND,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,YEMEN,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,ZAMBIA,1,0,7,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,ZIMBABWE,3,0,9,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
